$1_superfecta.numbers,$1_superfecta.paid,$1_trifecta.numbers,$1_trifecta.paid,$2_exacta.numbers,$2_exacta.paid,1.daily_double.numbers,1.daily_double.paid,1.exacta.numbers,1.exacta.paid,1.first.gate,1.first.name,1.first.place,1.first.show,1.first.win,1.second.gate,1.second.name,1.second.place,1.second.show,1.superfecta.numbers,1.superfecta.paid,1.third.gate,1.third.name,1.third.show,1.trifecta.numbers,1.trifecta.paid,10.daily_double.numbers,10.daily_double.paid,10.exacta.numbers,10.exacta.paid,10.first.gate,10.first.name,10.first.place,10.first.show,10.first.win,10.pick_3.numbers,10.pick_3.paid,10.pick_4.numbers,10.pick_4.paid,10.pick_5.numbers,10.pick_5.paid,10.second.gate,10.second.name,10.second.place,10.second.show,10.superfecta.numbers,10.superfecta.paid,10.third.gate,10.third.name,10.third.show,11.daily_double.numbers,11.daily_double.paid,11.exacta.numbers,11.exacta.paid,11.first.gate,11.first.name,11.first.place,11.first.show,11.first.win,11.pick_3.numbers,11.pick_3.paid,11.pick_4.numbers,11.pick_4.paid,11.pick_5.numbers,11.pick_5.paid,11.second.gate,11.second.name,11.second.place,11.second.show,11.superfecta.numbers,11.superfecta.paid,11.third.gate,11.third.name,11.third.show,11.trifecta.numbers,11.trifecta.paid,2.daily_double.numbers,2.daily_double.paid,2.exacta.numbers,2.exacta.paid,2.first.gate,2.first.name,2.first.place,2.first.show,2.first.win,2.second.gate,2.second.name,2.second.place,2.second.show,2.superfecta.numbers,2.superfecta.paid,2.third.gate,2.third.name,2.third.show,2.trifecta.numbers,2.trifecta.paid,3.daily_double.numbers,3.daily_double.paid,3.exacta.numbers,3.exacta.paid,3.first.gate,3.first.name,3.first.place,3.first.show,3.first.win,3.pick_3.numbers,3.pick_3.paid,3.second.gate,3.second.name,3.second.place,3.second.show,3.superfecta.numbers,3.superfecta.paid,3.third.gate,3.third.name,3.third.show,3.trifecta.numbers,3.trifecta.paid,4.daily_double.numbers,4.daily_double.paid,4.exacta.numbers,4.exacta.paid,4.first.gate,4.first.name,4.first.place,4.first.show,4.first.win,4.pick_3.numbers,4.pick_3.paid,4.pick_4.numbers,4.pick_4.paid,4.second.gate,4.second.name,4.second.place,4.second.show,4.superfecta.numbers,4.superfecta.paid,4.third.gate,4.third.name,4.third.show,4.trifecta.numbers,4.trifecta.paid,5.daily_double.numbers,5.daily_double.paid,5.exacta.numbers,5.exacta.paid,5.first.gate,5.first.name,5.first.place,5.first.show,5.first.win,5.pick_3.numbers,5.pick_3.paid,5.second.gate,5.second.name,5.second.place,5.second.show,5.superfecta.numbers,5.superfecta.paid,5.third.gate,5.third.name,5.third.show,5.trifecta.numbers,5.trifecta.paid,6.daily_double.numbers,6.daily_double.paid,6.exacta.numbers,6.exacta.paid,6.first.gate,6.first.name,6.first.place,6.first.show,6.first.win,6.pick_3.numbers,6.pick_3.paid,6.second.gate,6.second.name,6.second.place,6.second.show,6.superfecta.numbers,6.superfecta.paid,6.third.gate,6.third.name,6.third.show,6.trifecta.numbers,6.trifecta.paid,7.daily_double.numbers,7.daily_double.paid,7.exacta.numbers,7.exacta.paid,7.first.gate,7.first.name,7.first.place,7.first.show,7.first.win,7.pick_3.numbers,7.pick_3.paid,7.pick_4.numbers,7.pick_4.paid,7.second.gate,7.second.name,7.second.place,7.second.show,7.superfecta.numbers,7.superfecta.paid,7.third.gate,7.third.name,7.third.show,7.trifecta.numbers,7.trifecta.paid,8.daily_double.numbers,8.daily_double.paid,8.exacta.numbers,8.exacta.paid,8.first.gate,8.first.name,8.first.place,8.first.show,8.first.win,8.pick_3.numbers,8.pick_3.paid,8.second.gate,8.second.name,8.second.place,8.second.show,8.superfecta.numbers,8.superfecta.paid,8.third.gate,8.third.name,8.third.show,8.trifecta.numbers,8.trifecta.paid,9.daily_double.numbers,9.daily_double.paid,9.exacta.numbers,9.exacta.paid,9.first.gate,9.first.name,9.first.place,9.first.show,9.first.win,9.pick_3.numbers,9.pick_3.paid,9.pick_4.numbers,9.pick_4.paid,9.pick_5.numbers,9.pick_5.paid,9.second.gate,9.second.name,9.second.place,9.second.show,9.superfecta.numbers,9.superfecta.paid,9.third.gate,9.third.name,9.third.show,9.trifecta.numbers,9.trifecta.paid,year
,,,,,,,,3-1,18.8,3,Troika,2.8,2.2,3.8,1,Racing Wildly,5.4,4.0,3-1-8-6,373.4,8,To Vegas,2.8,3-1-8,90.8,2-6,6.0,,,3,Volcat,4.6,2.6,8.2,4-2-3,316.0,,,,,1,All For Georgia,4.4,3.6,,,2,Rave Reviews,5.4,,,,,8,Variant,5.2,2.8,11.2,2-3-8,372.2,4-2-3-8,3253.8,,,6,Ghost Chapel,12.2,5.4,,,9,Irving Rules,3.0,,,3-2,19.6,2-4,44.0,2,Itsnottheright,3.2,2.4,6.0,4,Technique,4.6,2.8,2-4-3-6,596.0,3,Kitty's Turn,4.2,,,2-7,81.2,7-5,64.0,7,Harlan Showgirl,7.0,5.8,15.4,3-2-7,138.6,5,Cat Girl,5.8,4.2,,,1,Audton,7.6,,,7-2,50.0,,,2,Always Here Too,2.6,2.1,5.0,2-7-2,212.2,3-2-7-2,474.4,3,Force De La Nature,2.6,2.2,,,4,Formal Plan,2.6,,,2-4,30.6,4-1,117.0,4,Purely Determined,6.2,3.8,10.8,7-2-4,230.6,1,Nacona,11.4,6.8,,,2,Rio Strikes Gold,2.8,,,4-7,167.8,7-8,141.8,7,Cielo Classic,9.8,6.4,21.8,2-4-7,314.4,8,Five Star David,7.0,4.6,,,6,Canook,4.8,,,7-9,38.0,,,9,John Gordon,2.2,2.1,3.0,4-7-9,149.6,2-4-7-3/4/9,684.2,7,Lew And Mike,5.6,3.2,,,2,Gas Tank,4.4,,,9-4,12.0,4-6,34.4,4,Distort This,4.0,3.0,9.8,7-9-4,349.8,6,Explain,3.4,2.4,,,7,Sky Alert,3.0,,,4-2,51.8,2-3,15.4,2,Sarah's Kitten,2.4,2.1,6.4,9-4-2,110.4,,,,,3,Time For Dubai,2.8,2.4,,,6,Poor Boy's Passion,2.8,,,2012-06-22
,,,,,,,,6-1,58.2,6,Annabel Lee,7.0,3.6,15.2,1,Swakopmund,5.8,4.6,6-1-3-4,1354.2,3,Shanfield,2.6,6-1-3,163.0,5-6,125.8,6-7,14.0,6,Wine Princess,2.6,2.4,3.8,8-5-6,559.8,,,,,7,Tapit Dancer,5.4,3.6,,,1,Yankee Union,2.8,,,,,3,General Partner,3.0,2.4,5.2,5-6-3,416.2,8-5-4/5/6/8-3/4/6/7,1672.6,8-8-5-4/5/6/8-3/4/6/7,29891.6,10,Dabossman,5.4,2.8,,,9,Startingold,3.0,,,6-6,60.4,6-8,74.0,6,Storm Cloud Coming,4.4,5.0,10.6,8,C U Baby,6.8,6.8,6-8-2-5,2729.4,2,Cheap Perfume,13.4,,,6-1,22.4,1-6,19.8,1,Quite Ready,2.6,2.2,3.4,6-6-1,134.4,6,Beppone,4.6,3.6,,,5,Can't Prove It,3.0,,,1-7,80.4,,,7,Maybe So,17.6,9.8,53.6,6-1-7,431.6,6-6-1/7-7,2456.4,4,Gulfport,4.0,3.0,,,9,Titletown Five,3.8,,,7-3,463.8,3-8,97.8,3,Afleet Triumph,9.4,6.0,23.8,1-7-3,1375.4,8,Contemporary,3.0,2.6,,,5,Grand Contender,4.2,,,3-7,127.2,7-5,31.4,7,Spun Cap,4.2,2.4,7.6,7-3-7,3639.2,5,Diamond D'oro,3.2,2.4,,,10,Stellabymoonlight,2.2,,,7-8,111.2,,,8,Classy Cove,12.6,6.0,26.2,3-7-8,2039.0,7-3-7-8,90330.6,1,Cape Glory,4.2,2.8,,,7,Z Camelot,2.8,,,8-8,119.2,8-10,23.0,8,Adena's Chance,4.0,2.6,8.4,7-8-8,450.6,10,Mr. Midnight,3.2,2.6,,,5,Ellio,5.2,,,8-5,181.6,5-4,218.6,5,Jasizzle,18.4,6.6,59.6,8-8-5,2209.8,,,,,4,Full,4.4,3.2,,,3,City Cool,3.2,,,2012-06-29
,,,,,,,,3-6,24.6,3,Primed N Willing,3.8,2.2,6.2,6,Pearl Of A Girl,4.4,2.8,3-6-1-2,222.8,,Clearing,2.1,3-6-1,55.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3-4,48.6,4-1,72.8,4,Conservative,7.0,4.2,19.2,1,Custer,4.2,3.0,4-1-5-2,2197.6,5,Flattermejim,3.6,,,4-5,53.6,5-7,46.8,5,More Than Beauty,3.6,2.4,4.2,,,7,Deliver,11.0,5.0,5-7-6-4,975.6,6,Redgrass Cat,3.4,,,5-4,27.0,4-6,49.0,4,Lucky Dan,5.8,3.4,8.8,,,,,6,Don'tgetmadgeteven,6.4,4.0,4-6-8-1,1198.2,8,Gruenewald,2.8,,,4-4,44.4,4-1,22.6,4,Practice Tee,3.8,2.6,9.0,,,1,Gallant Eagle (ire),2.8,2.1,4-1-3-5,464.2,3,Our Dark Knight,2.6,,,4-6,34.8,6-1,52.0,6,Get Real,3.8,2.8,6.6,,,1,Holiday Bertie,8.0,4.0,6-1-3-9,442.4,3,Noun,2.6,,,6-8,43.6,8-4,40.4,8,Bahim,5.6,4.0,13.8,,,,,4,Sir Jock,3.0,2.2,8-4-2-7,680.8,2,Wakes Week,4.0,,,8-7,100.0,7-4,43.0,7,Hitechnoweenie,6.0,3.4,14.0,,,4,Pedestrian,3.2,2.6,7-4-2-6,631.6,2,Tap Twenty One,2.8,,,7-3,119.6,3-9,32.6,3,C P Hath A Way,4.8,2.6,15.2,,,,,,,9,Starship Gambler,2.6,2.1,,,2,Sabouli,2.4,,,2013-05-09
,,,,,,,,2-7,28.4,2,Gun Roar,3.8,2.4,6.4,7,Alsono,4.0,2.6,2-7-3-6,499.2,3,Colonel Harlan,3.0,2-7-3,106.0,4-8,13.8,8-6,56.2,8,Power Broker,2.8,2.2,3.8,,,,,,,6,Cary Street,10.2,3.8,8-6-3-1,360.4,3,Suns Out Guns Out,2.4,8-1,15.8,1-2,276.2,1,Awesome Story,4.0,3.6,6.0,,,,,,,2,Cute Little Devil,43.2,20.6,1-2-3-7,5875.6,3,Fly Swiftly,4.0,,,2-3,29.8,3-6,21.6,3,Kitty's Turn,3.6,2.4,7.2,6,Chelsea Brook,2.8,2.4,3-6-2-4,271.6,2,Upon Reflection,4.2,,,3-5,39.6,5-7,27.4,5,Ready Express,4.2,2.2,10.8,,,7,Town Tour,2.8,2.1,5-7-3-2,142.4,3,Separation,2.1,,,5-4,26.8,4-2,20.8,4,Southern Nights,3.0,2.6,5.0,,,,,2,Kendall M. D.,5.0,4.0,4-2-6-9,2148.2,6,Booster Rocket,12.8,,,4-3,10.0,3-1,14.6,3,Take Interest,2.2,2.1,3.0,,,1,Sunrise Ridge,4.4,2.8,3-1-2-6,265.0,2,Ouiser,3.4,,,3-7,14.8,7-8,28.2,7,Turn And Run,4.0,2.8,8.6,,,8,Song Ahead,3.8,2.8,7-8-3-1,630.6,3,Cruise Director,3.0,,,7-3,93.0,3-1,96.0,3,Arrived Home,8.2,4.6,16.6,,,,,1,Mucho Macho Uno,7.0,4.0,3-1-2-8,1006.0,2,Lion's Dub,3.0,,,3-5,84.0,5-1,38.2,5,Town Hall,4.6,3.2,6.8,,,1,Barrister Jim,6.4,4.6,5-1-3-7,628.8,3,Doctor Peter,4.8,,,5-4,35.4,4-8,33.8,4,Kiss Of Thunder,4.0,3.4,7.6,,,,,,,8,Dream Man,4.4,3.2,4-8-11-10,398.2,11,Goingoingone,3.2,,,2013-05-10
,,,,,,,,2-4,34.8,2,Ms Anna Destiny,3.0,2.4,4.2,4,Sunshineandsilence,6.2,3.2,,,3,Rattlin Gyspy,2.6,2-4-3,98.4,6-5,39.8,5-9,26.4,5,Good Deed,3.8,3.4,7.4,,,,,,,9,Palazzo Babe,3.6,2.8,5-9-8-1,485.2,8,Formal Plan,5.0,5-8,7.4,6-2,80.2,6,Officer Griffin,5.8,4.2,12.0,,,,,,,2,Stanley Cup,5.8,4.2,,,5,Screamin Mushroom,7.2,,,2-2,20.2,2-6,33.8,2,Another Trick,4.2,3.0,7.6,6,Simple,4.4,3.0,2-6-3-1,767.6,3,E. Grace,5.0,,,2-4,70.4,4-2,49.8,4,Marchwood (gb),5.8,3.4,16.6,,,2,Poliziano,3.6,2.6,4-2-5-7,556.0,5,You're My Buddy,2.4,,,4-7,54.6,7-1,11.8,7,Miss Squeal,,,7.4,2-4-7,371.4,,,1,Flashy Gal,,,,,6,Magnificent Shirl,,,,7-7,29.4,7-6,17.2,7,Stage Street,2.8,2.6,4.6,,,6,Captain Davrick,3.6,3.0,7-6-3-8,702.0,3,Cost Affective,6.2,,,7-2,91.6,2-9,232.0,2,Gamay Noir,13.8,7.0,33.0,,,9,Ode To A Skylark,5.4,3.4,2-9-3-1,14580.4,3,Owl Moon,4.0,,,2-3,145.6,3-2,29.4,3,Au Moon,4.4,3.4,8.2,,,,,2,D' Wildcard,4.6,3.0,3-2-13-9,626.2,13,Goodtimehadbyall,4.4,,,3-4,26.0,4-7,21.6,4,Flashy Sunrise,3.2,2.6,5.8,,,7,Dreaming Blue,3.2,2.6,4-7-2-3,380.4,2,Ride The Lightning,5.0,,,4-6,33.4,6-4,30.8,6,Coin Flip,4.2,2.4,9.6,,,,,,,4,Argosy,3.8,2.2,6-4-9-7,402.8,9,Swift Afleet,2.2,,,2013-05-11
,,,,,,,,1-4,7.6,1,At Bat,2.2,,2.8,4,Common Ground,3.4,,,,2,Forever Perfect,,1-4-2,40.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-4,13.4,4-7,59.6,4,Lodi Lion,4.4,3.4,8.4,7,Council Bluff,11.2,7.2,4-7-2-8,2603.0,2,Grand Sommelier,8.0,,,4-1,48.2,1-3,45.6,1,Livi Makenzie,4.0,2.4,8.2,1-4-1,59.2,3,Devious Intent,7.0,3.0,,,6,Same Cross,2.2,,,1-1,44.8,,,1,Del Mar Holiday,4.0,3.0,7.0,4-1-1,188.0,1/5/6-4-1-1,222.0,5,Streethomealabama,3.8,2.8,,,4,Brooklynn's Dream,5.0,,,1-5,56.0,5-4,31.0,5,Fast And Frugal,5.2,3.4,10.8,1-1-5,214.8,4,Dr. Bill,2.8,2.8,,,2,Soloman's Gold,4.4,,,5-4,79.8,4-7,77.8,4,Lookn Mighty Fast,7.2,3.8,18.0,1-5-4,336.6,7,Original Art,4.2,2.8,,,8,Mr. Prankster,3.0,,,4-9,66.2,9-5,36.2,9,Galloping Domino,3.6,2.8,6.0,5-4-9,298.2,,,5,China Melissa,7.0,4.0,,,4,Belle Muse,2.6,,,9-7,75.2,7-6,78.2,7,Silver Summation,7.0,,25.4,4-9-7,1042.4,6,Trelawny,3.6,,,,4,Make A Fortune,,,,,,,,8,Apollo Sky,5.8,4.4,12.4,9-7-8,571.8,4-9-7-8,4696.4,5-4-9-7-8,5276.8,1,Our Friend Harry,12.6,6.2,,,11,Zeke Mccool,6.0,,,2013-05-16
,,,,,,,,2-5,11.4,2,Flashy Rae,2.6,2.2,5.0,5,Pretty Heiress,2.2,2.1,2-5-3-4,65.2,3,Promise Me Joy,2.2,2-5-3,28.4,8-5,89.6,5-4,33.4,5,A Time To Love,4.6,3.4,10.2,5-8-5,853.0,,,,,4,Sweet And Lowdown,4.6,4.0,,,6,Rally The Troops,5.6,,,,,2,Watercolors,3.0,2.4,5.0,8-5-2,261.4,5-8-5-2,2630.2,4-5-8-5-2,1948.3,3,Greek Bird,3.4,2.6,,,1,Buzzin At Midnight,2.8,,,2-2,24.0,2-5,28.4,2,Gamekeeper,3.6,2.2,6.0,5,Transylvania Flash,5.4,2.8,,,1,Call Me George,2.2,2-5-1,94.4,2-2,29.4,2-4,16.0,2,Rope,3.0,2.6,5.0,2-2-2,75.0,4,Alsono,3.4,2.6,,,5,Big Gator,3.0,,,2-4,15.6,,,4,Gentlemen's Bet,3.2,2.6,5.2,2-2-4,95.0,2-2-2-4,281.4,1,Good Morning Diva,4.4,2.8,,,5,Hamiltonian,2.6,,,4-2,43.0,2-3,44.0,2,Ghostwalking,6.4,4.2,11.6,2-4-2,156.8,3,Lunar Fleet,4.2,3.0,,,7,Harborplace,4.8,,,2-6,29.0,6-2,13.8,6,Funny Proposition,2.6,2.2,3.6,4-2-6,71.6,2,Awesome Flower,3.2,2.6,,,1,Toxis,3.0,,,6-4,11.4,,,4,Summit County,3.0,2.8,4.8,2-6-4,123.8,4-2-6-4,367.8,,High Dollar Kitten,3.0,2.4,,,8,Don't Be Mad,4.2,,,4-5,81.8,5-1,157.6,5,Little Face,10.0,5.6,23.2,6-4-5,194.6,1,Psycho Chick,6.0,4.0,,,4,Barksdale,4.2,,,5-8,304.4,8-2,85.6,8,Dance Idol,5.8,3.8,15.8,4-5-8,562.2,,,,,2,Chasenthegold,9.4,5.4,,,9,Rango,11.4,,,2013-05-17
,,,,,,,,1-6,23.0,1,With Excellence,3.6,2.4,7.4,6,Darkest Hour,3.6,2.2,1-6-4-3,115.4,4,Jardenia,2.2,1-6-4,56.4,8-3,29.4,3-1,70.6,3,Interest Free,2.8,2.2,3.6,8-8-3,136.0,,,,,1,Tunka,12.2,7.6,,,6,Ms Hoochie Coochie,4.0,,,,,2,Formidable Heart,4.0,3.2,8.6,8-3-2,200.6,8-8-3-2,880.4,3-8-8-3-2,576.85,3,Layton Register,4.8,3.4,,,4,Professor Midnight,5.2,,,1-2,38.0,2-4,29.2,2,Born To Jazz,3.6,2.8,9.4,4,Said,3.2,2.8,2-4-7-5,975.6,7,St. Louie Slew,3.8,,,2-6,53.4,6-1,67.8,6,Fusa Code,5.6,3.4,9.2,1-2-6,182.0,1,Moe Man,8.4,4.4,,,2,De Price,2.4,,,6-7,60.2,,,7,Cold Feet,3.8,3.2,9.4,2-6-7,264.6,1-2-6-7,1191.4,8,Wakes Week,4.6,4.0,,,6,Zak Benate,11.4,,,7-5,24.2,5-10,18.8,5,Wambri,2.6,2.2,3.6,6-7-5,196.0,10,There's Two,3.6,3.0,,,9,Next In Line,7.6,,,5-3,249.8,3-7,1268.6,3,Mellow Fellow,49.2,18.8,135.6,7-5-3,774.6,7,Z Dager,8.0,5.2,,,1,Finnegans Wake,4.2,,,3-3,452.6,,,3,La Malaguena,4.2,3.0,7.4,5-3-3,1328.4,7-5-3-3,7947.4,2,Southern Symphony,7.6,5.0,,,7,Northern Borealis,5.0,,,3-8,36.0,8-10,60.8,8,Velvet Cap,4.4,4.0,8.2,3-3-8,6450.2,10,Silver Value,5.2,4.4,,,3,Sammy's Bandit,5.2,,,8-8,50.0,8-5,45.4,8,Treasured Up,4.8,3.6,9.6,3-8-8,169.0,,,,,5,Qushchi (gb),3.6,2.6,,,6,Midnight Music (ire),5.0,,,2013-05-18
,,,,,,,,4-2,36.6,4,Excessiveness,3.2,2.1,4.6,2,Kitten's House,7.4,3.2,,,3,Illegally Blonde,2.1,4-2-3,48.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4-2,16.6,2-5,55.8,2,Proud Image,4.2,3.2,7.8,5,Gator Camp,6.4,4.0,2-5-4-1,1609.8,4,Blue Blade,9.0,,,2-7,16.8,7-6,14.2,7,Teardrop,3.2,2.4,4.2,,,6,She's Coal Fired,4.4,2.8,7-6-3-4,54.6,3,Scooter's Choice,2.4,,,7-5,18.8,5-2,52.8,5,School Mascot,4.2,2.8,8.6,,,,,2,Charade,7.8,5.4,5-2-4-3,5505.2,4,L'air Du Temps,11.0,,,5-2,36.2,2-4,300.8,2,Bemata,4.6,3.4,6.8,,,4,Musicinthehouse,22.4,8.4,2-4-7-8,13594.0,7,Midnight Music,6.6,,,2-5,154.6,5-1,147.0,5,Kims Reward,10.0,6.4,27.0,,,1,Restricted List,9.2,5.8,5-1-3-4,3184.0,3,Canadian Boss,5.6,,,5-7,280.0,7-3,240.6,7,Queen Negwer,7.6,5.2,14.2,,,,,3,Gift Receipt,11.0,8.0,7-3-4-9,16475.4,4,Bully Girl,14.0,,,7-7,30.4,7-2,18.0,7,Ghost Is Clear,2.6,2.1,3.6,,,2,Homeboykris,4.2,2.6,7-2-6-4,148.2,6,Tiban,2.4,,,7-8,45.6,8-9,356.0,8,Raven's Honor,10.0,7.6,18.0,,,,,,,9,Mr. Chow,11.8,7.0,8-9-2-1,12412.4,2,Bel Air Bullet,9.4,,,2013-05-23
,,,,,,,,6-7,13.4,6,Lake Michigan,3.2,2.2,6.4,7,Nola Girl,2.6,2.1,6-7-3-2,83.2,3,Alex's Gold,2.2,6-7-3,35.2,5-7,525.6,7-5,228.0,7,Mr. Bowling,8.4,4.2,16.4,,,,,,,5,Nicklaus Way,16.0,6.0,7-5-1-2,5990.8,1,Sabercat,3.0,7-8,73.4,8-3,22.2,8,I'm A Lucky Lady,3.8,3.0,7.4,,,,,,,3,Bye Love You,3.0,2.6,8-3-10-1,751.0,10,Horsche,4.6,,,6-5,20.2,5-3,10.8,5,Mary Magdalene,2.8,2.2,5.4,3,Tap All Night,2.4,2.2,5-3-1-4,107.6,1,Lucygotgame,3.2,,,5-3,19.0,3-5,21.8,3,Forbidden,3.4,2.2,6.8,,,5,Miss Bracken,4.0,2.4,3-5-2-6,408.4,2,Separation,2.2,,,3-4,17.8,4-2,20.0,4,Southern Blessing,2.6,2.2,4.0,,,,,2,Pontos,4.0,3.0,,,7,Runkle,2.6,4-2-7,56.0,4-2,36.4,2-7,87.4,2,Big Town,7.6,4.6,18.2,,,7,Stay Put,4.6,3.0,2-7-6-4,1833.8,6,Awesome Bet,3.4,,,2-3,62.6,3-2,29.8,3,Majestic Bay,2.8,2.2,3.6,,,2,Recurrent,11.0,5.0,3-2-7-5,765.0,7,E Pluribus,2.8,,,3-4,12.2,4-8,22.0,4,Simple Interest,3.4,2.4,5.6,,,,,8,Masaru,3.8,2.6,4-8-3-6,140.0,3,Recalling Memories,2.4,,,4-5,53.6,5-6,76.2,5,On The Loose Again,7.8,4.8,21.4,,,6,Beer Garden,5.0,3.2,5-6-4-1,3438.8,4,Sheriff Silverstar,3.8,,,5-5,340.6,5-3,688.0,5,Arborville,26.4,14.4,66.0,,,,,,,3,Stormofthecentury,18.0,11.6,5-3-1-10,32702.0,1,Law Dog,8.6,,,2013-05-24
,,,,,,,,6-1,6.8,6,Denali Holy Bull,2.1,2.1,2.8,1,Fast And Frugal,2.6,2.4,6-1-2-3,55.0,2,Numen Lumen,3.6,6-1-2,29.2,6-6,70.8,6-4,21.6,6,Dark Cove,3.8,3.2,6.4,,,,,,,4,Atigun,3.6,2.8,6-4-7-1,1026.4,7,Najjaar,4.6,6-6,142.6,6-9,317.4,6,Booster Rocket,17.8,9.4,46.6,,,,,,,9,Java For Two,7.4,4.4,6-9-11-3,4886.4,11,Song Ahead,3.4,,,6-4,77.0,4-6,159.4,4,Dowooper,13.0,8.2,55.4,6,Quite Explosive,2.8,2.4,4-6-1-2,4227.4,1,Norma's Dream,6.0,,,4-4,172.6,4-3,20.6,4,Affair,3.0,2.2,4.6,,,3,Billybillwillywill,3.8,2.8,4-3-1-6,133.4,1,Shut Down Corner,3.8,,,4-1,22.2,1-7,38.6,1,Future Prospect,5.0,3.4,8.8,,,,,7,Voodoo Doctor,4.4,3.2,1-7-8-5,420.6,8,Pure Rush,3.2,,,1-2,78.6,2-10,113.2,2,Oscar Party,6.6,4.6,11.4,,,10,Pappascat,8.4,5.6,2-10-4-3,5428.4,4,Beverage Queen,9.8,,,2-3,59.4,3-2,48.6,3,Dontgothere,5.0,3.6,8.0,,,2,Rockefeller (brz),6.0,4.2,3-2-4-7,1417.2,4,Jackson Action,3.4,,,3-10,801.0,10-8,1296.8,10,Blingboy,46.0,17.2,134.8,,,,,8,Ghost Chapel,7.0,4.2,10-8-9-1,70547.4,9,High Mystery,4.4,,,10-5,5304.6,5-1,761.0,5,Live In Joy,17.0,11.6,34.6,,,1,Street Serenade,27.6,15.4,5-1-8-7,34669.6,8,Positive Side,9.0,,,5-6,484.4,6-7,154.4,6,Tiz Now My Choice,11.0,6.0,28.4,,,,,,,7,Maserati (brz),5.4,3.2,6-7-2-1,2303.2,2,Lifes Reward,2.4,,,2013-05-25
,,,,,,,,7-1,21.2,7,Haute Cheque,3.8,2.6,7.6,,Bluesville,2.8,2.2,7-1-6-3,145.2,6,Ginger Stone,2.2,7-1-6,44.8,3-1,216.0,1-10,656.2,1,Princess Millie,18.4,9.8,53.2,,,,,,,10,Miss Relentless,18.2,8.8,1-10-2-3,16079.2,2,Cindy Says,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,7-3,41.8,3-1,25.8,3,Upon Reflection,4.2,2.8,8.2,1,Big Flirt,3.8,2.8,3-1-5-6,96.4,5,Slick Pardoned Me,3.0,,,3-3,19.8,3-2,19.4,3,Victoria's Vision,3.2,2.2,4.4,,,2,Fleet Lauren,5.6,3.2,3-2-4-8,453.0,4,Lucky Flo,2.4,,,3-1,8.6,1-5,8.0,1,Apropos,2.1,2.1,2.8,,,,,5,Seaneen Girl,3.4,2.8,1-5-3-4,119.2,3,Seans Silverdancer,3.8,,,1-7,11.2,7-5,13.8,7,Parktown,3.2,2.6,5.8,,,5,Niemi Says No,2.6,2.2,7-5-3-4,214.2,3,Goodnight Diva,3.0,,,7-7,17.8,7-5,31.0,7,Plenty O'toole,3.6,2.6,6.4,,,5,Color Harmony,5.6,3.0,7-5-1-6,619.8,,Frivolous,2.8,,,7-2,44.4,2-5,71.4,2,Kerisma,6.0,4.0,12.6,,,,,5,Friendly Dancer,5.0,4.2,2-5-8-4,10105.8,8,Ernest Effort,10.0,,,2-8,77.2,8-12,149.8,8,Gentleman's Kitten,7.4,5.2,13.6,,,12,Bi Flash,7.4,4.8,8-12-10-1,2470.8,10,Paroled,3.8,,,8-3,73.6,3-6,18.6,3,Right To Vote,3.6,2.8,6.8,,,,,,,6,Golden Frontier,3.6,2.8,3-6-1-5,504.6,1,Indisputable,4.0,,,2013-05-26
,,,,,,,,1-5,7.0,1,Pearl Of A Girl,2.1,2.1,2.6,5,Smilin In Barbados,3.2,2.8,1-5-6-4,185.6,6,Kenrado,4.6,1-5-6,43.4,9-5,17.0,5-9,25.2,5,Appealing Image,3.0,2.4,4.8,,,,,,,9,Turn And Run,6.6,4.0,5-9-10-8,436.6,10,Jaypeezee,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,1-3,11.2,3-5,16.4,3,Divergent View,3.0,2.2,7.0,5,Brazen Persuasion,2.8,2.1,,,2,Maria Maria,2.1,3-5-2,34.2,3-4,54.2,4-2,103.6,4,Flatter Me First,6.6,3.6,17.6,,,2,Frannie G,6.4,4.2,4-2-7-1,1716.4,7,Darkest Hour,3.0,,,4-7,94.8,7-1,27.0,7,Brown Eyed Jozi,4.2,3.6,8.2,,,,,1,Tyrus,3.4,3.0,7-1-2-6,694.0,2,Classy Cove,5.0,,,7-5,39.4,5-8,30.2,5,Gallant Pleasure,4.6,3.8,9.4,,,8,Princini,3.2,3.0,5-8-2-4,2606.2,2,Hometown Legend,10.2,,,5-5,17.6,5-8,41.4,5,Lunar Red,2.8,2.2,3.6,,,8,Trenton Street,8.2,4.4,5-8-9-3,206.2,9,Tyler T,3.0,,,5-5,15.8,5-2,10.4,5,Agent Di Nozzo,2.6,2.1,4.6,,,,,2,Taptowne,2.8,2.1,,,3,Endorsement,2.6,5-2-3,68.6,5-4,32.8,4-6,135.8,4,Crazy About Me,5.0,4.0,9.0,,,6,Wish Keeper,13.4,6.6,4-6-3-2,1330.0,3,Moneygrabber,2.8,,,4-9,24.8,9-5,19.0,9,Rafaelini,2.8,2.4,4.8,,,,,,,5,Allegheny Angel,3.4,3.0,9-5-10-8,1663.4,10,Fast Alexia,9.0,,,2013-05-31
