Age,Buyer.County of Origin,Buyer.Full Name,Buyer.Origin,Buyer.State of Origin,Date,Discount Rate,Gender,Name,Number of Adult Slaves,Number of Child Slaves,Number of Total Slaves Purchased,Payment Method,Predicted Interest Rate,Price,Prices Listed,Seller.County of Origin,Seller.Full Name,Seller.Origin,Seller.State of Origin,Skin Color
24.0,Unknown,Rachael H. Smith,"Unknown, MS",MS,10/31/1857,0.00602698,F,Emma,1,0,1,Cash,0.07477,1000.0,1,New Orleans,Julian M. Issac,"New Orleans, LA",LA,Mulatto
20.0,New Orleans,Robert Watson,"New Orleans, LA",LA,10/28/1857,0.00602698,M,George,1,0,1,Cash,0.07477,1250.0,1,Pope,Robert Morris,"Pope, IL",IL,Negro
33.0,New Orleans,Anthony Schmucker,"New Orleans, LA",LA,10/31/1857,0.00602698,F,America,1,0,1,Cash,0.07477,400.0,1,Tuscaloosa,James Fredell Long,"Tuscaloosa, AL",AL,Negro
25.0,New Orleans,Juan Ramirez,"New Orleans, LA",LA,11/03/1857,0.00602698,M,Senneville,1,0,1,Cash,0.07477,1000.0,1,New Orleans,Alfred Bodin,"New Orleans, LA",LA,Negro
35.0,New Orleans,Aaron Boyens,"New Orleans, LA",LA,11/02/1857,0.005790818,M,Stephen,2,3,5,Cash and Credit,0.07174632,2300.0,1,Unknown,Charity Gwinep,"Unknown, Unknown",Unknown,Unknown
35.0,New Orleans,William Augustus Claiborne Farragut,"New Orleans, LA",LA,11/04/1857,0.005790818,F,Sally,1,0,1,Cash and Credit,0.07174632,825.0,1,New Orleans,Moise Rodriguez,"New Orleans, LA",LA,Negro
45.0,New Orleans,Samuel H. Boyd,"New Orleans, LA",LA,11/3/1857,0.00602698,M,Joe,1,0,1,Cash,0.07477,500.0,1,New Orleans,Charles W. Newton,"New Orleans, LA",LA,Mulatto
36.0,New Orleans,Louise Arsene Latil,"New Orleans, LA",LA,10/28/1857,0.00602698,F,Virginie,1,0,1,Cash,0.07477,875.0,1,New Orleans,Bertrand Saloy,"New Orleans, LA",LA,Negro
40.0,New Orleans,Rosalie Robin,"New Orleans, LA",LA,11/2/1857,0.005790818,F,Nancy,1,0,1,Cash and Credit,0.07174632,650.0,1,New Orleans,William Jackson Pearce,"New Orleans, LA",LA,Mulatto
16.0,New Orleans,William Wetzel,"New Orleans, LA",LA,11/9/1857,0.005732077,M,Charles,1,0,1,Cash and Credit,0.07099544,1100.0,1,Jackson,Benjamin Meyers,"Jackson, MS",MS,Negro
26.0,New Orleans,Sophia Anastasia Neale,"New Orleans, LA",LA,11/2/1857,0.006040049,M,Levi,1,0,1,Cash and Credit,0.07493756,594.81,1,New Orleans,William Crosby Shepard,"New Orleans, LA",LA,Negro
30.0,New Orleans,Esmerelda Morphy,"New Orleans, LA",LA,11/7/1857,0.00602698,F,Marguerite,3,1,4,Cash,0.07477,1300.0,3,New Orleans,Emma Murphy,"New Orleans, LA",LA,Mulatto
25.0,New Orleans,Rebecca Ferguson,"New Orleans, LA",LA,10/30/1857,0.00602698,F,Adeline,1,0,1,Cash,0.07477,900.0,1,New Orleans,Isabella Dean Brown,"New Orleans, LA",LA,Negro
38.0,New Orleans,Erastus Peabody,"New Orleans, LA",LA,11/10/1857,0.00602698,F,Milly,1,0,1,Cash,0.07477,500.0,1,New Orleans,Henry H. Andrews,"New Orleans, LA",LA,Negro
32.0,New Orleans,Henry Warren Reed,"New Orleans, LA",LA,7/22/1857,0.005790818,F,Mary,1,0,1,Cash and Credit,0.07174632,800.0,1,St. Tammany,Enoch Courtney,"St. Tammany, LA",LA,Negro
31.0,New Orleans,Antoine Ferdinand Lemos,"New Orleans, LA",LA,11/10/1857,0.00602698,F,Rose,1,2,3,Cash,0.07477,800.0,1,New Orleans,Celeste Delery,"New Orleans, LA",LA,Negro
27.0,New Orleans,Victoire Paty,"New Orleans, LA",LA,11/9/1857,0.00602698,F,Adeline,1,0,1,Cash,0.07477,1000.0,1,New Orleans,Marie Elizabeth Antoinette Roux,"New Orleans, LA",LA,Negro
22.0,New Orleans,Jacob  George,"New Orleans, LA",LA,11/12/1857,0.00602698,M,James,1,0,1,Cash,0.07477,700.0,1,Charleston,Joseph A. Winthrop,"Charleston, SC",SC,Mulatto
26.0,New Orleans,Martha C. Hale,"New Orleans, LA",LA,11/10/1857,0.00602698,M,Mike,1,0,1,Cash,0.07477,1100.0,1,New Orleans,Archibald Lilly,"New Orleans, LA",LA,Negro
23.0,New Orleans,Martha C. Hale,"New Orleans, LA",LA,11/10/1857,0.00602698,M,Peyton,1,0,1,Cash,0.07477,1200.0,1,Mobile,Edward Ferelly,"Mobile, AL",AL,Negro
27.0,New Orleans,Martha C. Hale,"New Orleans, LA",LA,11/10/1857,0.00602698,M,William,1,0,1,Cash,0.07477,1100.0,1,New Orleans,William Jackson Maynard,"New Orleans, AL",AL,Negro
23.0,New Orleans,Adolphe Dantonet,"New Orleans, LA",LA,11/7/1857,0.00602698,F,Josephine,1,3,4,Cash,0.07477,800.0,1,New Orleans,Louis Gabici,"New Orleans, LA",LA,Mulatto
36.0,New Orleans,John Leisy,"New Orleans, LA",LA,11/6/1857,0.005790818,F,Hannah/Ann,1,0,1,Cash and Credit,0.07174632,770.0,1,New Orleans,Louis Francois Fazende,"New Orleans, LA",LA,Negro
30.0,New Orleans,Rafael Maria del Castillo,"New Orleans, LA",LA,11/11/1857,0.005790818,F,Marguerite,1,1,2,Cash and Credit,0.07174632,1700.0,1,New Orleans,Esmerelda Morphy,"New Orleans, LA",LA,Mulatto
32.0,New Orleans,John Barry,"New Orleans, LA",LA,10/19/1857,0.005849522,M,Lewis,1,0,1,Cash and Credit,0.0724972,1100.0,1,New Orleans,William Barry,"New Orleans, LA",LA,Negro
30.0,New Orleans,Adam Scott,"New Orleans, LA",LA,7/10/1857,0.00602698,F,Kitty,1,0,1,Cash,0.07477,825.0,1,New Orleans,Theresa H. Smelser,"New Orleans, LA",LA,Mulatto
28.0,Jefferson,Paul Choppin,"Jefferson, LA",LA,11/6/1857,0.00602698,M,William Stewart,13,0,13,Cash,0.07477,6550.0,1,New Orleans,Joseph Menard,"New Orleans, LA",LA,Negro
15.0,Pointe Coupee,Eugene Tircuit,"Pointe Coupee, LA",LA,11/13/1857,0.00602698,M,James Ringold,1,0,1,Cash,0.07477,1300.0,1,New Orleans,Jonathan Means Wilson,"New Orleans, LA",LA,Negro
23.0,New Orleans,Jonas Pickles,"New Orleans, LA",LA,10/7/1857,0.00602698,F,Antoinita,1,0,1,Cash,0.07477,1050.0,1,New Orleans,Newton Cannon Gullett,"New Orleans, LA",LA,Negro
22.0,New Orleans,Marcelin Gillis,"New Orleans, LA",LA,11/18/1857,0.00587886,M,Esquire Wright,4,0,4,Cash and Credit,0.07287264,1450.0,4,Baltimore,Bernard Moore Campbell,"Baltimore, MD",MD,Negro
28.0,New Orleans,George Chism,"New Orleans, LA",LA,11/19/1857,0.00602698,M,Jarret Butler,2,0,2,Cash,0.07477,1800.0,1,New Orleans,Cyrus Chism,"New Orleans, LA",LA,Unknown
21.0,New Orleans,John Thornton Sibly,"New Orleans, LA",LA,11/12/1857,0.00602698,F,Sally,1,1,2,Cash,0.07477,1200.0,1,Saline,Richard Albertson Sibly,"Saline, TX",TX,Negro
22.0,New Orleans,Robert Geddes,"New Orleans, LA",LA,11/20/1857,0.00602698,M,Gideon,1,0,1,Cash,0.07477,1500.0,1,New Orleans,Isaac P. Abrams,"New Orleans, LA",LA,Mulatto
21.0,New Orleans,Lewis Neville Shelton,"New Orleans, LA",LA,11/21/1857,0.00602698,M,George,1,0,1,Cash,0.07477,1250.0,1,Tensas ,Edmund W. Randle,"Tensas , LA",LA,Negro
17.0,East Baton Rouge,William Sevey,"East Baton Rouge, LA",LA,10/14/1857,0.00602698,F,Margaret,1,0,1,Cash,0.07477,1000.0,1,New Orleans,James W. Boazman,"New Orleans, LA",LA,Mulatto
-1.0,New Orleans,Euphemia E. Judson,"New Orleans, LA",LA,9/25/1857,0.00602698,F,Emilie,1,0,1,Cash,0.07477,600.0,1,New Orleans,Theodore L. McGill,"New Orleans, LA",LA,Mulatto
24.0,New Orleans,Euphemia E. Judson,"New Orleans, LA",LA,11/24/1857,0.00602698,M,Jefferson,1,0,1,Cash,0.07477,1350.0,1,New Orleans,John B. Smith,"New Orleans, LA",LA,Negro
23.0,New Orleans,Laure Victoire Barjac,"New Orleans, LA",LA,11/18/1857,0.00587886,F,Lida,1,1,2,Cash and Credit,0.07287264,800.0,1,New Orleans,Theodore Melchoir Dromel,"New Orleans, LA",LA,Negro
