Age Adjusted CI Lower,Age Adjusted CI Upper,Age Adjusted Rate,Area,Count,Crude CI Lower,Crude CI Upper,Crude Rate,Event Type,Population,Race,Sex,Year
187.0,194.5,190.7,Alabama,10196,208.9,217.2,213.1,Mortality,4785401,All Races,Male and Female,2011
167.5,190.2,178.6,Alabama,984,148.1,168.0,157.8,Mortality,623475,Black,Female,1999
319.1,349.9,334.2,Alabama,1848,281.3,308.3,294.5,Incidence,627439,Black,Female,2000
164.0,186.3,174.9,Alabama,977,146.1,165.8,155.7,Mortality,627439,Black,Female,2000
336.9,368.3,352.4,Alabama,1970,298.6,326.4,312.3,Incidence,630901,Black,Female,2001
180.9,204.1,192.3,Alabama,1077,160.7,181.2,170.7,Mortality,630901,Black,Female,2001
335.8,367.0,351.1,Alabama,1979,298.8,326.5,312.5,Incidence,633374,Black,Female,2002
168.6,191.0,179.6,Alabama,1011,149.9,169.8,159.6,Mortality,633374,Black,Female,2002
337.7,368.7,353.0,Alabama,2023,304.0,331.8,317.6,Incidence,636876,Black,Female,2003
168.3,190.6,179.2,Alabama,1018,150.2,170.0,159.8,Mortality,636876,Black,Female,2003
352.9,384.4,368.4,Alabama,2141,319.6,348.0,333.6,Incidence,641873,Black,Female,2004
167.2,189.4,178.0,Alabama,1016,148.7,168.3,158.3,Mortality,641873,Black,Female,2004
361.0,392.6,376.6,Alabama,2227,330.0,358.7,344.1,Incidence,647132,Black,Female,2005
165.9,187.7,176.6,Alabama,1032,149.9,169.5,159.5,Mortality,647132,Black,Female,2005
339.0,369.4,354.0,Alabama,2147,312.8,340.6,326.5,Incidence,657654,Black,Female,2006
157.2,178.3,167.5,Alabama,1004,143.4,162.4,152.7,Mortality,657654,Black,Female,2006
354.4,385.0,369.5,Alabama,2293,330.9,359.3,344.9,Incidence,664831,Black,Female,2007
166.7,188.2,177.2,Alabama,1076,152.3,171.8,161.8,Mortality,664831,Black,Female,2007
370.7,384.4,377.5,Alabama,12174,352.7,365.5,359.0,Incidence,3390753,Black,Female,2009
165.9,175.2,170.5,Alabama,5294,153.4,161.9,157.6,Mortality,3358838,Black,Female,2009
368.5,399.5,383.7,Alabama,2435,347.5,376.4,361.8,Incidence,673102,Black,Female,2008
162.8,183.9,173.1,Alabama,1079,150.9,170.2,160.3,Mortality,673102,Black,Female,2008
366.1,396.8,381.2,Alabama,2460,348.3,377.1,362.5,Incidence,678586,Black,Female,2009
160.7,181.6,171.0,Alabama,1073,148.8,167.9,158.1,Mortality,678586,Black,Female,2009
363.4,393.9,378.4,Alabama,2484,348.8,377.5,362.9,Incidence,684469,Black,Female,2010
154.6,174.8,164.5,Alabama,1062,145.9,164.7,155.1,Mortality,684665,Black,Female,2010
359.7,389.8,374.5,Alabama,2502,348.7,377.2,362.7,Incidence,689765,Black,Female,2011
154.6,174.8,164.5,Alabama,1062,145.9,164.7,155.1,Mortality,684665,Black,Female,2011
341.1,382.6,361.5,Alabama,1219,213.6,239.1,226.1,Mortality,539198,Black,Male,1999
542.0,592.1,566.7,Alabama,2062,363.4,396.4,379.6,Incidence,543178,Black,Male,2000
342.4,383.9,362.8,Alabama,1235,214.9,240.4,227.4,Mortality,543178,Black,Male,2000
582.6,634.5,608.2,Alabama,2235,392.1,426.2,408.9,Incidence,546578,Black,Male,2001
350.6,392.7,371.2,Alabama,1276,220.8,246.6,233.5,Mortality,546578,Black,Male,2001
591.2,643.3,616.9,Alabama,2310,403.6,438.1,420.6,Incidence,549217,Black,Male,2002
334.2,375.5,354.5,Alabama,1223,210.4,235.5,222.7,Mortality,549217,Black,Male,2002
561.6,612.3,586.6,Alabama,2235,387.4,421.0,403.9,Incidence,553307,Black,Male,2003
326.4,367.2,346.4,Alabama,1220,208.3,233.2,220.5,Mortality,553307,Black,Male,2003
619.1,672.2,645.3,Alabama,2507,432.4,467.8,449.8,Incidence,557319,Black,Male,2004
319.0,359.7,339.0,Alabama,1187,201.0,225.5,213.0,Mortality,557319,Black,Male,2004
619.6,671.8,645.4,Alabama,2612,446.4,482.2,464.0,Incidence,562888,Black,Male,2005
322.4,362.8,342.2,Alabama,1235,207.3,232.0,219.4,Mortality,562888,Black,Male,2005
598.5,649.0,623.4,Alabama,2623,440.5,475.7,457.9,Incidence,572880,Black,Male,2006
305.8,344.6,324.8,Alabama,1221,201.3,225.4,213.1,Mortality,572880,Black,Male,2006
597.3,647.3,621.9,Alabama,2692,447.5,482.8,464.9,Incidence,579036,Black,Male,2007
314.4,353.5,333.5,Alabama,1278,208.8,233.2,220.7,Mortality,579036,Black,Male,2007
595.7,617.2,606.4,Alabama,13981,464.8,480.5,472.6,Incidence,2958467,Black,Male,2009
306.0,322.8,314.3,Alabama,6229,207.4,218.0,212.7,Mortality,2929130,Black,Male,2009
619.9,670.4,644.8,Alabama,2866,471.3,507.3,489.0,Incidence,586075,Black,Male,2008
295.7,333.3,314.1,Alabama,1244,200.6,224.4,212.3,Mortality,586075,Black,Male,2008
601.9,650.9,626.1,Alabama,2880,468.4,504.0,485.9,Incidence,592661,Black,Male,2009
296.9,334.3,315.3,Alabama,1277,203.8,227.6,215.5,Mortality,592661,Black,Male,2009
557.3,603.7,580.1,Alabama,2790,449.2,484.0,466.4,Incidence,598247,Black,Male,2010
269.3,304.4,286.5,Alabama,1209,190.8,213.7,202.0,Mortality,598478,Black,Male,2010
540.8,586.3,563.2,Alabama,2753,440.1,474.4,457.0,Incidence,602448,Black,Male,2011
269.3,304.4,286.5,Alabama,1209,190.8,213.7,202.0,Mortality,598478,Black,Male,2011
236.1,256.9,246.3,Alabama,2203,181.6,197.6,189.5,Mortality,1162673,Black,Male and Female,1999
409.8,436.5,423.0,Alabama,3910,323.6,344.6,334.0,Incidence,1170617,Black,Male and Female,2000
233.6,254.1,243.7,Alabama,2212,181.2,197.0,189.0,Mortality,1170617,Black,Male and Female,2000
435.6,463.0,449.1,Alabama,4205,346.4,368.1,357.1,Incidence,1177479,Black,Male and Female,2001
246.9,267.9,257.2,Alabama,2353,191.8,208.1,199.8,Mortality,1177479,Black,Male and Female,2001
439.3,466.6,452.8,Alabama,4289,351.9,373.7,362.7,Incidence,1182591,Black,Male and Female,2002
232.5,252.8,242.5,Alabama,2234,181.2,196.9,188.9,Mortality,1182591,Black,Male and Female,2002
427.7,454.5,441.0,Alabama,4258,347.1,368.7,357.8,Incidence,1190183,Black,Male and Female,2003
230.8,251.0,240.7,Alabama,2238,180.3,196.0,188.0,Mortality,1190183,Black,Male and Female,2003
460.2,487.8,473.9,Alabama,4648,376.5,398.9,387.6,Incidence,1199192,Black,Male and Female,2004
