amazon revenue,author revenue,average rating,genre,gross sales,name,publisher revenue,sale price,sales rank,sold by,total reviews,type,units sold
722.6505,389.1195,4.5,genre fiction,1111.77,(Indie Publisher),0.0,0.99,92,"Amazon Digital Services,  Inc.",63,indie,1123
1120.754,1120.754,4.64,genre fiction,5603.77,(Small or Medium Publisher),3362.262,4.99,92,"Amazon Digital Services,  Inc.",19837,small/medium,1123
440.586,440.586,4.06,genre fiction,2202.93,St. Martin's Press,1321.758,1.99,93,Macmillan,1060,big five,1107
1396.648,1396.648,3.91,genre fiction,6983.24,Doubleday,4189.944,6.49,95,Random House LLC,13060,big five,1076
1377.178,1377.178,4.16,genre fiction,6885.89,Bantam,4131.534,6.49,96,Random House LLC,1223,big five,1061
207.108,207.108,4.27,nonfiction,1035.54,(Small or Medium Publisher),621.324,0.99,97,"Amazon Digital Services,  Inc.",81,small/medium,1046
662.805,356.895,4.62,genre fiction,1019.7,(Indie Publisher),0.0,0.99,98,"Amazon Digital Services,  Inc.",381,indie,1030
1823.955,4255.895,4.58,genre fiction,6079.85,(Indie Publisher),0.0,5.99,99,"Amazon Digital Services,  Inc.",168,indie,1015
1386.49,1386.49,4.45,genre fiction,6932.45,Razorbill,4159.47,6.83,99,Penguin Group (USA) LLC,722,big five,1015
640.2825,344.7675,4.45,genre fiction,985.05,(Indie Publisher),0.0,0.99,101,"Amazon Digital Services,  Inc.",507,indie,995
1013.76,1013.76,4.73,genre fiction,5068.8,Berkley,3041.28,5.12,102,Penguin Group (USA) LLC,288,big five,990
439.04,439.04,3.62,fiction,2195.2,(Small or Medium Publisher),1317.12,2.24,104,"Amazon Digital Services,  Inc.",224,small/medium,980
1462.5,1462.5,3.6,genre fiction,7312.5,"Little, Brown and Company",4387.5,7.5,105,Hachette Book Group,2062,big five,975
624.195,336.105,4.0,genre fiction,960.3,(Indie Publisher),0.0,0.99,106,"Amazon Digital Services,  Inc.",3,indie,970
2044.8,2044.8,4.58,genre fiction,10224.0,Berkley,6134.4,10.65,108,Penguin Group (USA) LLC,36,big five,960
