amazon revenue,author revenue,average rating,genre,gross sales,name,publisher revenue,sale price,sales rank,sold by,total reviews,type,units sold
1696.486,1696.486,4.57,genre fiction,8482.43,Grand Central Publishing,5089.458,6.49,80,Hachette Book Group,3156,big five,1307
1289.416,1289.416,3.38,genre fiction,6447.08,Vintage,3868.248,4.99,81,Random House LLC,23362,big five,1292
507.848,507.848,4.65,nonfiction,2539.24,HarperCollins e-books,1523.544,1.99,82,HarperCollins Publishers,140,big five,1276
1472.31,3435.39,4.64,genre fiction,4907.7,(Indie Publisher),0.0,3.99,85,"Amazon Digital Services,  Inc.",251,indie,1230
781.8525,420.9975,4.67,genre fiction,1202.85,(Indie Publisher),0.0,0.99,86,"Amazon Digital Services,  Inc.",98,indie,1215
483.57,483.57,4.03,genre fiction,2417.85,HarperCollins e-books,1450.71,1.99,86,HarperCollins Publishers,637,big five,1215
772.2,415.8,4.83,genre fiction,1188.0,(Indie Publisher),0.0,0.99,87,"Amazon Digital Services,  Inc.",6,indie,1200
1552.2,835.8,4.3,fiction,2388.0,AmazonEncore,0.0,1.99,87,"Amazon Digital Services,  Inc.",1760,amazon,1200
471.232,471.232,4.41,genre fiction,2356.16,St. Martin's Press,1413.696,1.99,88,Macmillan,882,big five,1184
231.462,231.462,4.76,genre fiction,1157.31,(Small or Medium Publisher),694.386,0.99,89,"Amazon Digital Services,  Inc.",34,small/medium,1169
231.462,231.462,4.33,genre fiction,1157.31,(Small or Medium Publisher),694.386,0.99,89,"Amazon Digital Services,  Inc.",21,small/medium,1169
722.6505,389.1195,4.5,genre fiction,1111.77,(Indie Publisher),0.0,0.99,92,"Amazon Digital Services,  Inc.",63,indie,1123
1120.754,1120.754,4.64,genre fiction,5603.77,(Small or Medium Publisher),3362.262,4.99,92,"Amazon Digital Services,  Inc.",19837,small/medium,1123
440.586,440.586,4.06,genre fiction,2202.93,St. Martin's Press,1321.758,1.99,93,Macmillan,1060,big five,1107
1396.648,1396.648,3.91,genre fiction,6983.24,Doubleday,4189.944,6.49,95,Random House LLC,13060,big five,1076
1377.178,1377.178,4.16,genre fiction,6885.89,Bantam,4131.534,6.49,96,Random House LLC,1223,big five,1061
207.108,207.108,4.27,nonfiction,1035.54,(Small or Medium Publisher),621.324,0.99,97,"Amazon Digital Services,  Inc.",81,small/medium,1046
662.805,356.895,4.62,genre fiction,1019.7,(Indie Publisher),0.0,0.99,98,"Amazon Digital Services,  Inc.",381,indie,1030
1823.955,4255.895,4.58,genre fiction,6079.85,(Indie Publisher),0.0,5.99,99,"Amazon Digital Services,  Inc.",168,indie,1015
1386.49,1386.49,4.45,genre fiction,6932.45,Razorbill,4159.47,6.83,99,Penguin Group (USA) LLC,722,big five,1015
640.2825,344.7675,4.45,genre fiction,985.05,(Indie Publisher),0.0,0.99,101,"Amazon Digital Services,  Inc.",507,indie,995
1013.76,1013.76,4.73,genre fiction,5068.8,Berkley,3041.28,5.12,102,Penguin Group (USA) LLC,288,big five,990
439.04,439.04,3.62,fiction,2195.2,(Small or Medium Publisher),1317.12,2.24,104,"Amazon Digital Services,  Inc.",224,small/medium,980
1462.5,1462.5,3.6,genre fiction,7312.5,"Little, Brown and Company",4387.5,7.5,105,Hachette Book Group,2062,big five,975
624.195,336.105,4.0,genre fiction,960.3,(Indie Publisher),0.0,0.99,106,"Amazon Digital Services,  Inc.",3,indie,970
2044.8,2044.8,4.58,genre fiction,10224.0,Berkley,6134.4,10.65,108,Penguin Group (USA) LLC,36,big five,960
1534.08,1534.08,0.0,genre fiction,7670.4,Berkley,4602.24,7.99,108,Penguin Group (USA) LLC,0,big five,960
1222.3575,658.1925,4.38,genre fiction,1880.55,Montlake Romance,0.0,1.99,111,"Amazon Digital Services,  Inc.",93,amazon,945
938.12,938.12,4.37,genre fiction,4690.6,St. Martin's Press,2814.36,4.99,112,Macmillan,901,big five,940
746.13,746.13,4.0,genre fiction,3730.65,InterMix,2238.39,3.99,113,Penguin Group (USA) LLC,208,big five,935
1202.955,647.745,4.19,genre fiction,1850.7,(Indie Publisher),0.0,1.99,114,"Amazon Digital Services,  Inc.",87,indie,930
1196.0,1196.0,4.64,genre fiction,5980.0,(Small or Medium Publisher),3588.0,6.5,116,"Amazon Digital Services,  Inc.",13290,small/medium,920
181.17,181.17,4.33,genre fiction,905.85,Loveswept,543.51,0.99,117,Random House LLC,24,big five,915
1551.84,1551.84,3.82,fiction,7759.2,(Small or Medium Publisher),4655.52,8.48,117,"Amazon Digital Services,  Inc.",388,small/medium,915
585.585,315.315,4.84,genre fiction,900.9,(Indie Publisher),0.0,0.99,118,"Amazon Digital Services,  Inc.",197,indie,910
179.19,179.19,4.68,genre fiction,895.95,(Single-Author Publisher),537.57,0.99,119,"Amazon Digital Services,  Inc.",219,single author,905
579.15,311.85,4.3,genre fiction,891.0,(Indie Publisher),0.0,0.99,120,"Amazon Digital Services,  Inc.",20,indie,900
1168.2,1168.2,4.32,nonfiction,5841.0,Henry Holt and Co.,3504.6,6.49,120,Macmillan,4549,big five,900
