quantity,questions,exclaims,hour,month,day,length
1,0.0,0.0,03,03,01,1167
1,1.0,0.0,19,02,04,1052
1,1.0,1.0,11,09,03,636
4,0.0,0.0,10,12,01,564
6,2.0,0.0,03,08,02,240
1,0.0,0.0,04,09,01,654
1,0.0,0.0,09,12,02,413
1,2.0,0.0,17,01,02,605
1,0.0,0.0,11,08,03,752
1,6.0,0.0,16,11,03,893
1,0.0,0.0,13,03,00,42
1,0.0,0.0,06,02,04,246
1,2.0,0.0,15,02,03,920
1,0.0,1.0,10,10,04,436
9,0.0,0.0,05,05,03,347
1,0.0,0.0,10,03,01,653
1,0.0,0.0,08,03,03,826
1,0.0,0.0,16,10,01,2002
1,2.0,0.0,07,11,02,1291
6,0.0,0.0,05,10,02,351
1,0.0,1.0,10,12,01,282
1,0.0,0.0,09,01,06,490
1,9.0,1.0,15,06,04,6986
1,0.0,2.0,11,03,03,1907
1,0.0,0.0,06,06,03,626
2,2.0,2.0,09,10,06,9035
1,0.0,0.0,15,04,02,224
1,0.0,0.0,02,04,04,201
1,0.0,1.0,17,02,00,536
3,1.0,1.0,04,04,03,253
1,1.0,0.0,16,09,00,758
1,0.0,0.0,13,04,03,641
1,1.0,0.0,19,09,03,621
1,0.0,0.0,03,01,03,185
1,0.0,0.0,02,04,04,551
1,1.0,0.0,11,05,03,359
1,0.0,0.0,15,10,02,286
1,10.0,1.0,22,10,01,1717
3,1.0,1.0,11,07,05,840
1,1.0,2.0,05,02,01,1423
1,0.0,3.0,05,03,05,1592
2,0.0,0.0,08,04,00,1238
5,0.0,0.0,05,10,01,1171
1,0.0,0.0,08,12,01,273
5,1.0,0.0,05,06,03,1011
2,1.0,0.0,13,08,04,579
5,1.0,0.0,10,01,04,1038
2,5.0,0.0,16,01,02,1040
1,4.0,0.0,08,06,06,4033
1,0.0,1.0,22,01,05,1304
20,0.0,3.0,11,11,06,394
1,0.0,0.0,21,04,02,294
1,0.0,0.0,10,06,02,1021
1,0.0,6.0,11,09,04,1188
1,0.0,0.0,02,11,00,1141
1,0.0,0.0,11,10,00,0
2,1.0,0.0,00,02,01,573
1,0.0,0.0,14,12,04,1177
1,0.0,0.0,07,09,03,1534
4,4.0,0.0,08,11,05,1741
1,0.0,0.0,06,05,02,1139
1,1.0,0.0,08,05,06,612
21,1.0,0.0,03,06,03,798
1,0.0,0.0,10,07,02,1263
1,0.0,0.0,01,09,03,1280
1,0.0,0.0,04,03,04,979
12,1.0,1.0,06,10,06,580
1,0.0,0.0,12,03,03,200
1,1.0,6.0,16,06,00,1105
1,0.0,1.0,10,09,01,680
1,0.0,0.0,12,12,02,108
1,4.0,0.0,09,01,01,1421
1,3.0,0.0,08,07,01,1573
3,2.0,0.0,11,09,03,1996
3,0.0,1.0,05,04,03,830
1,0.0,1.0,20,02,02,565
1,0.0,0.0,09,01,04,282
1,1.0,0.0,02,12,02,998
1,0.0,0.0,18,03,05,577
1,0.0,0.0,17,03,02,572
1,0.0,0.0,19,02,06,1986
1,0.0,0.0,11,10,02,756
5,0.0,1.0,07,01,04,691
1,0.0,0.0,06,03,01,495
1,0.0,1.0,02,02,02,1467
1,4.0,0.0,01,01,03,3118
1,0.0,0.0,01,04,03,743
4,2.0,0.0,11,01,03,906
1,0.0,1.0,11,07,03,664
1,1.0,0.0,12,10,01,625
1,1.0,0.0,05,07,02,322
1,0.0,2.0,17,06,00,1975
1,6.0,0.0,12,10,03,4477
9,5.0,0.0,04,11,03,3598
1,6.0,1.0,11,01,05,670
35,0.0,0.0,12,03,05,826
1,2.0,3.0,13,04,01,609
2,2.0,0.0,14,10,02,756
4,12.0,0.0,23,01,01,2594
1,1.0,0.0,08,09,03,1032
3,3.0,0.0,18,08,04,2891
3,3.0,1.0,09,02,00,2641
1,0.0,1.0,04,11,03,627
1,0.0,0.0,12,12,00,230
1,0.0,0.0,05,12,06,2748
1,5.0,1.0,04,03,01,2477
4,0.0,0.0,08,12,05,303
1,4.0,0.0,11,02,04,3664
9,2.0,1.0,15,07,04,338
