quantity,questions,exclaims,hour,month,day,length
SINGLE,0.0,0.0,Evening,FALL,Day,1511
SINGLE,1.0,0.0,Night,WINTER,Day,2228
SHORT,4.0,0.0,SmallHours,FALL,Day,1382
SINGLE,1.0,1.0,Morning,SUMMER,Day,2878
SINGLE,0.0,0.0,Evening,SUMMER,Day,157
SINGLE,0.0,2.0,SmallHours,WINTER,Day,2164
SINGLE,0.0,0.0,Morning,SUMMER,Day,557
SHORT,1.0,0.0,Morning,SPRING,Day,515
SHORT,3.0,0.0,Morning,FALL,Day,1852
SINGLE,1.0,1.0,Evening,FALL,Day,1556
SHORT,1.0,0.0,Morning,FALL,Day,545
SHORT,0.0,2.0,Morning,SUMMER,Day,775
SINGLE,0.0,0.0,Evening,FALL,Day,230
SINGLE,0.0,0.0,Night,SUMMER,Day,472
SINGLE,2.0,1.0,Morning,WINTER,End,845
SHORT,8.0,0.0,Evening,SPRING,Day,1483
SINGLE,0.0,0.0,Morning,FALL,Day,387
SINGLE,0.0,3.0,Morning,WINTER,Day,789
SINGLE,3.0,0.0,Evening,SUMMER,Day,3240
SINGLE,0.0,0.0,Morning,WINTER,Day,1150
SHORT,0.0,1.0,Evening,SUMMER,Day,2538
SINGLE,5.0,2.0,SmallHours,SUMMER,Day,10008
SINGLE,0.0,0.0,Night,WINTER,Day,676
SHORT,0.0,1.0,Morning,WINTER,Day,2138
SINGLE,0.0,0.0,Evening,WINTER,Day,1451
SINGLE,0.0,0.0,Night,SPRING,Day,2376
SINGLE,0.0,0.0,Evening,WINTER,Day,1802
SINGLE,0.0,0.0,Evening,SPRING,Day,140
SHORT,0.0,0.0,Morning,FALL,Day,117
LONG,0.0,1.0,SmallHours,WINTER,End,1342
SHORT,3.0,1.0,Evening,FALL,Day,1403
SINGLE,1.0,0.0,Morning,FALL,Day,157
SINGLE,0.0,0.0,Morning,SPRING,Day,666
SHORT,1.0,0.0,SmallHours,WINTER,Day,574
SINGLE,0.0,0.0,Morning,SUMMER,Day,2049
SINGLE,0.0,1.0,Morning,SPRING,Day,1908
SHORT,0.0,0.0,Morning,FALL,Day,606
SINGLE,2.0,1.0,Evening,WINTER,End,835
SHORT,1.0,1.0,Night,WINTER,Day,463
SINGLE,0.0,1.0,Morning,FALL,Day,165
SINGLE,1.0,0.0,SmallHours,SPRING,Day,839
SINGLE,2.0,0.0,Evening,FALL,Day,623
SINGLE,0.0,0.0,Morning,WINTER,Day,1894
SHORT,2.0,1.0,Morning,SPRING,Day,754
SHORT,0.0,0.0,Morning,FALL,End,950
SINGLE,0.0,0.0,Morning,WINTER,Day,981
SINGLE,0.0,0.0,Morning,SUMMER,Day,351
SINGLE,0.0,0.0,Morning,WINTER,Day,803
SINGLE,0.0,0.0,Morning,WINTER,Day,929
SINGLE,10.0,0.0,Morning,SPRING,Day,3451
SINGLE,0.0,0.0,Morning,SPRING,Day,1816
SINGLE,1.0,0.0,Morning,FALL,Day,659
SHORT,0.0,0.0,Evening,SUMMER,End,200
SHORT,0.0,2.0,Morning,WINTER,Day,2291
SINGLE,0.0,0.0,Night,WINTER,Day,985
SHORT,3.0,0.0,Morning,WINTER,Day,358
SINGLE,2.0,4.0,Evening,WINTER,Day,3652
SHORT,0.0,0.0,Evening,SPRING,Day,1463
SINGLE,0.0,0.0,Evening,FALL,Day,266
SHORT,0.0,0.0,Morning,SUMMER,Day,138
SINGLE,0.0,0.0,Morning,WINTER,Day,486
LONG,2.0,0.0,Evening,FALL,Day,594
SINGLE,0.0,0.0,SmallHours,WINTER,Day,1631
SHORT,0.0,0.0,Evening,WINTER,Day,0
SINGLE,0.0,1.0,SmallHours,FALL,Day,291
SINGLE,1.0,0.0,Evening,SUMMER,End,3520
SINGLE,0.0,0.0,Morning,FALL,Day,531
SINGLE,0.0,1.0,Morning,WINTER,End,1409
SINGLE,0.0,0.0,Night,WINTER,Day,1026
SINGLE,5.0,0.0,Evening,FALL,Day,650
SINGLE,0.0,0.0,,SUMMER,Day,74
SINGLE,0.0,0.0,Morning,WINTER,Day,584
SINGLE,0.0,1.0,,WINTER,Day,898
SHORT,0.0,0.0,Morning,FALL,Day,331
SINGLE,0.0,0.0,SmallHours,SUMMER,Day,2870
SINGLE,0.0,1.0,Night,SPRING,Day,689
SINGLE,0.0,0.0,Morning,WINTER,Day,688
SINGLE,0.0,0.0,Morning,SUMMER,End,1643
SINGLE,1.0,0.0,Evening,FALL,Day,274
SINGLE,1.0,0.0,Evening,WINTER,End,1208
SHORT,5.0,0.0,Evening,SUMMER,Day,2220
SINGLE,0.0,0.0,Evening,WINTER,Day,386
SHORT,1.0,0.0,SmallHours,SUMMER,Day,320
