2010 Population,2014 Population,Accommodation and Food Services Sales,American Indian and Alaska Native Alone,American Indian-Owned,Asian Alone,Asian-Owned,Bachelor's Degree or Higher,Black Alone,Black-Owned,Building Permits,County,Foreign Born,High School or Higher,Hispanic or Latino,Hispanic-Owned,Homeownership Rate,Households,Housing Units,Land Area,Language Other than English at Home,Living in Same House +1 Years,Manufacturers Shipments,Mean Travel Time to Work,Median Houseold Income,Median Value of Owner-Occupied Units,Merchant Wholesaler Sales,Native Hawaiian and Other Pacific Islander Alone,Native Hawaiian and Other Pacific Islander-Owned,Nonemployer Establishments,Per Capita Income,Percent 65 and Older,Percent Female,Percent Under 18 Years,Percent Under 5 Years,Persons Below Poverty Level,Persons per Household,Population Percent Change,Population per Square Mile,Private Non-farm Employment,Private Non-farm Employment Percent Change,Private Non-farm Establishments,Retail Sales,Retail Sales per Capita,State,Total,Two or More Races,Units in Multi-Unit Structures,Veterans,White Alone,"White Alone, not Hispanic or Latino",Women-Owned
72155,73966,524,3.0,0.0,7.3,0.0,13.7,4.0,0.0,201,Yuba County,12.3,79.0,27.2,11.0,59.1,24300,28015,631.84,24.7,76.3,1699,29.5,44902,171000,0,0.5,0.0,3141,19244,11.4,49.2,27.8,8.1,21.6,2.93,2.5,114.2,9130,4.9,820,4235,5908,CA,4111,5.9,18.5,6420,79.4,56.6,41.6
441603,480718,5780,2.1,0.0,4.1,3.8,20.9,3.7,1.6,1115,Adams County,14.9,81.4,38.8,14.0,65.6,152803,166243,1167.65,28.4,82.4,61615,28.4,56270,186600,111933,0.2,0.0,28546,24195,9.6,49.6,27.7,7.6,14.2,2.93,8.8,378.2,137849,3.0,8559,48489,11556,CO,32777,2.9,23.9,27662,87.0,51.9,29.8
15445,16177,302,5.5,0.0,1.6,0.0,24.2,1.9,0.0,52,Alamosa County,6.7,84.7,45.5,19.4,61.5,5891,6684,722.64,22.6,78.6,0,15.0,34520,137300,853,0.3,0.0,1096,19487,12.6,49.6,23.9,7.7,26.5,2.51,4.7,21.4,5383,-2.7,475,2629,17193,CO,1341,3.0,17.5,1121,87.8,49.5,25.4
572003,618821,10085,1.1,0.8,5.6,5.2,38.8,10.9,4.1,1897,Arapahoe County,14.9,91.4,18.8,6.2,62.7,225552,243745,798.1,22.1,80.6,20429,26.9,60651,230700,57741,0.2,0.1,50623,32595,11.9,50.7,24.5,6.5,12.1,2.58,8.2,716.7,259423,5.3,17284,99319,18277,CO,61951,3.7,34.4,42954,78.3,62.1,28.4
12084,12244,331,3.3,0.0,1.1,0.0,32.9,0.5,0.0,75,Archuleta County,3.3,91.7,18.6,0.0,73.7,4881,8943,1350.18,10.7,87.7,0,19.6,48933,279700,87,0.1,0.0,1892,29793,22.9,49.9,18.3,4.9,9.7,2.45,1.3,8.9,2965,8.1,490,1426,11435,CO,2521,2.4,12.6,1162,92.7,76.9,17.4
3788,3645,0,2.0,0.0,0.4,0.0,17.2,1.1,0.0,0,Baca County,2.8,87.3,10.5,0.0,74.4,1651,2232,2554.97,5.2,88.9,0,12.6,38829,73500,526,0.0,0.0,363,22318,25.7,50.1,21.3,6.6,15.2,2.2,-3.8,1.5,525,-5.4,90,329,8570,CO,0,2.1,4.1,330,94.4,85.5,0.0
6499,5630,29,3.2,0.0,1.3,0.0,8.8,7.2,0.0,0,Bent County,5.9,79.4,31.8,0.0,63.5,1873,2217,1512.86,17.8,85.6,0,17.7,37340,75500,0,0.1,0.0,219,15081,16.9,35.6,16.2,3.7,19.1,2.17,-13.4,4.3,551,-1.8,57,164,2838,CO,331,1.7,5.1,614,86.5,58.0,0.0
294567,313333,6689,0.8,0.5,4.5,2.4,58.3,1.1,0.5,1371,Boulder County,10.9,93.9,13.8,3.5,63.1,120521,130938,726.29,16.5,76.2,38558,22.7,67956,350900,27821,0.1,0.0,35710,38011,12.2,49.8,20.3,5.0,14.2,2.42,6.4,405.6,139136,0.9,11696,40392,13660,CO,42506,2.6,28.9,15432,90.8,78.3,30.2
55889,62138,1634,0.8,0.0,6.3,3.9,47.5,1.4,1.3,820,Broomfield County,8.6,94.9,12.0,2.0,68.3,22016,25900,33.03,13.8,81.1,22554,26.2,77998,275900,0,0.1,0.0,5010,37442,12.2,50.4,24.7,6.0,7.1,2.59,11.2,1691.9,33426,7.1,1810,11398,21240,CO,6284,2.5,25.0,3824,88.8,78.0,0.0
17809,18363,492,1.5,0.0,0.8,0.0,33.9,1.7,0.0,105,Chaffee County,3.5,91.1,10.2,4.0,76.2,7832,10319,1013.4,6.3,86.7,0,14.9,46504,262300,235,0.1,0.0,2113,27182,23.0,47.2,15.8,4.0,8.0,2.15,3.1,17.6,5367,-3.6,860,2525,14982,CO,3369,1.5,8.3,2264,94.4,85.4,27.8
1836,1871,4,1.3,0.0,0.6,0.0,21.3,0.7,0.0,1,Cheyenne County,8.5,87.0,12.7,0.0,76.5,839,970,1778.28,11.4,86.0,0,13.0,51641,81700,511,0.1,0.0,197,23647,18.2,48.5,25.0,8.3,7.2,2.55,1.9,1.0,745,9.9,58,129,7276,CO,304,1.0,5.0,137,96.3,84.3,0.0
9088,9187,250,1.2,0.0,0.8,0.0,39.8,0.9,0.0,11,Clear Creek County,4.0,96.6,5.5,0.0,81.3,4024,5690,395.23,4.3,88.6,0,32.6,67259,268500,69,0.1,0.0,978,41716,17.9,48.0,15.4,3.8,10.2,2.21,1.1,23.0,2574,5.4,327,731,8185,CO,1193,1.6,10.5,903,95.3,90.7,0.0
8256,8265,44,3.7,0.0,0.6,0.0,19.1,0.7,0.0,13,Conejos County,3.1,82.6,54.1,0.0,77.3,3099,4293,1287.39,34.5,90.1,0,24.3,34526,109700,35,0.2,0.0,623,17316,17.4,50.2,27.1,6.5,19.4,2.64,0.1,6.4,697,2.2,106,330,4132,CO,893,2.3,5.7,502,92.5,43.5,0.0
3524,3568,0,5.6,0.0,1.4,0.0,19.5,1.9,0.0,30,Costilla County,10.3,76.5,64.3,0.0,79.6,1361,2686,1226.95,50.1,91.9,0,20.1,29145,93800,0,0.4,0.0,241,20742,25.8,47.6,18.2,3.9,22.2,2.61,1.2,2.9,255,19.7,42,57,1726,CO,370,2.4,2.4,445,88.3,32.0,0.0
