Affirmative,Apprehended,Arrived,Country,Criminal,Defensive Asylum,Inadmissable,Legal permanant residences.Birth,Legal permanant residences.Last Residence,Naturalizations (Birth),Non-criminal,Nonimmigrant Admissions.Birth,Nonimmigrant Admissions.Last Residence,Year
-1,28,-1,Gabon,-1,-1,9,138,-1,43,-1,2452,2168,2010
-1,-1,-1,Niue,-1,0,-1,-1,-1,-1,-1,-1,12,2010
-1,-1,-1,Monaco,-1,-1,-1,12,-1,-1,-1,1274,6301,2010
-1,-1,-1,Wallis and Futuna,-1,-1,-1,-1,-1,-1,-1,-1,67,2010
-1,55,-1,New Zealand,17,-1,171,919,1046,495,18,233987,208729,2010
44,130,15,Yemen,10,7,61,3591,-1,1186,30,2223,1577,2010
-1,-1,-1,Jersey,-1,-1,-1,-1,-1,-1,-1,-1,-1,2010
201,612,59,Pakistan,78,95,840,18258,-1,11601,253,63182,47749,2010
26,321,-1,Albania,51,103,92,4711,-1,5088,187,8921,6500,2010
-1,26,-1,Samoa,-1,-1,36,219,-1,154,-1,2425,1730,2010
-1,110,-1,"Micronesia, Federated States",60,-1,16,10,-1,84,4,189,1724,2010
-1,5,-1,Macau,-1,-1,3,143,-1,94,-1,-1,3877,2010
-1,-1,-1,Norfolk Island,-1,-1,-1,-1,-1,-1,-1,-1,-1,2010
-1,76,-1,Australia,30,-1,553,2512,3077,1202,39,1037672,996293,2010
-1,-1,-1,Guam,-1,-1,-1,-1,-1,-1,-1,-1,5736,2010
23,24,-1,Kosovo,8,5,0,355,-1,590,14,-1,-1,2010
102,2175,-1,India,177,206,6577,69162,66185,61142,782,1140913,886979,2010
21,30,18,Azerbaijan,-1,9,32,781,-1,1233,-1,5596,5296,2010
-1,-1,-1,Namibia,-1,-1,-1,60,-1,38,-1,1714,1899,2010
-1,-1,-1,Other America,-1,-1,-1,-1,4,-1,-1,-1,-1,2010
-1,-1,-1,Lesotho,-1,-1,-1,23,-1,7,-1,509,473,2010
-1,-1,-1,Congo (Brazzaville),-1,-1,-1,-1,-1,-1,-1,2806,2583,2010
-1,57,-1,Saint Vincent and the Grenadines,18,-1,103,576,-1,375,8,14271,9706,2010
-1,15,-1,United Arab Emirates,-1,-1,21,779,-1,404,-1,16889,62185,2010
179,716,0,Kenya,56,75,161,7421,-1,3043,115,21183,18749,2010
23,80,-1,Tajikistan,-1,9,5,299,-1,178,-1,2037,1930,2010
-1,-1,-1,Greenland,-1,-1,-1,-1,-1,-1,-1,-1,393,2010
47,326,-1,Turkey,51,6,1934,4483,7435,3213,127,148096,128746,2010
113,92,515,Afghanistan,5,5,120,2017,-1,2230,12,2589,2266,2010
35,325,-1,Bangladesh,24,35,332,14819,-1,6979,72,18034,14045,2010
-1,-1,-1,Andorra,-1,-1,-1,-1,-1,-1,-1,1152,1810,2010
35,81,74,Mauritania,0,39,24,495,-1,281,19,1130,956,2010
-1,-1,-1,Solomon Islands,-1,-1,-1,6,-1,-1,-1,378,357,2010
-1,19,-1,Turks and Caicos Islands,6,-1,22,29,-1,20,5,-1,16367,2010
-1,82,-1,Saint Lucia,13,-1,65,872,-1,554,22,20100,18741,2010
-1,91,-1,Soviet Union (former),-1,168,163,4978,-1,2954,-1,-1,-1,2010
-1,-1,-1,Cyprus,-1,-1,15,122,-1,118,-1,10294,11506,2010
103,124,-1,Mongolia,17,51,54,594,-1,157,36,9885,8734,2010
-1,151,-1,France,41,-1,1417,3919,4339,2263,153,1696767,1507886,2010
96,12,230,Rwanda,-1,21,18,489,-1,278,-1,3132,2551,2010
-1,51,-1,Slovakia,19,-1,118,538,-1,485,48,39776,34847,2010
61,277,4884,Somalia,9,188,412,4558,-1,5728,30,279,87,2010
21,1729,-1,Peru,419,23,805,14247,14063,8551,689,223750,211619,2010
17,703,36,Laos,-1,6,18,1200,-1,2743,-1,1514,1498,2010
-1,-1,-1,Nauru,-1,-1,-1,-1,-1,-1,-1,102,100,2010
-1,-1,-1,Seychelles,-1,-1,-1,8,-1,12,-1,340,327,2010
-1,12,-1,Norway,4,-1,167,334,363,91,11,251321,244707,2010
37,119,4,Cote d'Ivoire,4,54,154,1621,-1,549,26,3671,3065,2010
-1,-1,-1,Cook Islands,-1,-1,-1,-1,-1,-1,-1,-1,221,2010
-1,12,-1,Benin,4,-1,68,486,-1,127,4,2804,2116,2010
-1,-1,-1,Korea,-1,-1,-1,-1,22022,-1,-1,-1,-1,2010
-1,-1,-1,Western Sahara,-1,-1,-1,-1,-1,-1,-1,-1,8,2010
24,4030,4818,Cuba,73,8,7442,33573,33372,14050,33,23745,26773,2010
-1,-1,-1,Not Specified,-1,-1,-1,-1,5814,-1,-1,-1,-1,2010
-1,-1,-1,Montenegro,0,-1,0,120,-1,167,0,-1,-1,2010
16,40,9,Togo,6,30,84,1563,-1,1253,12,1800,1387,2010
2897,2714,72,China,166,3419,17173,70863,67634,33969,894,1038271,838165,2010
86,239,-1,Armenia,31,168,64,2979,-1,3168,52,5282,4472,2010
-1,-1,-1,Other Caribbean,-1,-1,-1,-1,10352,-1,-1,-1,-1,2010
-1,-1,-1,Congo (Kinshas),-1,-1,-1,-1,-1,-1,-1,1506,1591,2010
-1,5274,-1,Dominican Republic,2241,9,2137,53870,53890,15451,1130,272896,281719,2010
-1,-1,-1,Other Central America,-1,-1,-1,-1,0,-1,-1,-1,-1,2010
67,392,449,Ukraine,61,59,4657,8477,-1,7345,111,71400,65855,2010
-1,-1,-1,Bahrain,-1,-1,12,104,-1,102,-1,5549,8780,2010
-1,100,-1,Tonga,22,-1,53,343,-1,208,12,2373,1678,2010
-1,-1,-1,Finland,-1,-1,69,397,414,286,-1,138310,125796,2010
11,16,-1,Libya,-1,-1,53,355,-1,173,-1,4956,4853,2010
70,486,0,Indonesia,43,94,2236,3032,-1,2765,318,89262,79174,2010
13,12,45,Central African Republic,-1,5,-1,101,-1,27,-1,282,377,2010
-1,-1,-1,Mauritius,-1,-1,277,84,-1,79,-1,4455,3433,2010
-1,37,-1,Sweden,8,-1,215,1097,1299,774,40,426253,401159,2010
22,1313,873,Vietnam,9,8,1061,30632,30065,19313,29,54299,52786,2010
-1,10,-1,British Virgin Islands,-1,-1,9,46,-1,36,-1,-1,-1,2010
77,163,-1,Mali,4,67,38,528,-1,200,31,4405,3649,2010
390,564,326,Russia,89,135,3676,6718,7502,7566,148,229725,208627,2010
17,103,-1,Bulgaria,17,11,334,2570,2465,3123,56,35456,30663,2010
-1,-1,-1,"Virgin Islands, U.S.",-1,-1,-1,-1,-1,-1,-1,-1,611,2010
-1,-1,-1,United States,-1,-1,-1,201,-1,45,-1,-1,1137530,2010
3,630,-1,Romania,56,16,1150,4003,3735,4385,112,69401,59413,2010
-1,22,0,Angola,-1,-1,13,148,-1,135,-1,7557,7592,2010
