Affirmative,Apprehended,Arrived,Country,Criminal,Defensive Asylum,Inadmissable,Legal permanant residences.Birth,Legal permanant residences.Last Residence,Naturalizations (Birth),Non-criminal,Nonimmigrant Admissions.Birth,Nonimmigrant Admissions.Last Residence,Year
-1,44,-1,Czech Republic,-1,-1,106,344,-1,122,-1,47169,44255,2006
-1,-1,-1,Brunei,-1,-1,-1,25,-1,13,-1,847,1055,2006
100,22,350,Belarus,7,106,50,3086,-1,1769,17,9938,8856,2006
139,215,2792,Iran,16,117,681,13947,9829,11363,43,10433,7111,2006
5,50,-1,Algeria,18,13,113,1300,-1,825,23,4633,3295,2006
498,46314,-1,El Salvador,3850,95,1683,31782,31258,13430,7200,176552,175672,2006
-1,-1,-1,Tuvalu,-1,-1,0,-1,-1,-1,-1,247,186,2006
-1,-1,-1,Pitcairn Islands,-1,-1,-1,-1,-1,-1,-1,-1,-1,2006
-1,-1,-1,Saint Pierre and Miquelon,-1,-1,-1,-1,-1,-1,-1,-1,38,2006
-1,4,-1,Marshall Islands,-1,-1,9,53,-1,14,0,5679,4665,2006
60,25,66,"Congo, Republic",3,89,99,1600,-1,369,23,-1,-1,2006
-1,190,-1,Chile,60,-1,296,2774,2727,1549,185,141658,142210,2006
-1,-1,-1,Puerto Rico,-1,-1,-1,-1,-1,-1,-1,-1,4655,2006
-1,16,-1,Belgium,4,-1,233,716,891,355,10,219727,221164,2006
-1,339,-1,Thailand,16,-1,244,11749,-1,4583,57,89431,88718,2006
2423,1215,0,Haiti,290,569,1270,22226,21625,15979,617,72518,62650,2006
180,170,202,Iraq,4,192,254,4337,-1,3614,17,2893,2022,2006
-1,22,-1,Hong Kong,8,-1,299,3256,4514,4263,7,-1,149580,2006
23,75,439,Sierra Leone,15,79,46,3572,-1,1683,20,2362,1232,2006
14,50,4,Georgia,7,59,20,2003,-1,628,35,4868,4505,2006
37,71,6,Gambia,7,46,60,897,-1,286,36,1969,1552,2006
-1,337,-1,Poland,116,-1,946,17051,16704,10230,334,182419,171179,2006
-1,24,-1,Saint Kitts-Nevis,22,-1,35,458,-1,483,3,16057,14367,2006
