Acceleration,Base Curb Weight,Classification,Driveline,Engine,Engine Type,Height,Horsepower,Hybrid,Length,Make,Model Year,Number Of Forward Gears,Size,Top Speed,Torque,Transmission,Width,city_mpg,fuel,highway_mpg,id,year
0.0,0,Automatic transmission,,Lexus 3.0L 6 Cylinder Premium,6 Cylinder,0,0,,0,Lexus,1998 Lexus GS 400 Sedan,5,0.0,0.0,0,5 Speed Automatic,0,17,,23,1998 Lexus GS 400 Sedan Lexus 3.0L 6 Cylinder Premium 5 Speed Automatic,1998
0.0,0,Automatic transmission,,Mercedes-Benz 3.2L 6 Cylinder FFS Premium,6 Cylinder,0,0,,0,Mercedes-Benz,1996 Mercedes-Benz E-Class E320 Sedan,4,3.2,0.0,0,4 Speed Automatic,0,17,,24,1996 Mercedes-Benz E-Class E320 Sedan Mercedes-Benz 3.2L 6 Cylinder FFS Premium 4 Speed Automatic,1996
4.0,0,Manual transmission,Rear-wheel drive,Chevrolet 7.0L 8 Cylinder 505 hp 470 ft-lbs,,0,505,FALSE,0,Chevrolet,2007 Chevrolet Corvette Z06,6,7.0,321.0,470,6 Speed Manual,0,14,Gasoline,24,2007 Chevrolet Corvette Z06 LZ1,2007
4.1,0,Automatic transmission,Rear-wheel drive,Chevrolet 6.0L 8 Cyllinder 400 hp 400 ft-lbs,,0,400,FALSE,0,Chevrolet,2007 Chevrolet Corvette Coupe,6,6.0,300.0,400,6 Speed Automatic Select Shift,0,15,Gasoline,25,2007 Chevrolet Corvette Coupe LT1 AT,2007
4.1,0,Manual transmission,Rear-wheel drive,Chevrolet 6.0L 8 Cyllinder 400 hp 400 ft-lbs,,0,400,FALSE,0,Chevrolet,2007 Chevrolet Corvette Coupe,6,6.0,300.0,400,6 Speed Manual,0,16,Gasoline,26,2007 Chevrolet Corvette Coupe LT1,2007
4.53,0,Automatic transmission,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,,0,430,FALSE,0,Chevrolet,2008 Chevrolet Corvette Convertible,6,6.2,306.0,424,6 Speed Automatic Select Shift,0,15,Gasoline,25,2008 Chevrolet Corvette Convertible LT2 AT,2008
0.0,0,Manual transmission,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,,0,430,FALSE,0,Chevrolet,2008 Chevrolet Corvette Convertible,6,6.2,306.0,424,6 Speed Manual,0,16,Gasoline,26,2008 Chevrolet Corvette Convertible LT2,2008
0.0,0,Automatic transmission,,Pontiac 3.9L 6 Cylinder 227 hp 235 ft-lbs,6 Cylinder,0,227,,0,Pontiac,2006 Pontiac G6 Convertible,4,3.9,0.0,235,4 Speed Automatic Select Shift,0,16,,24,2006 Pontiac G6 Convertible GTP Pontiac 3.9L 6 Cylinder 227 hp 235 ft-lbs Automatic (S4),2006
0.0,0,Automatic transmission,,Pontiac 3.5L 6 Cylinder,6 Cylinder,0,0,,0,Pontiac,2006 Pontiac G6 Convertible,4,3.5,0.0,0,4 Speed Automatic Select Shift,0,17,,25,2006 Pontiac G6 Convertible GTP Pontiac 3.5L 6 Cylinder Automatic (S4),2006
0.0,0,Automatic transmission,,Pontiac 3.9L 6 Cylinder 227 hp 235 ft-lbs,6 Cylinder,0,227,,0,Pontiac,2006 Pontiac G6 Coupe,4,3.9,0.0,235,4 Speed Automatic Select Shift,0,16,,24,2006 Pontiac G6 Coupe GT Pontiac 3.9L 6 Cylinder 227 hp 235 ft-lbs Automatic (S4),2006
0.0,0,Automatic transmission,,Pontiac 3.5L 6 Cylinder,6 Cylinder,0,0,,0,Pontiac,2006 Pontiac G6 Coupe,4,3.5,0.0,0,4 Speed Automatic Select Shift,0,17,,25,2006 Pontiac G6 Coupe GT Pontiac 3.5L 6 Cylinder Automatic (S4),2006
