Ben Carson.Number of Votes,Ben Carson.Party,Ben Carson.Percent of Votes,Bernie Sanders.Number of Votes,Bernie Sanders.Party,Bernie Sanders.Percent of Votes,Carly Fiorina.Number of Votes,Carly Fiorina.Party,Carly Fiorina.Percent of Votes,Chris Christie.Number of Votes,Chris Christie.Party,Chris Christie.Percent of Votes,County,Donald Trump.Number of Votes,Donald Trump.Party,Donald Trump.Percent of Votes,Hillary Clinton.Number of Votes,Hillary Clinton.Party,Hillary Clinton.Percent of Votes,Jeb Bush.Number of Votes,Jeb Bush.Party,Jeb Bush.Percent of Votes,John Kasich.Number of Votes,John Kasich.Party,John Kasich.Percent of Votes,Marco Rubio.Number of Votes,Marco Rubio.Party,Marco Rubio.Percent of Votes,Martin O'Malley.Number of Votes,Martin O'Malley.Party,Martin O'Malley.Percent of Votes,Mike Huckabee.Number of Votes,Mike Huckabee.Party,Mike Huckabee.Percent of Votes,No Preference.Number of Votes,No Preference.Party,No Preference.Percent of Votes,Rand Paul.Number of Votes,Rand Paul.Party,Rand Paul.Percent of Votes,Rick Santorum.Number of Votes,Rick Santorum.Party,Rick Santorum.Percent of Votes,State,State Abbreviation,Ted Cruz.Number of Votes,Ted Cruz.Party,Ted Cruz.Percent of Votes,Uncommitted.Number of Votes,Uncommitted.Party,Uncommitted.Percent of Votes
0,Republican,0.0,17,Democrat,73.9,0,Republican,0.0,0,Republican,0.0,Adams,929,Republican,79.0,6,Democrat,26.1,0,Republican,0.0,67,Republican,5.7,0,Republican,0.0,0,Democrat,0.0,0,Republican,0.0,0,N/A,0.0,0,Republican,0.0,0,Republican,0.0,Washington,WA,127,Republican,10.8,0,N/A,0.0
0,Republican,0.0,1501,Democrat,51.800000000000004,0,Republican,0.0,0,Republican,0.0,Adams,2279,Republican,55.39999999999999,1373,Democrat,47.4,0,Republican,0.0,374,Republican,9.1,0,Republican,0.0,0,Democrat,0.0,0,Republican,0.0,0,N/A,0.0,0,Republican,0.0,0,Republican,0.0,Wisconsin,WI,1360,Republican,33.1,0,N/A,0.0
0,Republican,0.0,1,Democrat,50.0,0,Republican,0.0,0,Republican,0.0,Addison,0,Republican,0.0,1,Democrat,50.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,0,Democrat,0.0,0,Republican,0.0,0,N/A,0.0,0,Republican,0.0,0,Republican,0.0,Maine,ME,0,Republican,0.0,0,N/A,0.0
17,Republican,7.400000000000001,251,Democrat,86.3,0,Republican,0.0,0,Republican,0.0,Addison,66,Republican,28.800000000000004,40,Democrat,13.699999999999998,0,Republican,0.0,51,Republican,22.3,56,Republican,24.5,0,Democrat,0.0,0,Republican,0.0,0,N/A,0.0,0,Republican,0.0,0,Republican,0.0,Vermont,VT,33,Republican,14.400000000000002,0,N/A,0.0
108,Republican,3.2,1943,Democrat,52.2,0,Republican,0.0,0,Republican,0.0,Agawam,1814,Republican,53.2,1695,Democrat,45.5,0,Republican,0.0,499,Republican,14.6,522,Republican,15.299999999999999,0,Democrat,0.0,0,Republican,0.0,54,N/A,1.5,0,Republican,0.0,0,Republican,0.0,Massachusetts,MA,402,Republican,11.799999999999999,0,N/A,0.0
2613,Republican,9.1,2870,Democrat,29.299999999999997,0,Republican,0.0,0,Republican,0.0,Aiken,9027,Republican,31.6,6888,Democrat,70.2,1207,Republican,4.2,1904,Republican,6.7,6804,Republican,23.799999999999997,0,Democrat,0.0,0,Republican,0.0,0,N/A,0.0,0,Republican,0.0,0,Republican,0.0,South Carolina,SC,7036,Republican,24.6,0,N/A,0.0
0,Republican,0.0,17590,Democrat,48.8,0,Republican,0.0,0,Republican,0.0,Alachua,9241,Republican,38.2,17733,Democrat,49.20000000000001,0,Republican,0.0,1902,Republican,7.9,6979,Republican,28.800000000000004,0,Democrat,0.0,0,Republican,0.0,0,N/A,0.0,0,Republican,0.0,0,Republican,0.0,Florida,FL,5213,Republican,21.5,0,N/A,0.0
0,Republican,0.0,5755,Democrat,41.9,0,Republican,0.0,0,Republican,0.0,Alamance,6507,Republican,38.3,7374,Democrat,53.7,0,Republican,0.0,1791,Republican,10.5,1300,Republican,7.6,0,Democrat,0.0,0,Republican,0.0,0,N/A,0.0,0,Republican,0.0,0,Republican,0.0,North Carolina,NC,6956,Republican,40.9,0,N/A,0.0
0,Republican,0.0,91324,Democrat,45.800000000000004,0,Republican,0.0,0,Republican,0.0,Alameda,19951,Republican,66.9,107102,Democrat,53.7,0,Republican,0.0,5108,Republican,17.1,0,Republican,0.0,0,Democrat,0.0,0,Republican,0.0,0,N/A,0.0,0,Republican,0.0,0,Republican,0.0,California,CA,3208,Republican,10.8,0,N/A,0.0
0,Republican,0.0,167,Democrat,63.0,0,Republican,0.0,0,Republican,0.0,Alamosa,0,Republican,0.0,90,Democrat,34.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,0,Democrat,0.0,0,Republican,0.0,0,N/A,0.0,0,Republican,0.0,0,Republican,0.0,Colorado,CO,0,Republican,0.0,0,N/A,0.0
0,Republican,0.0,20422,Democrat,52.5,0,Republican,0.0,0,Republican,0.0,Albany,6381,Republican,48.1,18450,Democrat,47.5,0,Republican,0.0,4690,Republican,35.3,0,Republican,0.0,0,Democrat,0.0,0,Republican,0.0,0,N/A,0.0,0,Republican,0.0,0,Republican,0.0,New York,NY,2197,Republican,16.6,0,N/A,0.0
4,Republican,4.6,139,Democrat,89.1,0,Republican,0.0,0,Republican,0.0,Albany,35,Republican,40.2,16,Democrat,10.299999999999999,0,Republican,0.0,23,Republican,26.400000000000002,14,Republican,16.1,0,Democrat,0.0,0,Republican,0.0,0,N/A,0.0,0,Republican,0.0,0,Republican,0.0,Vermont,VT,10,Republican,11.5,0,N/A,0.0
0,Republican,0.0,25,Democrat,75.8,0,Republican,0.0,0,Republican,0.0,Albany,0,Republican,0.0,8,Democrat,24.2,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,0,Democrat,0.0,0,Republican,0.0,0,N/A,0.0,0,Republican,0.0,0,Republican,0.0,Wyoming,WY,0,Republican,0.0,0,N/A,0.0
0,Republican,0.0,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,Albany-Natrona,0,Republican,0.0,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,39,Republican,51.300000000000004,0,Democrat,0.0,0,Republican,0.0,0,N/A,0.0,0,Republican,0.0,0,Republican,0.0,Wyoming,WY,37,Republican,48.699999999999996,0,N/A,0.0
665,Republican,4.5,6838,Democrat,45.0,0,Republican,0.0,0,Republican,0.0,Albemarle,3661,Republican,24.6,8284,Democrat,54.50000000000001,0,Republican,0.0,2306,Republican,15.5,5518,Republican,37.1,0,Democrat,0.0,0,Republican,0.0,0,N/A,0.0,0,Republican,0.0,0,Republican,0.0,Virginia,VA,2540,Republican,17.1,0,N/A,0.0
0,Republican,0.0,2,Democrat,66.7,0,Republican,0.0,0,Republican,0.0,Albion,0,Republican,0.0,1,Democrat,33.300000000000004,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,0,Democrat,0.0,0,Republican,0.0,0,N/A,0.0,0,Republican,0.0,0,Republican,0.0,Maine,ME,0,Republican,0.0,0,N/A,0.0
5,Republican,2.3,315,Democrat,90.5,0,Republican,0.0,0,Republican,0.0,Alburgh,102,Republican,47.4,31,Democrat,8.9,0,Republican,0.0,42,Republican,19.5,31,Republican,14.400000000000002,0,Democrat,0.0,0,Republican,0.0,0,N/A,0.0,0,Republican,0.0,0,Republican,0.0,Vermont,VT,20,Republican,9.3,0,N/A,0.0
