Department,Population,Rates.Property.All,Rates.Property.Burglary,Rates.Property.Larceny,Rates.Property.Motor,Rates.Violent.All,Rates.Violent.Assault,Rates.Violent.Murder,Rates.Violent.Rape,Rates.Violent.Robbery,State,Totals.Property.All,Totals.Property.Burglary,Totals.Property.Larceny,Totals.Property.Motor,Totals.Violent.All,Totals.Violent.Assault,Totals.Violent.Murder,Totals.Violent.Rape,Totals.Violent.Robbery,Year
Enterprise Police Dept,21076,4564.4,1134.0,3212.2,218.3,820.8,673.8,14.2,33.2,99.6,Alabama,962,239,677,46.0,173,142,3,7,21,1994
Enterprise Police Dept,21443,2602.2,1114.6,1375.7,111.9,359.1,153.9,9.3,65.3,130.6,Alabama,558,239,295,24.0,77,33,2,14,28,1995
Enterprise Police Dept,21543,3235.4,1067.6,2000.6,167.1,264.6,83.6,27.9,65.0,88.2,Alabama,697,230,431,36.0,57,18,6,14,19,1996
Enterprise Police Dept,21775,2498.3,812.9,1552.2,133.2,229.6,91.8,9.2,36.7,91.8,Alabama,544,177,338,29.0,50,20,2,8,20,1997
Enterprise Police Dept,21367,2078.0,851.8,1118.5,107.6,220.0,51.5,9.4,60.8,98.3,Alabama,444,182,239,23.0,47,11,2,13,21,1998
Enterprise Police Dept,21752,1811.3,698.8,983.8,128.7,225.3,50.6,0.0,46.0,128.7,Alabama,394,152,214,28.0,49,11,0,10,28,1999
Enterprise Police Dept,21178,2554.5,939.7,1454.3,160.5,368.3,212.5,0.0,47.2,108.6,Alabama,541,199,308,34.0,78,45,0,10,23,2000
Enterprise Police Dept,21260,4369.7,931.3,3259.6,178.7,418.6,258.7,4.7,47.0,108.2,Alabama,929,198,693,38.0,89,55,1,10,23,2001
Enterprise Police Dept,21366,3912.8,706.7,2953.3,252.7,341.7,201.3,4.7,42.1,93.6,Alabama,836,151,631,54.0,73,43,1,9,20,2002
Enterprise Police Dept,21438,3932.3,839.6,2938.7,153.9,307.9,167.9,9.3,46.6,84.0,Alabama,843,180,630,33.0,66,36,2,10,18,2003
Enterprise Police Dept,22004,1640.6,449.9,1018.0,172.7,150.0,90.9,4.5,18.2,36.4,Alabama,361,99,224,38.0,33,20,1,4,8,2004
Enterprise Police Dept,22367,1551.4,447.1,943.4,161.0,169.9,67.1,0.0,22.4,80.5,Alabama,347,100,211,36.0,38,15,0,5,18,2005
Enterprise Police Dept,24035,1801.5,886.2,765.6,149.8,407.7,187.2,4.2,45.8,170.6,Alabama,433,213,184,36.0,98,45,1,11,41,2007
Enterprise Police Dept,24863,1331.3,518.8,695.8,116.6,434.4,201.1,4.0,36.2,193.1,Alabama,331,129,173,29.0,108,50,1,9,48,2008
Enterprise Police Dept,25868,1557.9,576.0,869.8,112.1,409.8,266.7,11.6,54.1,77.3,Alabama,403,149,225,29.0,106,69,3,14,20,2009
Enterprise Police Dept,26562,3531.4,881.0,2477.2,173.2,466.8,335.1,15.1,30.1,86.6,Alabama,938,234,658,46.0,124,89,4,8,23,2010
Enterprise Police Dept,26690,4050.2,1097.8,2731.4,221.1,457.1,311.0,3.7,56.2,86.2,Alabama,1081,293,729,59.0,122,83,1,15,23,2011
Enterprise Police Dept,26971,3192.3,656.3,2339.5,196.5,407.8,341.1,7.4,14.8,44.5,Alabama,861,177,631,53.0,110,92,2,4,12,2012
Etowah County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,122,65,41,16.0,28,18,5,3,2,1984
Etowah County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,168,80,71,17.0,21,15,1,3,2,1985
Etowah County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,100,52,41,7.0,36,27,4,3,2,1986
Etowah County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,280,140,118,22.0,42,35,2,4,1,1987
Etowah County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,257,115,122,20.0,47,40,2,3,2,1988
Etowah County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,159,72,71,16.0,37,32,0,4,1,1989
Etowah County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,498,206,248,44.0,74,62,2,5,5,1990
Etowah County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,558,226,303,29.0,71,52,2,8,9,1991
Etowah County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,500,225,251,24.0,62,44,3,10,5,1992
Etowah County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,427,145,258,24.0,49,38,3,4,4,1993
Etowah County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,429,150,263,16.0,19,10,0,4,5,1994
Etowah County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,386,157,216,13.0,19,7,1,6,5,1995
Etowah County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,355,132,205,18.0,7,2,1,3,1,1996
Etowah County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,420,178,209,33.0,22,11,3,4,4,1997
Etowah County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,1142,381,677,84.0,119,69,2,21,27,1998
Etowah County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,286,80,181,25.0,35,22,6,7,0,1999
Etowah County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,392,122,235,35.0,57,42,1,7,7,2000
Etowah County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,442,156,242,44.0,7,5,0,1,1,2001
Etowah County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,462,162,267,33.0,10,4,1,4,1,2002
Etowah County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,355,125,195,35.0,14,2,3,6,3,2004
Etowah County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,249,63,152,34.0,2,2,0,0,0,2005
Etowah County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,143,22,108,13.0,6,1,1,3,1,2008
Etowah County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,335,125,188,22.0,11,2,0,7,2,2009
Etowah County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,485,73,383,29.0,62,57,1,4,0,2010
Etowah County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,669,277,327,65.0,156,141,0,12,3,2011
Etowah County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,598,226,324,48.0,109,97,1,9,2,2012
Eufaula Police Dept,11944,2277.3,485.6,1733.1,58.6,535.8,485.6,8.4,16.7,25.1,Alabama,272,58,207,7.0,64,58,1,2,3,1984
Eufaula Police Dept,12036,2135.3,324.0,1736.5,74.8,581.6,548.4,0.0,16.6,16.6,Alabama,257,39,209,9.0,70,66,0,2,2,1985
Eufaula Police Dept,12727,2828.6,699.3,1980.0,149.3,455.7,447.9,0.0,0.0,7.9,Alabama,360,89,252,19.0,58,57,0,0,1,1986
Eufaula Police Dept,12746,3373.6,753.2,2589.0,31.4,713.9,659.0,7.8,15.7,31.4,Alabama,430,96,330,4.0,91,84,1,2,4,1987
Eufaula Police Dept,12988,3303.0,708.3,2502.3,92.4,662.1,577.5,7.7,23.1,53.9,Alabama,429,92,325,12.0,86,75,1,3,7,1988
Eufaula Police Dept,12922,3691.4,797.1,2785.9,108.3,557.2,495.3,7.7,7.7,46.4,Alabama,477,103,360,14.0,72,64,1,1,6,1989
Eufaula Police Dept,13220,3116.5,491.7,2503.8,121.0,612.7,514.4,7.6,22.7,68.1,Alabama,412,65,331,16.0,81,68,1,3,9,1990
Eufaula Police Dept,13378,4462.6,755.0,3640.3,67.3,605.5,463.4,14.9,52.3,74.7,Alabama,597,101,487,9.0,81,62,2,7,10,1991
Eufaula Police Dept,13531,0,0,0,0,0,0,0,0,0,Alabama,0,0,0,0.0,0,0,0,0,0,1992
Eufaula Police Dept,13395,4076.1,515.1,3493.8,67.2,709.2,567.4,7.5,44.8,89.6,Alabama,546,69,468,9.0,95,76,1,6,12,1993
Eufaula Police Dept,13497,4904.8,703.9,4141.7,59.3,148.2,66.7,7.4,22.2,51.9,Alabama,662,95,559,8.0,20,9,1,3,7,1994
Eufaula Police Dept,13834,4496.2,571.1,3831.1,94.0,115.7,36.1,21.7,7.2,50.6,Alabama,622,79,530,13.0,16,5,3,1,7,1995
Eufaula Police Dept,13899,5432.0,719.5,4590.3,122.3,151.1,43.2,7.2,7.2,93.5,Alabama,755,100,638,17.0,21,6,1,1,13,1996
Eufaula Police Dept,14048,5317.5,854.2,4342.3,121.0,355.9,178.0,14.2,35.6,128.1,Alabama,747,120,610,17.0,50,25,2,5,18,1997
Eufaula Police Dept,13445,4849.4,758.6,3889.9,200.8,282.6,66.9,7.4,37.2,171.1,Alabama,652,102,523,27.0,38,9,1,5,23,1998
Eufaula Police Dept,13518,3721.0,510.4,3114.4,96.2,125.8,44.4,7.4,29.6,44.4,Alabama,503,69,421,13.0,17,6,1,4,6,1999
Eufaula Police Dept,13962,5042.3,637.4,4232.9,171.9,336.6,136.1,14.3,35.8,150.4,Alabama,704,89,591,24.0,47,19,2,5,21,2001
Eufaula Police Dept,14031,4033.9,570.2,3221.4,242.3,342.1,163.9,7.1,42.8,128.3,Alabama,566,80,452,34.0,48,23,1,6,18,2002
Eufaula Police Dept,13812,3938.6,470.6,3287.0,181.0,412.7,115.8,7.2,43.4,246.2,Alabama,544,65,454,25.0,57,16,1,6,34,2003
Eufaula Police Dept,13740,4403.2,458.5,3726.3,218.3,320.2,138.3,7.3,43.7,131.0,Alabama,605,63,512,30.0,44,19,1,6,18,2004
Eufaula Police Dept,14564,3618.5,473.8,3041.7,103.0,247.2,144.2,0.0,27.5,75.5,Alabama,527,69,443,15.0,36,21,0,4,11,2009
Eufaula Police Dept,13137,3212.3,22.8,3128.6,60.9,144.6,53.3,7.6,38.1,45.7,Alabama,422,3,411,8.0,19,7,1,5,6,2010
Eufaula Police Dept,13200,4803.0,598.5,4128.8,75.8,234.8,166.7,0.0,60.6,7.6,Alabama,634,79,545,10.0,31,22,0,8,1,2011
Eufaula Police Dept,13006,2660.3,369.1,2206.7,84.6,130.7,84.6,0.0,23.1,23.1,Alabama,346,48,287,11.0,17,11,0,3,3,2012
Fairfield Police Dept,13091,7883.3,1344.4,5522.9,1016.0,909.0,359.0,7.6,15.3,527.1,Alabama,1032,176,723,133.0,119,47,1,2,69,1984
Fairfield Police Dept,13192,7716.8,1682.8,4866.6,1167.4,1061.2,591.3,7.6,37.9,424.5,Alabama,1018,222,642,154.0,140,78,1,5,56,1985
Fairfield Police Dept,13142,8545.1,1620.8,5874.3,1050.1,1438.1,844.6,15.2,83.7,494.6,Alabama,1123,213,772,138.0,189,111,2,11,65,1986
Fairfield Police Dept,12978,8059.8,2011.1,5216.5,832.2,1271.4,693.5,0.0,69.3,508.6,Alabama,1046,261,677,108.0,165,90,0,9,66,1987
Fairfield Police Dept,13027,7952.7,1827.0,5081.8,1044.0,1604.4,928.8,23.0,76.8,575.7,Alabama,1036,238,662,136.0,209,121,3,10,75,1988
Fairfield Police Dept,12842,10099.7,1962.3,6439.8,1697.6,2009.0,1012.3,15.6,101.2,879.9,Alabama,1297,252,827,218.0,258,130,2,13,113,1989
Fairfield Police Dept,12200,12327.9,2868.9,7418.0,2041.0,2180.3,1204.9,16.4,57.4,901.6,Alabama,1504,350,905,249.0,266,147,2,7,110,1990
Fairfield Police Dept,12346,14433.8,2786.3,9193.3,2454.2,2251.7,1239.3,8.1,40.5,963.9,Alabama,1782,344,1135,303.0,278,153,1,5,119,1991
Fairfield Police Dept,12487,13013.5,2034.1,8937.3,2042.1,2002.1,1017.1,24.0,96.1,864.9,Alabama,1625,254,1116,255.0,250,127,3,12,108,1992
Fairfield Police Dept,12402,8917.9,1604.6,5773.3,1540.1,1951.3,1201.4,24.2,88.7,637.0,Alabama,1106,199,716,191.0,242,149,3,11,79,1993
Fairfield Police Dept,12496,12460.0,2528.8,8218.6,1712.5,1888.6,936.3,16.0,72.0,864.3,Alabama,1557,316,1027,214.0,236,117,2,9,108,1994
Fairfield Police Dept,12486,12149.6,2082.3,9130.2,937.0,1593.8,905.0,16.0,40.0,632.7,Alabama,1517,260,1140,117.0,199,113,2,5,79,1995
Fairfield Police Dept,12544,13233.4,2264.0,9638.1,1331.3,1450.9,757.3,0.0,71.7,621.8,Alabama,1660,284,1209,167.0,182,95,0,9,78,1996
Fairfield Police Dept,12679,12090.9,1230.4,9582.8,1277.7,1293.5,701.9,0.0,23.7,567.9,Alabama,1533,156,1215,162.0,164,89,0,3,72,1997
Fairfield Police Dept,11537,12134.9,1482.2,9577.9,1074.8,1438.8,780.1,17.3,52.0,589.4,Alabama,1400,171,1105,124.0,166,90,2,6,68,1998
Fairfield Police Dept,11229,12423.2,1879.1,9635.8,908.4,988.5,338.4,0.0,62.3,587.8,Alabama,1395,211,1082,102.0,111,38,0,7,66,1999
Fairfield Police Dept,12429,12897.3,2003.4,9333.0,1560.9,1255.1,466.7,96.5,24.1,667.8,Alabama,1603,249,1160,194.0,156,58,12,3,83,2001
Fairfield Police Dept,12491,12841.2,1673.2,9246.7,1921.4,1008.7,416.3,0.0,48.0,544.4,Alabama,1604,209,1155,240.0,126,52,0,6,68,2002
Fairfield Police Dept,12106,13571.8,2081.6,9995.0,1495.1,974.7,247.8,41.3,74.3,611.3,Alabama,1643,252,1210,181.0,118,30,5,9,74,2003
Fairfield Police Dept,11996,13896.3,2617.5,10303.4,975.3,1025.3,425.1,0.0,116.7,483.5,Alabama,1667,314,1236,117.0,123,51,0,14,58,2004
Fairfield Police Dept,11938,9390.2,1976.9,6651.0,762.3,1130.8,351.8,33.5,50.3,695.3,Alabama,1121,236,794,91.0,135,42,4,6,83,2005
Fairfield Police Dept,11802,6710.7,1440.4,4473.8,796.5,830.4,406.7,8.5,25.4,389.8,Alabama,792,170,528,94.0,98,48,1,3,46,2006
Fairfield Police Dept,11443,10591.6,2079.9,7664.1,847.7,1826.4,952.5,35.0,104.9,734.1,Alabama,1212,238,877,97.0,209,109,4,12,84,2007
Fairfield Police Dept,11303,12952.3,3609.7,8068.7,1274.0,1654.4,672.4,26.5,79.6,875.9,Alabama,1464,408,912,144.0,187,76,3,9,99,2008
Fairfield Police Dept,11212,10961.5,3326.8,6876.6,758.1,909.7,419.2,0.0,44.6,446.0,Alabama,1229,373,771,85.0,102,47,0,5,50,2009
Fairfield Police Dept,11117,12161.6,3562.1,7816.9,782.6,944.5,539.7,36.0,45.0,323.8,Alabama,1352,396,869,87.0,105,60,4,5,36,2010
Fairfield Police Dept,11171,11601.5,3992.5,6731.7,877.3,1709.8,859.4,35.8,80.6,734.0,Alabama,1296,446,752,98.0,191,96,4,9,82,2011
Fairfield Police Dept,11169,11970.6,4136.4,7162.7,671.5,1369.9,743.1,17.9,62.7,546.2,Alabama,1337,462,800,75.0,153,83,2,7,61,2012
Fairhope Police Dept,7553,3892.5,1218.1,2449.4,225.1,264.8,198.6,0.0,53.0,13.2,Alabama,294,92,185,17.0,20,15,0,4,1,1984
Fairhope Police Dept,7611,4835.1,2010.2,2575.2,249.6,170.8,131.4,13.1,13.1,13.1,Alabama,368,153,196,19.0,13,10,1,1,1,1985
Fairhope Police Dept,7878,0,0,0,0,0,0,0,0,0,Alabama,198,51,133,14.0,8,8,0,0,0,1986
Fairhope Police Dept,8051,0,0,0,0,0,0,0,0,0,Alabama,241,76,157,8.0,19,16,1,0,2,1987
Fairhope Police Dept,8295,4267.6,1205.5,2784.8,277.3,265.2,168.8,0.0,48.2,48.2,Alabama,354,100,231,23.0,22,14,0,4,4,1988
Fairhope Police Dept,8297,3965.3,1241.4,2579.2,144.6,433.9,349.5,0.0,24.1,60.3,Alabama,329,103,214,12.0,36,29,0,2,5,1989
Fairhope Police Dept,8485,895.7,388.9,459.6,47.1,70.7,70.7,0.0,0.0,0.0,Alabama,76,33,39,4.0,6,6,0,0,0,1990
Fairhope Police Dept,9386,5284.5,2301.3,2738.1,245.0,809.7,713.8,21.3,42.6,32.0,Alabama,496,216,257,23.0,76,67,2,4,3,1993
Fairhope Police Dept,9457,5244.8,1713.0,3320.3,211.5,676.7,528.7,0.0,52.9,95.2,Alabama,496,162,314,20.0,64,50,0,5,9,1994
Fairhope Police Dept,10608,4713.4,1366.9,3158.0,188.5,641.0,556.2,0.0,0.0,84.8,Alabama,500,145,335,20.0,68,59,0,0,9,1995
Fairhope Police Dept,10657,4907.6,1248.0,3434.4,225.2,741.3,506.7,0.0,37.5,197.1,Alabama,523,133,366,24.0,79,54,0,4,21,1996
Fairhope Police Dept,10771,4781.4,1049.1,3388.7,343.5,696.3,501.3,9.3,65.0,120.7,Alabama,515,113,365,37.0,75,54,1,7,13,1997
Fairhope Police Dept,12606,0,0,0,0,0,0,0,0,0,Alabama,472,127,311,34.0,64,44,1,6,13,1998
Fairhope Police Dept,12786,3542.9,1087.1,2315.0,140.8,391.1,336.3,0.0,15.6,39.1,Alabama,453,139,296,18.0,50,43,0,2,5,1999
Fairhope Police Dept,12480,4567.3,929.5,3365.4,272.4,480.8,432.7,0.0,16.0,32.1,Alabama,570,116,420,34.0,60,54,0,2,4,2000
Fairhope Police Dept,13520,3653.8,887.6,2514.8,251.5,170.1,118.3,0.0,22.2,29.6,Alabama,494,120,340,34.0,23,16,0,3,4,2003
Fairhope Police Dept,14230,4673.2,787.1,3626.1,260.0,133.5,35.1,0.0,28.1,70.3,Alabama,665,112,516,37.0,19,5,0,4,10,2004
Fairhope Police Dept,14691,3437.5,612.6,2702.3,122.5,142.9,47.6,20.4,40.8,34.0,Alabama,505,90,397,18.0,21,7,3,6,5,2005
Fairhope Police Dept,16735,2055.6,454.1,1535.7,65.7,71.7,23.9,0.0,12.0,35.9,Alabama,344,76,257,11.0,12,4,0,2,6,2007
Fairhope Police Dept,17180,2438.9,553.0,1792.8,93.1,58.2,11.6,0.0,29.1,17.5,Alabama,419,95,308,16.0,10,2,0,5,3,2008
Fairhope Police Dept,17723,3001.7,699.7,2273.9,28.2,39.5,5.6,11.3,5.6,16.9,Alabama,532,124,403,5.0,7,1,2,1,3,2009
Fairhope Police Dept,15326,0,0,0,0,0,0,0,0,0,Alabama,543,94,443,6.0,10,2,1,3,4,2010
Fairhope Police Dept,15400,4058.4,805.2,3194.8,58.4,298.7,207.8,6.5,26.0,58.4,Alabama,625,124,492,9.0,46,32,1,4,9,2011
Fairhope Police Dept,15766,4116.5,830.9,3190.4,95.1,272.7,222.0,6.3,12.7,31.7,Alabama,649,131,503,15.0,43,35,1,2,5,2012
Florence Police Dept,37888,4568.7,1446.4,2964.0,158.4,237.5,137.2,5.3,26.4,68.6,Alabama,1731,548,1123,60.0,90,52,2,10,26,1984
Florence Police Dept,38180,4523.3,984.8,3313.3,225.2,356.2,264.5,7.9,7.9,76.0,Alabama,1727,376,1265,86.0,136,101,3,3,29,1985
Florence Police Dept,36591,4227.8,975.6,3049.9,202.2,407.2,308.8,10.9,21.9,65.6,Alabama,1547,357,1116,74.0,149,113,4,8,24,1986
Florence Police Dept,36373,5333.6,962.3,4016.7,354.7,437.1,351.9,8.2,27.5,49.5,Alabama,1940,350,1461,129.0,159,128,3,10,18,1987
Florence Police Dept,36136,5277.3,1040.5,3877.0,359.8,445.5,326.5,8.3,24.9,85.8,Alabama,1907,376,1401,130.0,161,118,3,9,31,1988
Florence Police Dept,34965,4950.7,1106.8,3595.0,248.8,583.4,463.3,0.0,45.8,74.4,Alabama,1731,387,1257,87.0,204,162,0,16,26,1989
Florence Police Dept,36426,5795.3,1391.9,4134.4,269.0,793.4,656.1,5.5,27.5,104.3,Alabama,2111,507,1506,98.0,289,239,2,10,38,1990
Florence Police Dept,36862,5336.1,1071.6,4131.6,132.9,775.9,659.2,0.0,32.6,84.1,Alabama,1967,395,1523,49.0,286,243,0,12,31,1991
Florence Police Dept,37285,4591.7,820.7,3615.4,155.6,622.2,515.0,8.0,37.5,61.7,Alabama,1712,306,1348,58.0,232,192,3,14,23,1992
Florence Police Dept,37304,4608.1,924.8,3506.3,176.9,603.2,485.2,10.7,26.8,80.4,Alabama,1719,345,1308,66.0,225,181,4,10,30,1993
Florence Police Dept,37589,4786.0,987.0,3673.9,125.0,465.6,364.5,13.3,13.3,74.5,Alabama,1799,371,1381,47.0,175,137,5,5,28,1994
Florence Police Dept,37066,5171.9,987.4,4033.3,151.1,453.2,313.0,10.8,21.6,107.9,Alabama,1917,366,1495,56.0,168,116,4,8,40,1995
Florence Police Dept,37240,3018.3,668.6,2234.2,115.5,308.8,228.2,0.0,18.8,61.8,Alabama,1124,249,832,43.0,115,85,0,7,23,1996
Florence Police Dept,37641,5597.6,1038.8,4457.9,101.0,467.6,300.2,0.0,21.3,146.1,Alabama,2107,391,1678,38.0,176,113,0,8,55,1997
Florence Police Dept,39379,4718.3,972.6,3654.2,91.4,474.9,312.3,10.2,35.6,116.8,Alabama,1858,383,1439,36.0,187,123,4,14,46,1998
Florence Police Dept,39258,4029.8,891.5,3056.7,81.5,308.2,203.8,0.0,20.4,84.1,Alabama,1582,350,1200,32.0,121,80,0,8,33,1999
Florence Police Dept,36264,4616.1,813.5,3717.2,85.5,377.8,286.8,0.0,19.3,71.7,Alabama,1674,295,1348,31.0,137,104,0,7,26,2000
Florence Police Dept,36405,4576.3,1032.8,3397.9,145.6,420.3,282.9,5.5,33.0,98.9,Alabama,1666,376,1237,53.0,153,103,2,12,36,2001
Florence Police Dept,36585,4635.8,893.8,3627.2,114.8,472.9,336.2,2.7,43.7,90.2,Alabama,1696,327,1327,42.0,173,123,1,16,33,2002
Florence Police Dept,35928,4456.1,846.1,3454.1,155.9,462.0,303.4,0.0,41.8,116.9,Alabama,1601,304,1241,56.0,166,109,0,15,42,2003
Florence Police Dept,36086,5340.0,1324.6,3882.4,133.0,465.6,335.3,2.8,19.4,108.1,Alabama,1927,478,1401,48.0,168,121,1,7,39,2004
Florence Police Dept,36479,4832.9,1123.9,3555.5,153.5,611.3,361.9,13.7,63.0,172.7,Alabama,1763,410,1297,56.0,223,132,5,23,63,2005
Florence Police Dept,36784,4825.5,1095.6,3574.9,155.0,318.1,168.6,0.0,21.7,127.8,Alabama,1775,403,1315,57.0,117,62,0,8,47,2007
Florence Police Dept,37594,4992.8,1290.1,3551.1,151.6,412.3,188.9,8.0,42.6,172.9,Alabama,1877,485,1335,57.0,155,71,3,16,65,2008
Florence Police Dept,38055,4301.7,1090.5,3111.3,99.9,341.6,165.5,7.9,36.8,131.4,Alabama,1637,415,1184,38.0,130,63,3,14,50,2009
Florence Police Dept,39319,4275.3,447.6,3751.4,76.3,226.4,147.5,2.5,30.5,45.8,Alabama,1681,176,1475,30.0,89,58,1,12,18,2010
Florence Police Dept,39508,4029.6,997.3,2923.5,108.8,222.7,121.5,2.5,25.3,73.4,Alabama,1592,394,1155,43.0,88,48,1,10,29,2011
Florence Police Dept,39512,4403.7,1149.0,3095.3,159.4,417.6,250.6,5.1,48.1,113.9,Alabama,1740,454,1223,63.0,165,99,2,19,45,2012
Foley Police Dept,4179,3685.1,1076.8,2345.1,263.2,335.0,287.2,23.9,23.9,0.0,Alabama,154,45,98,11.0,14,12,1,1,0,1984
Foley Police Dept,4211,3443.4,902.4,2279.7,261.2,118.7,0.0,0.0,23.7,95.0,Alabama,145,38,96,11.0,5,0,0,1,4,1985
Foley Police Dept,4427,4653.3,1603.8,2801.0,248.5,158.1,22.6,0.0,0.0,135.5,Alabama,206,71,124,11.0,7,1,0,0,6,1986
Foley Police Dept,4645,4736.3,1614.6,2777.2,344.5,581.3,516.7,21.5,0.0,43.1,Alabama,220,75,129,16.0,27,24,1,0,2,1987
Foley Police Dept,4786,5160.9,1838.7,3134.1,188.0,794.0,710.4,0.0,20.9,62.7,Alabama,247,88,150,9.0,38,34,0,1,3,1988
Foley Police Dept,5037,2025.0,357.4,1330.2,337.5,615.4,436.8,0.0,39.7,139.0,Alabama,102,18,67,17.0,31,22,0,2,7,1989
Foley Police Dept,4937,1458.4,162.0,1093.8,202.6,546.9,445.6,20.3,0.0,81.0,Alabama,72,8,54,10.0,27,22,1,0,4,1990
Foley Police Dept,4996,1541.2,240.2,1180.9,120.1,480.4,440.4,0.0,0.0,40.0,Alabama,77,12,59,6.0,24,22,0,0,2,1991
Foley Police Dept,5053,1286.4,59.4,1048.9,178.1,930.1,870.8,0.0,0.0,59.4,Alabama,65,3,53,9.0,47,44,0,0,3,1992
Foley Police Dept,5943,1632.2,218.7,1262.0,151.4,689.9,555.3,33.7,0.0,101.0,Alabama,97,13,75,9.0,41,33,2,0,6,1993
Foley Police Dept,5988,6245.8,901.8,5210.4,133.6,1169.0,835.0,16.7,33.4,283.9,Alabama,374,54,312,8.0,70,50,1,2,17,1994
Foley Police Dept,6624,10129.8,1479.5,8408.8,241.5,936.0,588.8,30.2,45.3,271.7,Alabama,671,98,557,16.0,62,39,2,3,18,1995
Foley Police Dept,6655,12577.0,2088.7,10217.9,270.5,1172.1,781.4,15.0,135.2,240.4,Alabama,837,139,680,18.0,78,52,1,9,16,1996
Foley Police Dept,6726,17246.5,2378.8,14020.2,847.5,1531.4,1040.7,29.7,118.9,342.0,Alabama,1160,160,943,57.0,103,70,2,8,23,1997
Foley Police Dept,6733,14139.3,2346.7,11050.1,742.6,1901.1,1425.8,0.0,104.0,371.3,Alabama,952,158,744,50.0,128,96,0,7,25,1998
Foley Police Dept,7322,15214.4,2991.0,11458.6,764.8,1270.1,956.0,13.7,81.9,218.5,Alabama,1114,219,839,56.0,93,70,1,6,16,1999
Foley Police Dept,7590,15441.4,2121.2,12938.1,382.1,1067.2,909.1,0.0,65.9,92.2,Alabama,1172,161,982,29.0,81,69,0,5,7,2000
Foley Police Dept,7619,10329.4,1089.4,8911.9,328.1,643.1,551.3,26.3,26.3,39.4,Alabama,787,83,679,25.0,49,42,2,2,3,2001
Foley Police Dept,7657,11101.0,1906.8,8985.2,209.0,809.7,600.8,13.1,65.3,130.6,Alabama,850,146,688,16.0,62,46,1,5,10,2002
Foley Police Dept,8819,10840.2,1292.7,9071.3,476.2,1054.5,691.7,0.0,158.7,204.1,Alabama,956,114,800,42.0,93,61,0,14,18,2003
Foley Police Dept,13463,7806.6,1285.0,5964.5,557.1,839.3,512.5,22.3,44.6,260.0,Alabama,1051,173,803,75.0,113,69,3,6,35,2007
Foley Police Dept,14566,3947.5,563.0,3261.0,123.6,432.5,295.2,6.9,20.6,109.8,Alabama,575,82,475,18.0,63,43,1,3,16,2009
Foley Police Dept,14618,3427.3,431.0,2791.1,205.2,307.8,253.1,0.0,27.4,27.4,Alabama,501,63,408,30.0,45,37,0,4,4,2010
Foley Police Dept,14688,4718.1,558.3,3969.2,190.6,449.3,347.2,0.0,27.2,74.9,Alabama,693,82,583,28.0,66,51,0,4,11,2011
Foley Police Dept,15049,4418.9,578.1,3648.1,192.7,358.8,232.6,0.0,26.6,99.7,Alabama,665,87,549,29.0,54,35,0,4,15,2012
Fort Payne Police Dept,12010,3955.0,699.4,3122.4,133.2,266.4,216.5,8.3,8.3,33.3,Alabama,475,84,375,16.0,32,26,1,1,4,1984
Fort Payne Police Dept,12103,4602.2,999.8,3371.1,231.3,289.2,206.6,0.0,8.3,74.4,Alabama,557,121,408,28.0,35,25,0,1,9,1985
Fort Payne Police Dept,12220,3821.6,638.3,2937.8,245.5,327.3,270.0,16.4,8.2,32.7,Alabama,467,78,359,30.0,40,33,2,1,4,1986
Fort Payne Police Dept,11829,3931.0,634.0,2950.4,346.6,312.8,211.3,0.0,33.8,67.6,Alabama,465,75,349,41.0,37,25,0,4,8,1987
Fort Payne Police Dept,12020,3843.6,831.9,2712.1,299.5,590.7,515.8,0.0,25.0,49.9,Alabama,462,100,326,36.0,71,62,0,3,6,1988
