data_attendance_average minutes,data_attendance_average student rate,data_attendance_average teacher rate,data_enrollment_schools,data_enrollment_staff,data_enrollment_student teacher ratio,data_enrollment_students_all,data_enrollment_students_gender_female,data_enrollment_students_gender_male,data_enrollment_students_other_free lunch eligible,data_enrollment_students_other_individualized education program,data_enrollment_students_other_lep/ell students,data_enrollment_students_other_reduced-price lunch eligible,data_enrollment_students_other_ungraded students,data_enrollment_students_race_asian,data_enrollment_students_race_biracial,data_enrollment_students_race_black,data_enrollment_students_race_hispanic,data_enrollment_students_race_native american,data_enrollment_students_race_white,data_enrollment_students_year_eighth,data_enrollment_students_year_eleventh,data_enrollment_students_year_fifth,data_enrollment_students_year_first,data_enrollment_students_year_fourteenth,data_enrollment_students_year_fourth,data_enrollment_students_year_ninth,data_enrollment_students_year_second,data_enrollment_students_year_seventh,data_enrollment_students_year_sixth,data_enrollment_students_year_tenth,data_enrollment_students_year_third,data_enrollment_students_year_thirteenth,data_enrollment_students_year_twelfth,data_enrollment_teachers,data_funding_expenditures,data_funding_revenue,data_location_latitude,data_location_longitude,data_score_math_first_grade,data_score_math_first_scale score,data_score_math_second_grade,data_score_math_second_scale score,data_score_reading_first_grade,data_score_reading_first_scale score,data_score_reading_second_grade,data_score_reading_second_scale score,data_score_science_first_grade,data_score_science_first_scale score,data_score_science_second_grade,data_score_science_second_scale score,data_score_writing_first_grade,data_score_writing_first_scale score,data_score_writing_second_grade,data_score_writing_second_scale score,state
64923.5,86.53125,87.15625,2451,128289.14,13.77,918710,445091,473619,342715,127148,21918,63643,,18080,11510,156941,41691,4341,686147,67913,73080,67296,28495,65990,67818,69153,69376,68709,68313,66944,68974,66855,69794,66734.84,10402883203,10157111580,37.9642529,-91.8318334,4,241,8,286,4,221,8,263,4,158,8,154,4,151,8,153,missouri
73432,80.66666667,89,829,19249.08,13.68,141693,68396,73297,46116,16760,3300,11720,,1561,2197,1378,4996,15734,115827,10713,11569,10693,1351,10316,10813,10725,11115,10535,10751,10729,11066,10584,10733,10360.99,1640013689,1616262353,46.8796822,-110.3625658,4,244,8,292,4,227,8,271,4,160,8,162,4,149,8,157,montana
69004.57143,92.85714286,93.57142857,1127,45509.07,13.36,298500,144272,154228,100563,44299,20077,26551,,6350,8642,19990,47900,4413,211205,21103,22567,22150,12656,22236,22390,20992,23411,21680,21901,20875,23134,21407,21998,22345.16,3674796158,3693929543,41.4925374,-99.9018131,4,239,8,284,4,223,8,267,4,,8,,4,154,8,,nebraska
80490.3,98.1,98.9,677,33400.11,20.02,437149,212004,225145,190854,48078,83352,29049,647,31209,18554,43225,169236,5705,169220,34054,33780,33600,4444,29207,33492,33947,32454,33754,34047,33070,33809,32645,34199,21839.48,4257267515,4310014015,38.8026097,-116.419389,4,235,8,274,4,211,8,252,4,140,8,138,4,145,8,143,nevada
66722.85714,93.85714286,89.57142857,483,32955.1,12.67,194711,94023,100688,38659,29778,3965,10245,,5370,2858,3821,7231,653,174778,14795,16832,14187,3097,15019,13913,15191,11970,14602,14294,15407,14120,15290,15994,15365.2,2760682470,2810017950,43.1938516,-71.5723953,4,251,8,292,4,229,8,270,4,161,8,162,4,,8,160,new hampshire
92180.1,91,95.1,2634,202633.6,12.73,1402548,678500,724048,370531,225471,52771,74205,56860,124519,9455,234395,309673,1864,722642,100245,106281,97716,53564,97358,98791,100225,92413,99344,98641,99630,99976,98237,103267,110202.4,26157669469,25856286143,40.0583238,-74.4056612,4,247,8,293,4,231,8,270,4,154,8,153,4,,8,175,new jersey
60908.44444,94.55555556,95.55555556,873,46519.33,15.07,338122,164730,173392,206414,46612,52557,20663,,4397,3261,7151,200774,34530,88009,25329,29179,25906,7980,20594,26087,24656,26688,25615,25955,24469,26660,22553,26451,22437.43,3792957530,3760801165,34.5199402,-105.8700901,4,230,8,270,4,212,8,251,4,141,8,138,4,142,8,143,new mexico
22463.72,73.44,50.2,4791,413971.15,12.92,2734955,1333400,1401555,1123040,452551,208125,192524,27104,226894,16036,519113,611873,14541,1346498,199937,235380,198573,51649,191528,201820,202305,194607,201761,198720,203761,202889,197541,227380,211605.54,56690808637,57146375462,40.7127837,-74.0059413,4,241,8,283,4,224,8,264,4,,8,,4,163,8,154,new york
72555.54167,88.25,,2609,193038.9,15.15,1490605,729010,761595,633440,184704,103249,114538,790,37538,55805,394635,187967,22199,792461,115186,126090,117747,23510,91541,117107,113310,115782,117170,118617,111112,108078,102676,111889,98357.47,13297983515,13056767057,35.7595731,-79.01929969999999,4,244,8,284,4,218,8,259,4,149,8,144,4,159,8,153,north carolina
,,,521,16239.18,11.44,96323,46534,49789,22988,13097,2788,6941,,1267,3193,2318,95,8789,80661,7141,7591,6915,1529,7581,7197,7372,7449,6676,6974,7298,7484,7415,7701,8416.95,1159215292,1256047706,47.5514926,-101.0020119,4,245,8,293,4,226,8,268,4,160,8,163,4,150,8,154,north dakota
92278.11429,91.37142857,90.68571429,3852,241211.64,16.05,1754191,853014,901177,646984,259448,37116,98137,,30641,73513,285091,60506,2519,1301921,133615,152198,130593,30047,118946,130425,135005,129964,134109,133202,133210,132638,121707,138532,109281.94,23262091286,22729890148,40.4172871,-82.90712300000001,4,244,8,286,4,226,8,268,4,157,8,155,4,157,8,156,ohio
75968.5,90.6,93.6,1803,82261.7,15.99,659911,320225,339686,337536,97247,41812,61381,1798,14116,20957,67107,81009,116597,360125,47809,48131,48899,40688,39634,50070,47418,52114,48490,48519,45737,52420,42620,45564,41277.8,5664915113,5699757846,35.4675602,-97.5164276,4,237,8,276,4,217,8,260,4,150,8,147,4,142,8,153,oklahoma
80254.25,87.16666667,95.08333333,1313,63602.73,20.3,570720,272753,288575,240711,80283,58946,39463,,25233,23794,14599,115102,10406,372194,43280,44540,42013,9392,46212,42322,43528,40656,43144,42924,42834,42508,43078,44289,28109.27,6288121386,6211293861,43.8041334,-120.5542012,4,238,8,285,4,215,8,266,4,151,8,153,4,149,8,,oregon
65233.24561,78.19298246,83.03508772,3269,266795.76,13.8,1793284,870419,922865,584251,295077,47014,102390,2190,56914,27198,280981,149247,2892,1276052,134782,150150,129292,16294,141710,130253,135869,128120,134499,132497,135876,131170,141866,148716,129911.39,26520057652,26408846275,41.2033216,-77.1945247,4,244,8,288,4,226,8,268,4,,8,,4,156,8,159,pennsylvania
75600,86,,325,18631.74,12.83,143793,69303,74490,52839,25332,7655,8288,,4368,3417,11457,29917,951,93683,9889,12888,10755,2054,10466,10745,11150,10057,10195,10865,10954,11070,10891,11814,11211.8,2286060927,2262193286,41.5800945,-71.4774291,4,239,8,278,4,219,8,258,4,146,8,146,4,157,8,154,rhode island
63148.36842,90.42105263,88.94736842,1228,65508.4,16.05,725838,352472,373366,350202,100262,36379,44831,,10452,16519,263034,46202,2111,387520,54788,62161,54100,24188,44703,53846,54280,54624,55887,55636,52904,55328,48708,54685,45210.4,8215179835,7837314357,33.836081,-81.1637245,4,236,8,280,4,214,8,257,4,148,8,145,4,145,8,148,south carolina
70840,95.5,92.5,718,19545.06,13.26,126128,60984,65144,36573,18026,4383,10144,,1868,1401,3144,4352,14683,100680,9331,10307,9233,1974,9063,9498,9212,11049,9321,9140,9275,9903,9043,9779,9511.67,1289354666,1300147427,43.9695148,-99.9018131,4,242,8,291,4,223,8,270,4,158,8,161,4,,8,,south dakota
79760,89.83333333,95.75,1803,128196.6,14.84,987422,478678,508744,471483,119004,29681,71470,,16840,7171,236013,60549,1902,664947,74615,76010,74793,28787,67441,74788,73363,76642,75057,75481,71475,76706,68755,73509,66558.1,8759495348,8528047188,35.5174913,-86.5804473,4,232,8,275,4,216,8,259,4,150,8,145,4,149,8,156,tennessee
82781.91667,86.29166667,92.60416667,9332,665418.5,14.73,4935715,2400429,2535286,2148558,441987,738663,322654,,175489,78424,638377,2480792,23607,1539026,361700,391554,375454,249122,298400,379910,357395,374195,372509,374111,354314,387899,314911,344241,334996.94,53838221095,50045607224,31.9685988,-99.9018131,4,240,8,287,4,220,8,261,4,150,8,143,4,154,8,151,texas
69207.14286,91.57142857,96.57142857,1029,52340.96,22.8,585552,284197,301355,180183,70232,42804,43760,,19942,4531,8468,88285,7816,456510,44797,41419,46753,10376,38744,48122,43942,48043,45822,46127,42227,48770,39446,40964,25676.71,4564279023,4464561903,39.3209801,-111.0937311,4,240,8,284,4,221,8,262,4,155,8,154,4,145,8,152,utah
86694.6,94.6,94.6,324,18485.22,11.56,96858,46505,50353,25757,13562,1510,5582,,1563,2034,1787,1307,268,89899,6484,7139,6214,10678,7114,6171,6628,6259,6294,6291,6757,6213,7329,7287,8382.08,1555315802,1638396119,44.5588028,-72.57784149999999,4,248,8,293,4,228,8,273,4,160,8,162,4,158,8,162,vermont
68119.72222,82.44444444,83.83333333,2211,201047.18,17.64,1251440,607240,644200,384744,162338,88033,74135,,74933,51170,301427,142536,4251,677123,92762,102407,93328,30821,89266,93687,92557,92899,94182,93965,91877,95368,91403,96918,70947.13,14548960294,14692849375,37.4315734,-78.6568942,4,243,8,286,4,227,8,267,4,161,8,155,4,157,8,157,virginia
76764.11111,85.33333333,88.38888889,2354,103782.87,19.35,1043788,505738,538050,345382,127909,90282,72683,,84123,48280,50048,187783,17570,655984,78531,84449,76802,12056,83712,77707,78489,75933,79062,78546,78448,78598,79465,81990,53934.11,11797716020,11817487671,38.9071923,-77.0368707,4,242,8,289,4,224,8,265,4,153,8,154,4,158,8,158,washington
76721.13333,95.6,92.2,765,39270.21,13.91,282879,136679,146200,124111,44924,1788,21494,,2063,2275,14786,3139,338,260278,20595,22785,20786,14660,18430,20299,20919,21256,20842,20493,20455,21167,19155,21037,20338.46,3435241188,3432220414,38.5976262,-80.4549026,4,233,8,270,4,215,8,255,4,151,8,147,4,147,8,146,west virginia
43804.72727,51.36363636,57.90909091,2275,103900.92,15.14,872286,422741,449545,289759,124721,43638,52901,,31165,13204,86665,80826,11625,648801,61053,68383,59981,50200,69858,60226,61264,60721,61420,61015,61337,61262,69076,66490,57625.42,11470336083,11104748973,43.7844397,-88.7878678,4,244,8,288,4,223,8,264,4,158,8,158,4,,8,158,wisconsin
66640,90.33333333,,365,16423.88,12.49,89009,43136,45873,24216,15231,2602,8752,,837,1211,1022,10932,2937,72070,6766,6842,6801,582,6233,7064,6776,7611,6711,6694,6657,7124,6424,6724,7127.45,1685613073,1708365142,43.0759678,-107.2902839,4,242,8,286,4,225,8,266,4,157,8,159,4,150,8,158,wyoming
