acquisition date,birth.location,birth.year,creation decade,creation year,credit,death.location,death.year,depth,gender,height,medium,name,role,thumbnail,title,url,width
2010,"Great Britain, United Kingdom",1973,2000,2008,Presented by Tate Members 2010,,0,0.0,Female,0.0,"Beanbag, 8 headphones and video, 32 flat screens, colour and sound","Chetwynd, Spartacus",artist,http://www.tate.org.uk/art/images/work/T/T13/T13044_8.jpg,"Hermitos Children, the pilot episode",http://www.tate.org.uk/art/artworks/chetwynd-hermitos-children-the-pilot-episode-t13044,0.0
1982,"Firenze, Italia",1946,1980,1981,Purchased 1982,,0,0.0,Male,1700.0,Oil paint and pastel on canvas,"Chia, Sandro",artist,http://www.tate.org.uk/art/images/work/T/T03/T03469_8.jpg,Water Bearer,http://www.tate.org.uk/art/artworks/chia-water-bearer-t03469,2065.0
1960,"Milano, Italia",1914,1960,1960,Presented by Professor Gino Ghiringhelli 1960,,1974,0.0,Male,813.0,Oil paint on canvas,"Chighine, Alfredo",artist,http://www.tate.org.uk/art/images/work/T/T00/T00377_8.jpg,Composition with Palm Trees,http://www.tate.org.uk/art/artworks/chighine-composition-with-palm-trees-t00377,648.0
1965,"San Sebastin, Espaa",1924,1960,1963,Purchased 1965,,2002,400.0,Male,698.0,Iron,"Chillida, Eduardo",artist,http://www.tate.org.uk/art/images/work/T/T00/T00750_8.jpg,Modulation of Space I,http://www.tate.org.uk/art/artworks/chillida-modulation-of-space-i-t00750,546.0
1997,"London, United Kingdom",1774,0,0,Purchased as part of the Opp Collection with assistance from the National Lottery through the Heritage Lottery Fund 1996,Macau,1852,0.0,Male,270.0,Ink on paper,"Chinnery, George",artist,http://www.tate.org.uk/art/images/work/T/T08/T08810_8.jpg,Head of a Dromedary,http://www.tate.org.uk/art/artworks/chinnery-head-of-a-dromedary-t08810,225.0
2010,"London, United Kingdom",1965,1990,1998,Presented by Tate Members 2010,,0,0.0,Male,0.0,"Video, 2 projections, colour ans sound (stereo)","Chodzko, Adam",artist,,Nightvision,http://www.tate.org.uk/art/artworks/chodzko-nightvision-t13045,0.0
2012,"Bayrut, Al-Lubnan",1916,1960,1966,Purchased with funds provided by the Middle East North Africa Acquisitions Committee 2012,,0,70.0,Female,210.0,Aluminium,"Choucair, Saloua Raouda",artist,http://www.tate.org.uk/art/images/work/T/T13/T13647_8.jpg,Poem of Nine Verses,http://www.tate.org.uk/art/artworks/choucair-poem-of-nine-verses-t13647,270.0
1943,Bharat,1875,1910,1913,Presented by Michel Salaman 1943,Makedonija,1917,0.0,Male,375.0,Watercolour on paper,"Chowne, Gerard",artist,http://www.tate.org.uk/art/images/work/N/N05/N05433_8.jpg,Spanish Landscape,http://www.tate.org.uk/art/artworks/chowne-spanish-landscape-n05433,241.0
1981,,1945,1980,1981,Purchased 1981,,0,0.0,Male,466.0,Screenprint on paper,"Christie, John",artist,http://www.tate.org.uk/art/images/work/P/P07/P07603_8.jpg,Homage to Ursonate,http://www.tate.org.uk/art/artworks/christie-homage-to-ursonate-p07603,245.0
1981,"Gabrovo, Bulgaria",1935,1950,1959,Purchased 1981,,0,0.0,Male,105.0,"Metal, canvas and string",Christo,artist,http://www.tate.org.uk/art/images/work/T/T03/T03290_8.jpg,Wrapped Cans. Part of Inventory,http://www.tate.org.uk/art/artworks/christo-wrapped-cans-part-of-inventory-t03290,120.0
