acquisition date,birth.location,birth.year,creation decade,creation year,credit,death.location,death.year,depth,gender,height,medium,name,role,thumbnail,title,url,width
1978,"Chicago, United States",1897,1950,1954,Presented by Mr and Mrs Michael Croydon through the American Federation of Arts 1978,"Woodstock, United States",1983,270.0,Male,225.0,Bronze,"Albright, Ivan",artist,,Josephine Medill Paterson Albright,http://www.tate.org.uk/art/artworks/albright-josephine-medill-paterson-albright-t02316,346.0
2000,"Greenwich, United Kingdom",1905,1930,1930,Purchased 2000,,1983,0.0,Male,813.0,Oil paint on canvas,"Aldridge, John",artist,http://www.tate.org.uk/art/images/work/T/T07/T07626_8.jpg,Head and Fruit,http://www.tate.org.uk/art/artworks/aldridge-head-and-fruit-t07626,660.0
1987,"Bruxelles, Belgi",1927,1950,1952,Purchased 1987,,0,0.0,Male,307.0,Etching on paper,"Alechinsky, Pierre",artist,http://www.tate.org.uk/art/images/work/P/P77/P77242_8.jpg,The Night,http://www.tate.org.uk/art/artworks/alechinsky-the-night-p77242,234.0
1905,"Edinburgh, United Kingdom",1870,1900,1905,Presented by the Trustees of the Chantrey Bequest 1905,"Musselburgh, United Kingdom",1926,0.0,Male,1780.0,Watercolour on paper,"Alexander, Edwin",artist,,Peacock and Python,http://www.tate.org.uk/art/artworks/alexander-peacock-and-python-n01965,1018.0
1997,"Maidstone, United Kingdom",1767,0,0,Purchased as part of the Opp Collection with assistance from the National Lottery through the Heritage Lottery Fund 1996,"Maidstone, United Kingdom",1816,0.0,Male,187.0,Graphite and watercolour on paper,"Alexander, William",artist,http://www.tate.org.uk/art/images/work/T/T08/T08735_8.jpg,"View in Bridge Street, Northampton",http://www.tate.org.uk/art/artworks/alexander-view-in-bridge-street-northampton-t08735,216.0
2009,"Moskva, Rossiya",1973,2000,2005,Purchased with funds provided by Outset Contemporary Art Fund 2009  ,,0,0.0,Male,0.0,"Video, projection, colour and sound","Alimpiev, Victor",artist,,Sweet Nightingale,http://www.tate.org.uk/art/artworks/alimpiev-sweet-nightingale-t12892,0.0
1997,,1756,0,0,Purchased as part of the Opp Collection with assistance from the National Lottery through the Heritage Lottery Fund 1996,,1894,0.0,Male,103.0,Graphite on paper,Alken Family,attributed to,http://www.tate.org.uk/art/images/work/T/T09/T09621_8.jpg,Camp Scene,http://www.tate.org.uk/art/artworks/alken-family-camp-scene-t09621,90.0
1997,"London, United Kingdom",1785,0,0,Purchased as part of the Opp Collection with assistance from the National Lottery through the Heritage Lottery Fund 1996,"London, United Kingdom",1851,0.0,Male,355.0,Graphite on paper,"Alken, Henry Thomas",artist,http://www.tate.org.uk/art/images/work/T/T09/T09604_8.jpg,A Hunting Scene,http://www.tate.org.uk/art/artworks/alken-a-hunting-scene-t09604,96.0
1996,"London, United Kingdom",1756,0,0,Purchased as part of the Opp Collection with assistance from the National Lottery through the Heritage Lottery Fund 1996,"London, United Kingdom",1815,0.0,Male,372.0,Graphite and watercolour on paper,"Alken, Samuel, Senior",attributed to,http://www.tate.org.uk/art/images/work/T/T09/T09608_8.jpg,"A Gothic ?Abbey with Four Towers, Two of Them Octagonal",http://www.tate.org.uk/art/artworks/alken-a-gothic-abbey-with-four-towers-two-of-them-octagonal-t09608,230.0
1996,"Alloa, United Kingdom",1744,1760,1767,Purchased as part of the Opp Collection with assistance from the National Lottery through the Heritage Lottery Fund 1996,"Edinburgh, United Kingdom",1796,0.0,Male,380.0,"Graphite, ink and watercolour on paper","Allan, David",artist,http://www.tate.org.uk/art/images/work/T/T08/T08119_8.jpg,"The Start of the Race in the Corso, Rome",http://www.tate.org.uk/art/artworks/allan-the-start-of-the-race-in-the-corso-rome-t08119,219.0
1929,"Southampton, United Kingdom",1892,1920,1928,Presented by the Trustees of the Chantrey Bequest 1929,,1996,240.0,Female,230.0,Bronze on limestone base,"Allan, Julian Phelps",artist,,Marjorie,http://www.tate.org.uk/art/artworks/allan-marjorie-n04479,515.0
1847,"Edinburgh, United Kingdom",1782,1810,1817,Presented by Robert Vernon 1847,"Edinburgh, United Kingdom",1850,0.0,Male,521.0,Oil paint on mahogany,"Allan, Sir William",artist,http://www.tate.org.uk/art/images/work/N/N00/N00373_8.jpg,Tartar Robbers Dividing Spoil,http://www.tate.org.uk/art/artworks/allan-tartar-robbers-dividing-spoil-n00373,641.0
1992,"Paris, France",1916,1980,1985,Purchased 1992,"Wallingford, United Kingdom",1988,0.0,Male,1270.0,Oil paint and tempera on canvas,"Allen, George Warner",artist,http://www.tate.org.uk/art/images/work/T/T06/T06610_8.jpg,The Return from Cythera,http://www.tate.org.uk/art/artworks/allen-the-return-from-cythera-t06610,1165.0
1902,"Lambeth, United Kingdom",1803,0,0,Presented by T.W. Bacon 1902,"London, United Kingdom",1852,0.0,Male,1206.0,Oil paint on canvas,"Allen, Joseph William",artist,http://www.tate.org.uk/art/images/work/N/N01/N01904_8.jpg,A Landscape,http://www.tate.org.uk/art/artworks/allen-a-landscape-n01904,787.0
2008,"London, United Kingdom",1967,2000,2003,Purchased with funds provided by the Nicholas Themans Trust 2009,,0,90.0,Male,2440.0,"2 works on board, oil paint","Allen, Phillip",artist,http://www.tate.org.uk/art/images/work/T/T12/T12824_8.jpg,Beezerspline (Counter Attack Version),http://www.tate.org.uk/art/artworks/allen-beezerspline-counter-attack-version-t12824,1827.0
2009,"Worcestershire, United Kingdom",1933,1970,1972,Presented by Tate Members 2010,,1999,0.0,Male,0.0,Polyvinyl acetate on 6 canvases,"Allen, Richard",artist,,Untitled Systems painting (six sections),http://www.tate.org.uk/art/artworks/allen-untitled-systems-painting-six-sections-t12930,0.0
1964,"Seremban, Malaysia",1927,1960,1962,Purchased 1964,,1993,298.0,Female,279.0,Brass,"Alley, Anthea",artist,http://www.tate.org.uk/art/images/work/T/T00/T00655_8.jpg,Spatial Form,http://www.tate.org.uk/art/artworks/alley-spatial-form-t00655,337.0
1994,"Cumbria, United Kingdom",1951,1980,1982,Presented by the Weltkunst Foundation 1994,,0,900.0,Male,920.0,"Terracotta, plastic and steel","Allington, Edward",artist,,Oblivion Penetrated,http://www.tate.org.uk/art/artworks/allington-oblivion-penetrated-t06895,1450.0
1974,"London, United Kingdom",1890,1930,1933,Presented by Miss Mary Mitchell-Smith 1974,,1959,0.0,Male,813.0,Oil paint on canvas,"Allinson, Adrian",artist,,Ibizan Waterfront,http://www.tate.org.uk/art/artworks/allinson-ibizan-waterfront-t01864,664.0
1988,"London, United Kingdom",1804,1830,1833,Transferred from the British Museum 1988,"Barnes, United Kingdom",1872,0.0,Male,0.0,Engraving on paper,"Allom, Thomas",manner of,http://www.tate.org.uk/art/images/work/T/T06/T06384_8.jpg,"South View of Lowther Castle, the Seat of William Lowther, Earl of Lonsdale, engraved by J. Thomas",http://www.tate.org.uk/art/artworks/allom-south-view-of-lowther-castle-the-seat-of-william-lowther-earl-of-lonsdale-engraved-t06384,0.0
2013,"Philadelphia, United States",1974,2000,2003,"Presented by the American Fund for the Tate Gallery, courtesy of the American Acquisitions Committee 2012",,0,3048.0,Female,6096.0,"Metal, plastic, nylon, radio transmitter, aerials and microphone","Allora, Jennifer",artist,,Ten minute transmission,http://www.tate.org.uk/art/artworks/allora-calzadilla-ten-minute-transmission-t13698,2743.0
1938,"Dronrijp, Nederland",1836,1880,1888,Bequeathed by R.H. Williamson 1938,"Wiesbaden, Deutschland",1912,0.0,Male,298.0,Oil paint on canvas,"Alma-Tadema, Sir Lawrence",artist,http://www.tate.org.uk/art/images/work/N/N04/N04949_8.jpg,A Priestess of Apollo,http://www.tate.org.uk/art/artworks/alma-tadema-a-priestess-of-apollo-n04949,349.0
2012,"Lisboa, Portugal",1934,1990,1995,Purchased with funds provided by the 2011 Outset / Frieze Art Fair Fund to benefit the Tate Collection 2012,,0,0.0,Female,208.0,Ink and pastel on paper,"Almeida, Helena",artist,http://www.tate.org.uk/art/images/work/T/T13/T13491_8.jpg,Drawing (with pigment),http://www.tate.org.uk/art/artworks/almeida-drawing-with-pigment-t13491,294.0
1998,"Wigan, United Kingdom",1971,1990,1997,Purchased 1998,,0,0.0,Male,889.0,Screenprint on paper,"Almond, Darren",artist,http://www.tate.org.uk/art/images/work/P/P78/P78078_8.jpg,Multiple Working,http://www.tate.org.uk/art/artworks/almond-multiple-working-p78078,731.0
2012,"Warszawa, Polska",1967,2000,2002,Presented by Tate Patrons 2011,,0,1110.0,Male,735.0,"Animal intestines, straw and hair over metal, plaster, porcelain, artificial wig, wooden floor, video camera, mobile pho","Althamer, Pawel",artist,,Monika and Pawel,http://www.tate.org.uk/art/artworks/althamer-monika-and-pawel-t13573,1760.0
1981,"Los Angeles, United States",1925,1960,1963,Presented by the artist's widow 1981,Los Angeles,1969,0.0,Male,1016.0,Acrylic paint and ink on board,"Altoon, John",artist,,Black and White 55,http://www.tate.org.uk/art/artworks/altoon-black-and-white-55-t03266,762.0
2011,"Antwerpen, Belgi",1959,2000,2000,Presented by the artist 2010,,0,20.0,Male,208.0,Oil paint on canvas,"Als, Francis",artist,http://www.tate.org.uk/art/images/work/T/T13/T13277_8.jpg,Untitled,http://www.tate.org.uk/art/artworks/alys-untitled-t13277,159.0
1997,"Napoli, Italia",1682,0,0,Purchased as part of the Opp Collection with assistance from the National Lottery through the Heritage Lottery Fund 1996,"Madrid, Espaa",1752,0.0,Male,287.0,"Ink, watercolour and gouache on paper","Amiconi, Giacomo",artist,http://www.tate.org.uk/art/images/work/T/T08/T08734_8.jpg,Portrait of a Man,http://www.tate.org.uk/art/artworks/amiconi-portrait-of-a-man-t08734,203.0
1960,Solothurn,1868,1920,1924,Presented by Mrs Leila Pirani 1960,Schweiz,1961,0.0,Male,298.0,Watercolour on paper,"Amiet, Cuno",artist,http://www.tate.org.uk/art/images/work/T/T00/T00394_8.jpg,Landscape from the Jura Mountains,http://www.tate.org.uk/art/artworks/amiet-landscape-from-the-jura-mountains-t00394,251.0
2005,"Ciudad de Mxico, Mxico",1970,1990,1997,Presented by Tiqui Atencio and Argo Demirdjian 2004,,0,0.0,Male,0.0,"46 photographs, colour, on paper","Amorales, Carlos",artist,,Interior vs. Exterior,http://www.tate.org.uk/art/artworks/amorales-interior-vs-exterior-t11981,0.0
1975,"Crdoba, Espaa",1921,1960,1968,Presented by Curwen Studio through the Institute of Contemporary Prints 1975,,2002,0.0,Male,406.0,Lithograph on paper,"Amuchastegui, Axel",artist,,Ocelot Head,http://www.tate.org.uk/art/artworks/amuchastegui-ocelot-head-p06006,518.0
2009,"Birmingham, United Kingdom",1965,2000,2008,Purchased using funds provided by the 2008 Outset / Frieze Art Fair Fund to benefit the Tate Collection 2009,,0,0.0,Male,2083.0,Oil paint on canvas,"Anderson, Hurvin",artist,http://www.tate.org.uk/art/images/work/T/T12/T12889_8.jpg,Jersey,http://www.tate.org.uk/art/artworks/anderson-jersey-t12889,2503.0
1983,,1630,1650,1650,Bequeathed by Hugh Paget 1983,,1665,0.0,Male,597.0,Oil paint on canvas,"Anderton, Henry",artist,http://www.tate.org.uk/art/images/work/T/T03/T03543_8.jpg,Mountain Landscape with Dancing Shepherd,http://www.tate.org.uk/art/artworks/anderton-mountain-landscape-with-dancing-shepherd-t03543,457.0
2008,"Lima, Per",1975,2000,2006,Purchased using funds provided by the 2006 Outset / Frieze Art Fair Fund to benefit the Tate Collection 2007,,0,0.0,Male,0.0,"Slide, 35 mm, 160 slides, 4 projections, colour","Andrade Tudela, Armando",artist,http://www.tate.org.uk/art/images/work/T/T12/T12771_8.jpg,Casas Alteradas,http://www.tate.org.uk/art/artworks/andrade-tudela-casas-alteradas-t12771,0.0
2013,"Macei, Brasil",1982,2000,2009,Presented by Pedro Barbosa 2011,,0,0.0,Male,0.0,"151 text panels, typewritten ink on paper, 53 photographs, black and white and colour, digital prints on paper, framed,","Andrade, Jonathas de",artist,,Tropical Hangover,http://www.tate.org.uk/art/artworks/andrade-tropical-hangover-t13859,0.0
2008,"Quincy, United States",1935,1990,1998,Presented by the American Fund for the Tate Gallery 2007,,0,0.0,Male,2170.0,Western red cedar,"Andre, Carl",artist,,Diamondback,http://www.tate.org.uk/art/artworks/andre-diamondback-t12601,10900.0
2007,"Odessa, Ukrayina",1894,1920,1922,Accepted by HM Government in lieu of inheritance tax and allocated to Tate 2007,"Paris, France",1982,0.0,Male,384.0,Oil paint on canvas,"Andreenko, Michel",artist,,Constructivist Space,http://www.tate.org.uk/art/artworks/andreenko-constructivist-space-t12399,485.0
1993,"Norwich, United Kingdom",1928,1950,1959,Presented by the executors of the estate of David Wilkie 1993,"London, United Kingdom",1995,73.0,Male,505.0,Oil paint on canvas,"Andrews, Michael",artist,http://www.tate.org.uk/art/images/work/T/T06/T06681_8.jpg,Study for a Man in a Landscape (Digswell),http://www.tate.org.uk/art/artworks/andrews-study-for-a-man-in-a-landscape-digswell-t06681,550.0
1965,"Dunkerque, France",1685,1710,1715,Presented by the Friends of the Tate Gallery 1965,"Rennes, France",1734,0.0,Male,797.0,Oil paint on canvas,"Angellis, Peter",artist,http://www.tate.org.uk/art/images/work/T/T00/T00789_8.jpg,Conversation Piece,http://www.tate.org.uk/art/artworks/angellis-conversation-piece-t00789,937.0
1970,"London, United Kingdom",1936,1960,1968,Presented by Alistair McAlpine (later Lord McAlpine of West Green) 1970,,0,610.0,Male,2470.0,Painted steel,"Annesley, David",artist,http://www.tate.org.uk/art/images/work/T/T01/T01348_8.jpg,Untitled,http://www.tate.org.uk/art/artworks/annesley-untitled-t01348,2222.0
1941,"Eure, France",1861,1890,1899,Purchased 1941,"Paris, France",1932,0.0,Male,768.0,Oil paint on canvas,"Anquetin, Louis",artist,,Two Studies for The Three Graces,http://www.tate.org.uk/art/artworks/anquetin-two-studies-for-the-three-graces-n05252,616.0
1982,"Sankt-Peterburg, Rossiya",1883,1940,1944,Bequeathed by Mrs M.J.A. Russell 1982,,1969,0.0,Male,370.0,Gouache on board,"Anrep, Boris",artist,http://www.tate.org.uk/art/images/work/T/T03/T03538_8.jpg,Nude and Ruins,http://www.tate.org.uk/art/artworks/anrep-nude-and-ruins-t03538,604.0
2010,"Tehran, ran",1979,2000,2005,Purchased using funds provided by the Middle East North Africa Acquisitions Committee 2010,,0,0.0,Female,0.0,"Video, projection, colour","Ansarinia, Nazgol",artist,,Living Room,http://www.tate.org.uk/art/artworks/ansarinia-living-room-t13194,0.0
1935,"Liverpool, United Kingdom",1815,0,0,Purchased 1935,"London, United Kingdom",1885,0.0,Male,1346.0,Oil paint on canvas,"Ansdell, Richard",artist,http://www.tate.org.uk/art/images/work/N/N04/N04798_8.jpg,A Ploughing Match,http://www.tate.org.uk/art/artworks/ansdell-a-ploughing-match-n04798,781.0
2009,"Piemonte, Italia",1934,1970,1972,Purchased with funds provided by an anonymous donor 2009,,0,0.0,Male,0.0,"Slide, 10 slides, 5 projections, black and white","Anselmo, Giovanni",artist,,Detail,http://www.tate.org.uk/art/artworks/anselmo-detail-t12954,0.0
1976,"Erie, United States",1930,1960,1965,"Presented by the Museum of Modern Art, New York 1976",,0,0.0,Male,619.0,Screenprint on paper,"Anuszkiewicz, Richard",artist,http://www.tate.org.uk/art/images/work/P/P01/P01787_8.jpg,Untitled,http://www.tate.org.uk/art/artworks/anuszkiewicz-untitled-p01787,619.0
1988,"Amsterdam, Nederland",1921,1940,1949,"Purchased with assistance from Evelyn, Lady Downshire's Trust Fund and the Gytha Trust 1988","Zrich, Schweiz",2006,0.0,Male,1270.0,Oil paint on canvas,"Appel, Karel",artist,http://www.tate.org.uk/art/images/work/T/T05/T05077_8.jpg,"Hip, Hip, Hoorah!",http://www.tate.org.uk/art/artworks/appel-hip-hip-hoorah-t05077,817.0
1975,"Fulham, United Kingdom",1914,1970,1971,Presented by Curwen Studio through the Institute of Contemporary Prints 1975,,2000,0.0,Male,606.0,Lithograph on paper,"Appelbee, Leonard",artist,,Red Bream,http://www.tate.org.uk/art/artworks/appelbee-red-bream-p06008,451.0
1915,"Middlesbrough, United Kingdom",1874,1910,1914,Presented by the Trustees of the Chantrey Bequest 1915,"Hampshire, United Kingdom",1963,0.0,Male,1232.0,Oil paint on canvas,"Appleyard, Fred",artist,http://www.tate.org.uk/art/images/work/N/N03/N03029_8.jpg,A Secret,http://www.tate.org.uk/art/artworks/appleyard-a-secret-n03029,914.0
2009,"Barquisimeto, Venezuela",1969,2000,2006,"Purchased with funds provided by the American Patrons of Tate, courtesy of Tiqui Atencio Demirdjian and Ago Demirdjian 2009  ",,0,0.0,Male,0.0,"Video, projection, black and white, and sound (mono)","Apstol, Alexander",artist,,Libertador Avenue,http://www.tate.org.uk/art/artworks/apostol-libertador-avenue-t12937,0.0
2011,"Karachi, Pakistan",1935,1960,1968,Presented by Tate Members 2011,,0,0.0,Male,0.0,Painted wood,"Araeen, Rasheed",artist,,Lovers,http://www.tate.org.uk/art/artworks/araeen-lovers-t13389,0.0
1981,"Nagoya, Nihon",1936,1970,1974,Purchased 1981,"New York, United States",2010,0.0,,1953.0,"Screenprint, lithograph and embossing print on papers","Arakawa, Shusaku",artist,,A Forgettance (Exhaustion Exhumed),http://www.tate.org.uk/art/artworks/arakawa-a-forgettance-exhaustion-exhumed-p07523,794.0
2013,"Tokyo, Nihon",1940,1990,1995,"Presented by the American Fund for the Tate Gallery, courtesy of Peter Norton 2012",,0,0.0,Male,400.0,"Photograph, gelatin silver print on paper","Araki, Nobuyoshi",artist,,Untitled,http://www.tate.org.uk/art/artworks/araki-untitled-p13298,310.0
2011,"Caracas, Venezuela",1971,2000,2009,"Purchased with funds provided by the American Patrons of Tate, courtesy of Tiqui Atencio Demirdjian and Ago Demirdjian 2010",,0,250.0,Male,250.0,Oil paint on paper,"Araujo, Juan",artist,http://www.tate.org.uk/art/images/work/T/T13/T13347_8.jpg,Sculpture,http://www.tate.org.uk/art/artworks/araujo-sculpture-t13347,240.0
2009,"New York, United States",1923,1960,1964,ARTIST ROOMS Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008,"New York, United States",1971,0.0,Female,365.0,"Photograph, gelatine silver print on paper","Arbus, Diane",artist,,"Tattooed lady with a dog, Philadelphia, PA",http://www.tate.org.uk/art/artworks/arbus-tattooed-lady-with-a-dog-philadelphia-pa-ar00574,365.0
1960,"Kiyev, Ukrayina",1887,1910,1915,Purchased 1960,"New York, United States",1964,83.0,Male,86.0,Bronze,"Archipenko, Alexander",artist,http://www.tate.org.uk/art/images/work/T/T00/T00335_8.jpg,Woman Combing her Hair,http://www.tate.org.uk/art/artworks/archipenko-woman-combing-her-hair-t00335,356.0
