AIDS Orphans,AIDS-Related Deaths.Adults,AIDS-Related Deaths.All Ages,AIDS-Related Deaths.Children,AIDS-Related Deaths.Female Adults,AIDS-Related Deaths.Male Adults,Country,HIV Prevalence.Adults,Incidence Rate Among Adults,New HIV Infections.Adults,New HIV Infections.All Ages,New HIV Infections.Children,New HIV Infections.Female Adults,New HIV Infections.Male Adults,People Living with HIV.Adults,People Living with HIV.Children,People Living with HIV.Female Adults,People Living with HIV.Male Adults,Total,Year,Young Men,Young Women
406,88,99,11,20,67,Paraguay,0.1514,0.0321,651,676,25,181.0,470,3223,58,857,2366,3281,1991,0.1578,0.0853
13317,2719,2955,236,677,2042,Peru,0.4883,0.0526,5739,6237,498,1667.0,4072,56775,1683,15740,41036,58458,1991,0.3857,0.2185
10,3,5,1,2,1,Philippines,0.0005,0.0001,37,40,3,16.0,21,160,6,90,70,167,1991,0.0003,0.0006
11,6,6,0,1,5,Republic of Moldova,0.01414,0.0052,144,145,1,37.0,107,402,3,100,302,404,1991,0.007308,0.004953
28230,6097,7797,1701,3044,3053,Rwanda,5.68,0.8984,25973,30743,4770,14831.0,11142,170051,13113,92255,77796,183165,1991,1.93,3.42
1268,210,283,73,104,106,Senegal,0.201,0.0436,1424,1628,204,778.0,646,6968,487,3734,3234,7455,1991,0.1293,0.2071
8,4,9,4,2,2,Sierra Leone,0.0302,0.0147,273,292,19,153.0,121,563,23,311,252,587,1991,0.0158,0.0412
118,43,71,28,17,26,Somalia,0.1225,0.0483,1449,1549,100,633.0,815,3693,140,1576,2117,3833,1991,0.079,0.0818
7877,3484,5325,1841,1633,1851,South Africa,1.6,0.7158,148995,156013,7017,81082.0,67913,348086,9970,184939,163147,358055,1991,0.8501,2.13
148,66,121,56,35,31,South Sudan,0.2604,0.1172,3214,3443,229,1855.0,1359,7068,305,4048,3020,7373,1991,0.1309,0.243
9454,3670,3737,67,873,2797,Spain,0.4192,0.0642,13031,13147,116,2943.0,10089,89933,441,21648,68285,90374,1991,0.4158,0.1943
4,2,2,0,0,1,Sri Lanka,0.0006,0.0001,9,9,0,2.0,6,54,1,13,41,55,1991,0.0006,0.0003
283,65,88,24,30,34,Sudan,0.0275,0.0073,677,749,72,391.0,286,2724,147,1438,1286,2871,1991,0.0188,0.0308
14,6,7,1,1,5,Suriname,0.2003,0.0593,126,128,2,39.0,86,438,3,91,347,441,1991,0.262,0.1057
259,101,200,99,48,53,Swaziland,3.98,2.02,7110,7516,406,3954.0,3156,14864,509,8035,6829,15373,1991,2.48,4.73
10,4,5,1,2,2,Tajikistan,0.0125,0.0048,118,123,5,55.0,63,314,9,150,164,323,1991,0.0052,0.0085
636,1443,1622,179,125,1318,Thailand,0.9072,0.4732,145520,146406,885,20678.0,124843,284245,980,33063,251182,285225,1991,2.21,0.4045
2347,590,833,243,303,286,Togo,1.54,0.4383,7719,8580,861,4406.0,3313,28610,1604,15946,12664,30214,1991,0.6637,1.17
484,94,98,4,11,83,Trinidad and Tobago,0.4737,0.0939,596,606,10,209.0,387,3125,20,795,2329,3144,1991,0.4681,0.2932
257777,42708,56539,13831,18598,24110,Uganda,13.26,1.55,100579,132810,32230,55224.0,45355,1049080,85101,519797,529280,1134180,1991,4.63,7.14
997,562,581,19,112,450,Ukraine,0.0663,0.0127,3195,3233,38,649.0,2546,17433,104,3600,13833,17536,1991,0.087,0.0291
100851,20438,27565,7127,11010,9429,United Republic of Tanzania,5.77,1.22,132090,151866,19775,76159.0,55931,694676,43783,395365,299311,738459,1991,2.14,4.04
156,53,59,6,26,26,Uruguay,0.1319,0.0323,497,512,15,164.0,333,2109,38,852,1256,2146,1991,0.1298,0.112
2,1,1,0,0,1,Uzbekistan,0.0019,0.0013,127,128,1,24.0,103,198,2,37,161,200,1991,0.0014,0.0006
