Coal,Commercial.Geothermal,Commercial.Hydropower,Commercial.Solar,Commercial.Wind,Commercial.Wood,Consumption.Commercial.Coal,Consumption.Commercial.Distillate Fuel Oil,Consumption.Commercial.Kerosene,Consumption.Commercial.Liquefied Petroleum Gases,Consumption.Commercial.Natural Gas,Consumption.Electric Power.Coal,Consumption.Electric Power.Distillate Fuel Oil,Consumption.Electric Power.Natural Gas,Consumption.Industrial.Coal,Consumption.Industrial.Distillate Fuel Oil,Consumption.Industrial.Kerosene,Consumption.Industrial.Liquefied Petroleum Gases,Consumption.Industrial.Natural Gas,Consumption.Industrial.Other Petroleum Products,Consumption.Residential.Coal,Consumption.Residential.Distillate Fuel Oil,Consumption.Residential.Kerosene,Consumption.Residential.Liquefied Petroleum Gases,Consumption.Residential.Natural Gas,Consumption.Residential.Wood,Consumption.Transportation.Coal,Consumption.Transportation.Distillate Fuel Oil,Consumption.Transportation.Liquefied Petroleum Gases,Consumption.Transportation.Natural Gas,Electric Power.Wood,Expenditure.Commercial.Coal,Expenditure.Commercial.Distillate Fuel Oil,Expenditure.Commercial.Kerosene,Expenditure.Commercial.Liquefied Petroleum Gases,Expenditure.Commercial.Natural Gas,Expenditure.Electric Power.Coal,Expenditure.Electric Power.Distillate Fuel Oil,Expenditure.Electric Power.Natural Gas,Expenditure.Industrial.Coal,Expenditure.Industrial.Distillate Fuel Oil,Expenditure.Industrial.Kerosene,Expenditure.Industrial.Liquefied Petroleum Gases,Expenditure.Industrial.Natural Gas,Expenditure.Industrial.Other Petroleum Products,Expenditure.Residential.Coal,Expenditure.Residential.Distillate Fuel Oil,Expenditure.Residential.Kerosene,Expenditure.Residential.Liquefied Petroleum Gases,Expenditure.Residential.Natural Gas,Expenditure.Residential.Wood,Expenditure.Transportation.Coal,Expenditure.Transportation.Distillate Fuel Oil,Expenditure.Transportation.Liquefied Petroleum Gases,Expenditure.Transportation.Natural Gas,Industrial.Geothermal,Industrial.Hydropower,Industrial.Solar,Industrial.Wind,Industrial.Wood,Price.Commercial.Coal,Price.Commercial.Distillate Fuel Oil,Price.Commercial.Kerosene,Price.Commercial.Liquefied Petroleum Gases,Price.Commercial.Natural Gas,Price.Electric Power.Coal,Price.Electric Power.Distillate Fuel Oil,Price.Electric Power.Natural Gas,Price.Industrial.Coal,Price.Industrial.Distillate Fuel Oil,Price.Industrial.Kerosene,Price.Industrial.Liquefied Petroleum Gases,Price.Industrial.Natural Gas,Price.Industrial.Other Petroleum Products,Price.Transportation.Coal,Price.Transportation.Distillate Fuel Oil,Price.Transportation.Liquefied Petroleum Gases,Price.Transportation.Natural Gas,Refinery.Coal,Refinery.Distillate Fuel Oil,Refinery.Liquefied Petroleum Gases,Refinery.Natural Gas,Residential.Geothermal,State,Year
9178.0,0.0,0.0,0.0,0.0,367.0,0.0,81.0,217.0,2377.0,17762.0,0.0,8.0,48417.0,350.0,6148.0,2634.0,4926.0,112133.0,11312.0,0.0,142.0,352.0,10401.0,34424.0,19384.0,6.0,5393.0,1184.0,9467.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,17682.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Arkansas,1960
78755.0,0.0,0.0,0.0,0.0,80.0,2417.0,715.0,373.0,1438.0,29495.0,25088.0,56.0,38311.0,36641.0,10300.0,913.0,2469.0,71750.0,4045.0,3478.0,860.0,282.0,8024.0,54125.0,4231.0,582.0,12501.0,358.0,1281.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,9.0,0.0,0.0,2167.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Colorado,1960
0.0,0.0,0.0,0.0,0.0,521.0,0.0,164.0,0.0,2664.0,15702.0,200.0,5.0,35561.0,544.0,8394.0,2182.0,4655.0,79258.0,7391.0,0.0,135.0,73.0,8391.0,24870.0,27503.0,9.0,5136.0,844.0,32483.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,18542.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Mississippi,1960
0.0,0.0,0.0,0.0,0.0,105.0,4815.0,1354.0,579.0,384.0,2892.0,0.0,1.0,0.0,5014.0,14732.0,28.0,329.0,17121.0,51.0,6929.0,3861.0,0.0,1032.0,2257.0,5556.0,86.0,3773.0,27.0,506.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.0,0.0,0.0,5693.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Idaho,1960
0.0,0.0,0.0,0.0,0.0,333.0,8504.0,7709.0,2145.0,1781.0,21041.0,54469.0,911.0,50219.0,55199.0,35313.0,2516.0,3501.0,50975.0,7882.0,12237.0,31537.0,9910.0,12245.0,63572.0,17561.0,856.0,18607.0,104.0,315.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1676.0,0.0,0.0,7362.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Minnesota,1960
132.0,0.0,0.0,0.0,0.0,52.0,0.0,618.0,0.0,434.0,26171.0,0.0,15.0,55110.0,206.0,7149.0,364.0,924.0,14160.0,0.0,0.0,276.0,0.0,1359.0,28367.0,2769.0,4.0,8178.0,132.0,16467.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,998.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Arizona,1960
33923.0,0.0,0.0,0.0,0.0,174.0,479.0,420.0,470.0,2808.0,29836.0,2.0,154.0,85718.0,645.0,6950.0,1869.0,6288.0,132527.0,47949.0,689.0,12.0,104.0,14965.0,61894.0,9202.0,11.0,7716.0,1112.0,9294.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,808.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Oklahoma,1960
0.0,0.0,0.0,0.0,0.0,161.0,2109.0,5802.0,570.0,775.0,0.0,477.0,220.0,0.0,14539.0,2343.0,584.0,159.0,0.0,59.0,3034.0,27536.0,11855.0,769.0,0.0,8514.0,250.0,7289.0,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,9748.0,0.0,0.0,20502.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Maine,1960
100.0,0.0,0.0,0.0,0.0,651.0,3884.0,2172.0,1165.0,2489.0,22145.0,65318.0,8.0,26223.0,13922.0,11901.0,4057.0,6271.0,78625.0,1564.0,5589.0,762.0,3589.0,7795.0,57798.0,34383.0,239.0,15098.0,251.0,3669.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,681.0,0.0,0.0,36172.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Georgia,1960
0.0,0.0,0.0,0.0,0.0,0.0,0.0,277.0,131.0,161.0,0.0,0.0,218.0,0.0,0.0,3225.0,386.0,178.0,0.0,3203.0,0.0,2.0,0.0,98.0,0.0,0.0,0.0,1439.0,7.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Hawaii,1960
