attributes_bats,attributes_height,attributes_throws,attributes_weight,batting,birth_city,birth_country,birth_day,birth_month,birth_state,birth_year,fielding,name,pitching,salaries
R,75,R,185,"[{'runs': 0, 'hits': 0, 'at bats': 0, 'year': 2008}, {'runs': 0, 'hits': 0, 'at bats': 0, 'year': 2009}]",Silver Spring,USA,24,8,MD,1986,"[{'assists': 1, 'year': 2008, 'errors': 0, 'putouts': 0}, {'assists': 0, 'year': 2009, 'errors': 0, 'putouts': 0}]",Nicholas James Adenhart,"[{'wins': 1, 'hits': 18, 'losses': 0, 'games': 3, 'year': 2008}, {'wins': 0, 'hits': 7, 'losses': 0, 'games': 1, 'year': 2009}]","[{'salary': 400000, 'year': 2009}]"
L,71,L,170,"[{'runs': 2, 'hits': 1, 'at bats': 10, 'year': 1913}, {'runs': 26, 'hits': 54, 'at bats': 166, 'year': 1914}, {'runs': 73, 'hits': 164, 'at bats': 551, 'year': 1915}, {'runs': 38, 'hits': 91, 'at bats': 341, 'year': 1916}, {'runs': 82, 'hits': 178, 'at bats': 522, 'year': 1917}, {'runs': 61, 'hits': 145, 'at bats': 435, 'year': 1918}, {'runs': 73, 'hits': 162, 'at bats': 504, 'year': 1919}, {'runs': 81, 'hits': 196, 'at bats': 579, 'year': 1920}, {'runs': 68, 'hits': 147, 'at bats': 418, 'year': 1921}, {'runs': 29, 'hits': 58, 'at bats': 165, 'year': 1922}, {'runs': 88, 'hits': 185, 'at bats': 527, 'year': 1923}, {'runs': 67, 'hits': 168, 'at bats': 483, 'year': 1924}, {'runs': 91, 'hits': 183, 'at bats': 540, 'year': 1925}, {'runs': 95, 'hits': 182, 'at bats': 563, 'year': 1926}, {'runs': 83, 'hits': 173, 'at bats': 570, 'year': 1927}, {'runs': 20, 'hits': 41, 'at bats': 163, 'year': 1928}, {'runs': 76, 'hits': 146, 'at bats': 450, 'year': 1929}, {'runs': 46, 'hits': 102, 'at bats': 376, 'year': 1931}]",Oakland City,USA,8,5,IN,1893,"[{'assists': 0, 'year': 1913, 'errors': 0, 'putouts': 3}, {'assists': 6, 'year': 1914, 'errors': 2, 'putouts': 102}, {'assists': 20, 'year': 1915, 'errors': 10, 'putouts': 331}, {'assists': 9, 'year': 1916, 'errors': 7, 'putouts': 210}, {'assists': 15, 'year': 1917, 'errors': 14, 'putouts': 335}, {'assists': 13, 'year': 1918, 'errors': 14, 'putouts': 320}, {'assists': 22, 'year': 1919, 'errors': 4, 'putouts': 335}, {'assists': 25, 'year': 1920, 'errors': 13, 'putouts': 537}, {'assists': 9, 'year': 1921, 'errors': 6, 'putouts': 286}, {'assists': 8, 'year': 1922, 'errors': 1, 'putouts': 96}, {'assists': 14, 'year': 1923, 'errors': 11, 'putouts': 337}, {'assists': 13, 'year': 1924, 'errors': 12, 'putouts': 270}, {'assists': 15, 'year': 1925, 'errors': 8, 'putouts': 343}, {'assists': 12, 'year': 1926, 'errors': 15, 'putouts': 306}, {'assists': 19, 'year': 1927, 'errors': 9, 'putouts': 327}, {'assists': 7, 'year': 1928, 'errors': 5, 'putouts': 100}, {'assists': 18, 'year': 1929, 'errors': 5, 'putouts': 248}, {'assists': 5, 'year': 1931, 'errors': 4, 'putouts': 197}]",Edd J. Roush,[],[]
R,78,R,220,"[{'runs': 0, 'hits': 0, 'at bats': 8, 'year': 1991}, {'runs': 0, 'hits': 0, 'at bats': 8, 'year': 1993}, {'runs': 0, 'hits': 0, 'at bats': 0, 'year': 1995}]",Americus,USA,24,12,GA,1966,"[{'assists': 1, 'year': 1991, 'errors': 0, 'putouts': 2}, {'assists': 2, 'year': 1993, 'errors': 3, 'putouts': 3}, {'assists': 0, 'year': 1995, 'errors': 0, 'putouts': 0}]",Meredith Leroy Sanford,"[{'wins': 1, 'hits': 19, 'losses': 2, 'games': 5, 'year': 1991}, {'wins': 1, 'hits': 37, 'losses': 2, 'games': 11, 'year': 1993}, {'wins': 0, 'hits': 16, 'losses': 0, 'games': 11, 'year': 1995}]",[]
R,72,R,195,"[{'runs': 0, 'hits': 0, 'at bats': 3, 'year': 1952}, {'runs': 0, 'hits': 0, 'at bats': 3, 'year': 1953}, {'runs': 2, 'hits': 6, 'at bats': 44, 'year': 1955}, {'runs': 9, 'hits': 19, 'at bats': 70, 'year': 1956}, {'runs': 7, 'hits': 18, 'at bats': 84, 'year': 1957}, {'runs': 1, 'hits': 9, 'at bats': 44, 'year': 1958}, {'runs': 0, 'hits': 2, 'at bats': 23, 'year': 1959}, {'runs': 0, 'hits': 1, 'at bats': 16, 'year': 1960}, {'runs': 0, 'hits': 0, 'at bats': 4, 'year': 1961}, {'runs': 0, 'hits': 0, 'at bats': 5, 'year': 1962}, {'runs': 0, 'hits': 1, 'at bats': 3, 'year': 1963}]",Meadows,USA,1,6,MD,1926,"[{'assists': 5, 'year': 1952, 'errors': 0, 'putouts': 0}, {'assists': 0, 'year': 1953, 'errors': 1, 'putouts': 1}, {'assists': 20, 'year': 1955, 'errors': 3, 'putouts': 3}, {'assists': 22, 'year': 1956, 'errors': 4, 'putouts': 6}, {'assists': 30, 'year': 1957, 'errors': 0, 'putouts': 3}, {'assists': 20, 'year': 1958, 'errors': 0, 'putouts': 6}, {'assists': 14, 'year': 1959, 'errors': 1, 'putouts': 3}, {'assists': 7, 'year': 1960, 'errors': 0, 'putouts': 5}, {'assists': 6, 'year': 1961, 'errors': 0, 'putouts': 6}, {'assists': 3, 'year': 1962, 'errors': 0, 'putouts': 6}, {'assists': 6, 'year': 1963, 'errors': 1, 'putouts': 2}]",Raymond Leroy Moore,"[{'wins': 1, 'hits': 29, 'losses': 2, 'games': 14, 'year': 1952}, {'wins': 0, 'hits': 6, 'losses': 1, 'games': 1, 'year': 1953}, {'wins': 10, 'hits': 128, 'losses': 10, 'games': 46, 'year': 1955}, {'wins': 12, 'hits': 161, 'losses': 7, 'games': 32, 'year': 1956}, {'wins': 11, 'hits': 196, 'losses': 13, 'games': 34, 'year': 1957}, {'wins': 9, 'hits': 107, 'losses': 7, 'games': 32, 'year': 1958}, {'wins': 3, 'hits': 86, 'losses': 6, 'games': 29, 'year': 1959}, {'wins': 4, 'hits': 68, 'losses': 3, 'games': 51, 'year': 1960}, {'wins': 4, 'hits': 49, 'losses': 4, 'games': 46, 'year': 1961}, {'wins': 8, 'hits': 55, 'losses': 3, 'games': 49, 'year': 1962}, {'wins': 1, 'hits': 50, 'losses': 3, 'games': 31, 'year': 1963}]",[]
R,73,R,188,"[{'runs': 0, 'hits': 0, 'at bats': 3, 'year': 1972}, {'runs': 0, 'hits': 0, 'at bats': 7, 'year': 1973}, {'runs': 0, 'hits': 3, 'at bats': 16, 'year': 1974}, {'runs': 0, 'hits': 0, 'at bats': 0, 'year': 1975}, {'runs': 0, 'hits': 2, 'at bats': 5, 'year': 1976}, {'runs': 0, 'hits': 0, 'at bats': 2, 'year': 1977}]",Tampa,USA,7,11,FL,1948,"[{'assists': 10, 'year': 1972, 'errors': 3, 'putouts': 6}, {'assists': 12, 'year': 1973, 'errors': 1, 'putouts': 5}, {'assists': 9, 'year': 1974, 'errors': 0, 'putouts': 5}, {'assists': 12, 'year': 1975, 'errors': 2, 'putouts': 3}, {'assists': 0, 'year': 1976, 'errors': 0, 'putouts': 1}, {'assists': 2, 'year': 1977, 'errors': 0, 'putouts': 1}]",Robert Thomas Walker,"[{'wins': 2, 'hits': 71, 'losses': 2, 'games': 46, 'year': 1972}, {'wins': 7, 'hits': 95, 'losses': 5, 'games': 54, 'year': 1973}, {'wins': 4, 'hits': 96, 'losses': 5, 'games': 33, 'year': 1974}, {'wins': 3, 'hits': 116, 'losses': 8, 'games': 36, 'year': 1975}, {'wins': 1, 'hits': 22, 'losses': 2, 'games': 10, 'year': 1976}, {'wins': 1, 'hits': 18, 'losses': 1, 'games': 12, 'year': 1977}]",[]
L,72,R,185,"[{'runs': 0, 'hits': 0, 'at bats': 15, 'year': 1927}, {'runs': 6, 'hits': 13, 'at bats': 61, 'year': 1928}, {'runs': 24, 'hits': 55, 'at bats': 191, 'year': 1930}, {'runs': 19, 'hits': 50, 'at bats': 192, 'year': 1931}, {'runs': 41, 'hits': 103, 'at bats': 351, 'year': 1932}, {'runs': 64, 'hits': 150, 'at bats': 497, 'year': 1933}, {'runs': 55, 'hits': 120, 'at bats': 422, 'year': 1934}, {'runs': 42, 'hits': 112, 'at bats': 407, 'year': 1935}, {'runs': 4, 'hits': 21, 'at bats': 88, 'year': 1936}, {'runs': 3, 'hits': 3, 'at bats': 29, 'year': 1937}]",Naples,USA,21,6,TX,1906,"[{'assists': 1, 'year': 1927, 'errors': 0, 'putouts': 8}, {'assists': 1, 'year': 1928, 'errors': 2, 'putouts': 34}, {'assists': 27, 'year': 1930, 'errors': 6, 'putouts': 79}, {'assists': 39, 'year': 1931, 'errors': 6, 'putouts': 71}, {'assists': 67, 'year': 1932, 'errors': 5, 'putouts': 258}, {'assists': 12, 'year': 1933, 'errors': 7, 'putouts': 355}, {'assists': 23, 'year': 1934, 'errors': 12, 'putouts': 496}, {'assists': 20, 'year': 1935, 'errors': 13, 'putouts': 370}, {'assists': 0, 'year': 1936, 'errors': 1, 'putouts': 27}, {'assists': 5, 'year': 1937, 'errors': 4, 'putouts': 27}]",Randolph Edward Moore,[],[]
L,75,L,175,"[{'runs': 1, 'hits': 1, 'at bats': 8, 'year': 1982}, {'runs': 0, 'hits': 0, 'at bats': 0, 'year': 1983}, {'runs': 0, 'hits': 0, 'at bats': 0, 'year': 1984}, {'runs': 0, 'hits': 0, 'at bats': 0, 'year': 1985}, {'runs': 0, 'hits': 0, 'at bats': 0, 'year': 1986}]",Paris,USA,22,11,TX,1958,"[{'assists': 6, 'year': 1982, 'errors': 0, 'putouts': 3}, {'assists': 0, 'year': 1983, 'errors': 1, 'putouts': 0}, {'assists': 4, 'year': 1984, 'errors': 0, 'putouts': 1}, {'assists': 1, 'year': 1985, 'errors': 0, 'putouts': 0}, {'assists': 7, 'year': 1986, 'errors': 0, 'putouts': 3}]",James Richard Wright,"[{'wins': 2, 'hits': 28, 'losses': 1, 'games': 14, 'year': 1982}, {'wins': 0, 'hits': 5, 'losses': 0, 'games': 7, 'year': 1983}, {'wins': 0, 'hits': 20, 'losses': 2, 'games': 8, 'year': 1984}, {'wins': 0, 'hits': 5, 'losses': 0, 'games': 5, 'year': 1985}, {'wins': 1, 'hits': 44, 'losses': 0, 'games': 21, 'year': 1986}]","[{'salary': 70000, 'year': 1986}]"
R,72,R,180,"[{'runs': 0, 'hits': 1, 'at bats': 4, 'year': 1928}, {'runs': 0, 'hits': 0, 'at bats': 0, 'year': 1929}, {'runs': 2, 'hits': 4, 'at bats': 15, 'year': 1930}]",Maplewood,USA,20,10,NJ,1903,"[{'assists': 4, 'year': 1928, 'errors': 2, 'putouts': 1}, {'assists': 2, 'year': 1929, 'errors': 0, 'putouts': 0}, {'assists': 22, 'year': 1930, 'errors': 1, 'putouts': 4}]",Archibald Stewart Campbell,"[{'wins': 0, 'hits': 30, 'losses': 1, 'games': 13, 'year': 1928}, {'wins': 0, 'hits': 10, 'losses': 1, 'games': 4, 'year': 1929}, {'wins': 2, 'hits': 71, 'losses': 4, 'games': 23, 'year': 1930}]",[]
R,71,R,175,"[{'runs': 0, 'hits': 0, 'at bats': 0, 'year': 1954}, {'runs': 4, 'hits': 16, 'at bats': 82, 'year': 1955}, {'runs': 14, 'hits': 19, 'at bats': 103, 'year': 1956}, {'runs': 4, 'hits': 9, 'at bats': 73, 'year': 1957}, {'runs': 6, 'hits': 15, 'at bats': 88, 'year': 1958}, {'runs': 7, 'hits': 10, 'at bats': 80, 'year': 1959}, {'runs': 11, 'hits': 17, 'at bats': 93, 'year': 1960}, {'runs': 13, 'hits': 25, 'at bats': 108, 'year': 1961}, {'runs': 3, 'hits': 4, 'at bats': 24, 'year': 1962}, {'runs': 2, 'hits': 8, 'at bats': 35, 'year': 1963}, {'runs': 1, 'hits': 2, 'at bats': 27, 'year': 1964}, {'runs': 3, 'hits': 5, 'at bats': 21, 'year': 1965}]",Northport,USA,10,4,AL,1930,"[{'assists': 0, 'year': 1954, 'errors': 0, 'putouts': 0}, {'assists': 46, 'year': 1955, 'errors': 3, 'putouts': 14}, {'assists': 45, 'year': 1956, 'errors': 3, 'putouts': 15}, {'assists': 43, 'year': 1957, 'errors': 1, 'putouts': 14}, {'assists': 39, 'year': 1958, 'errors': 1, 'putouts': 20}, {'assists': 34, 'year': 1959, 'errors': 3, 'putouts': 15}, {'assists': 37, 'year': 1960, 'errors': 4, 'putouts': 14}, {'assists': 55, 'year': 1961, 'errors': 1, 'putouts': 32}, {'assists': 8, 'year': 1962, 'errors': 3, 'putouts': 7}, {'assists': 14, 'year': 1963, 'errors': 0, 'putouts': 26}, {'assists': 13, 'year': 1964, 'errors': 1, 'putouts': 11}, {'assists': 17, 'year': 1965, 'errors': 1, 'putouts': 6}]",Frank Strong Lary,"[{'wins': 0, 'hits': 4, 'losses': 0, 'games': 3, 'year': 1954}, {'wins': 14, 'hits': 232, 'losses': 15, 'games': 36, 'year': 1955}, {'wins': 21, 'hits': 289, 'losses': 13, 'games': 41, 'year': 1956}, {'wins': 11, 'hits': 250, 'losses': 16, 'games': 40, 'year': 1957}, {'wins': 16, 'hits': 249, 'losses': 15, 'games': 39, 'year': 1958}, {'wins': 17, 'hits': 225, 'losses': 10, 'games': 32, 'year': 1959}, {'wins': 15, 'hits': 262, 'losses': 15, 'games': 38, 'year': 1960}, {'wins': 23, 'hits': 252, 'losses': 9, 'games': 36, 'year': 1961}, {'wins': 2, 'hits': 98, 'losses': 6, 'games': 17, 'year': 1962}, {'wins': 4, 'hits': 90, 'losses': 9, 'games': 16, 'year': 1963}, {'wins': 3, 'hits': 101, 'losses': 5, 'games': 24, 'year': 1964}, {'wins': 2, 'hits': 71, 'losses': 3, 'games': 28, 'year': 1965}]",[]
R,73,R,185,"[{'runs': 0, 'hits': 0, 'at bats': 2, 'year': 1952}, {'runs': 0, 'hits': 0, 'at bats': 24, 'year': 1955}, {'runs': 0, 'hits': 3, 'at bats': 7, 'year': 1956}, {'runs': 0, 'hits': 0, 'at bats': 2, 'year': 1958}]",Akron,USA,26,2,OH,1930,"[{'assists': 2, 'year': 1952, 'errors': 0, 'putouts': 0}, {'assists': 9, 'year': 1955, 'errors': 0, 'putouts': 5}, {'assists': 11, 'year': 1956, 'errors': 1, 'putouts': 4}, {'assists': 2, 'year': 1958, 'errors': 0, 'putouts': 0}]",Ronald Alvin Negray,"[{'wins': 0, 'hits': 15, 'losses': 0, 'games': 4, 'year': 1952}, {'wins': 4, 'hits': 71, 'losses': 3, 'games': 19, 'year': 1955}, {'wins': 2, 'hits': 72, 'losses': 3, 'games': 39, 'year': 1956}, {'wins': 0, 'hits': 12, 'losses': 0, 'games': 4, 'year': 1958}]",[]
R,72,R,175,"[{'runs': 0, 'hits': 0, 'at bats': 0, 'year': 1999}, {'runs': 0, 'hits': 0, 'at bats': 0, 'year': 2000}, {'runs': 0, 'hits': 0, 'at bats': 7, 'year': 2001}, {'runs': 0, 'hits': 0, 'at bats': 7, 'year': 2002}, {'runs': 1, 'hits': 0, 'at bats': 5, 'year': 2003}, {'runs': 0, 'hits': 0, 'at bats': 3, 'year': 2004}, {'runs': 1, 'hits': 4, 'at bats': 54, 'year': 2005}, {'runs': 5, 'hits': 6, 'at bats': 56, 'year': 2006}, {'runs': 1, 'hits': 1, 'at bats': 4, 'year': 2007}, {'runs': 0, 'hits': 0, 'at bats': 5, 'year': 2010}, {'runs': 0, 'hits': 0, 'at bats': 2, 'year': 2011}, {'runs': 0, 'hits': 0, 'at bats': 1, 'year': 2013}]",Cotui,D.R.,23,5,Sanchez Ramirez,1973,"[{'assists': 6, 'year': 1999, 'errors': 0, 'putouts': 4}, {'assists': 12, 'year': 2000, 'errors': 0, 'putouts': 1}, {'assists': 20, 'year': 2001, 'errors': 6, 'putouts': 18}, {'assists': 19, 'year': 2002, 'errors': 4, 'putouts': 8}, {'assists': 18, 'year': 2003, 'errors': 4, 'putouts': 12}, {'assists': 13, 'year': 2004, 'errors': 2, 'putouts': 6}, {'assists': 28, 'year': 2005, 'errors': 7, 'putouts': 10}, {'assists': 22, 'year': 2006, 'errors': 3, 'putouts': 12}, {'assists': 12, 'year': 2007, 'errors': 2, 'putouts': 10}, {'assists': 13, 'year': 2010, 'errors': 0, 'putouts': 1}, {'assists': 6, 'year': 2011, 'errors': 0, 'putouts': 2}, {'assists': 2, 'year': 2013, 'errors': 1, 'putouts': 3}]",Ramon Diogenes Ortiz,"[{'wins': 2, 'hits': 50, 'losses': 3, 'games': 9, 'year': 1999}, {'wins': 8, 'hits': 96, 'losses': 6, 'games': 18, 'year': 2000}, {'wins': 13, 'hits': 223, 'losses': 11, 'games': 32, 'year': 2001}, {'wins': 15, 'hits': 188, 'losses': 9, 'games': 32, 'year': 2002}, {'wins': 16, 'hits': 209, 'losses': 13, 'games': 32, 'year': 2003}, {'wins': 5, 'hits': 139, 'losses': 7, 'games': 34, 'year': 2004}, {'wins': 9, 'hits': 206, 'losses': 11, 'games': 30, 'year': 2005}, {'wins': 11, 'hits': 230, 'losses': 16, 'games': 33, 'year': 2006}, {'wins': 5, 'hits': 127, 'losses': 4, 'games': 38, 'year': 2007}, {'wins': 1, 'hits': 33, 'losses': 2, 'games': 16, 'year': 2010}, {'wins': 1, 'hits': 31, 'losses': 2, 'games': 22, 'year': 2011}, {'wins': 1, 'hits': 34, 'losses': 2, 'games': 7, 'year': 2013}]","[{'salary': 16915834, 'year': 1999}]"
R,71,R,180,"[{'runs': 16, 'hits': 45, 'at bats': 184, 'year': 1878}, {'runs': 20, 'hits': 44, 'at bats': 193, 'year': 1880}, {'runs': 44, 'hits': 90, 'at bats': 299, 'year': 1881}, {'runs': 43, 'hits': 103, 'at bats': 342, 'year': 1882}, {'runs': 56, 'hits': 113, 'at bats': 371, 'year': 1883}, {'runs': 37, 'hits': 90, 'at bats': 341, 'year': 1884}, {'runs': 49, 'hits': 94, 'at bats': 349, 'year': 1885}, {'runs': 37, 'hits': 57, 'at bats': 235, 'year': 1886}, {'runs': 26, 'hits': 39, 'at bats': 160, 'year': 1887}, {'runs': 32, 'hits': 68, 'at bats': 258, 'year': 1888}, {'runs': 42, 'hits': 57, 'at bats': 247, 'year': 1889}, {'runs': 59, 'hits': 60, 'at bats': 281, 'year': 1890}, {'runs': 35, 'hits': 55, 'at bats': 256, 'year': 1891}, {'runs': 19, 'hits': 23, 'at bats': 114, 'year': 1892}, {'runs': 34, 'hits': 40, 'at bats': 191, 'year': 1893}]",New Castle,USA,21,11,PA,1854,"[{'assists': 33, 'year': 1878, 'errors': 51, 'putouts': 197}, {'assists': 47, 'year': 1880, 'errors': 32, 'putouts': 291}, {'assists': 102, 'year': 1881, 'errors': 25, 'putouts': 432}, {'assists': 111, 'year': 1882, 'errors': 39, 'putouts': 493}, {'assists': 124, 'year': 1883, 'errors': 38, 'putouts': 382}, {'assists': 114, 'year': 1884, 'errors': 62, 'putouts': 468}, {'assists': 106, 'year': 1885, 'errors': 49, 'putouts': 379}, {'assists': 86, 'year': 1886, 'errors': 24, 'putouts': 432}, {'assists': 58, 'year': 1887, 'errors': 13, 'putouts': 201}, {'assists': 94, 'year': 1888, 'errors': 18, 'putouts': 428}, {'assists': 74, 'year': 1889, 'errors': 23, 'putouts': 419}, {'assists': 90, 'year': 1890, 'errors': 23, 'putouts': 448}, {'assists': 75, 'year': 1891, 'errors': 19, 'putouts': 383}, {'assists': 31, 'year': 1892, 'errors': 11, 'putouts': 169}, {'assists': 40, 'year': 1893, 'errors': 12, 'putouts': 204}]",Charles Wesley Bennett,[],[]
L,77,L,215,"[{'runs': 3, 'hits': 4, 'at bats': 6, 'year': 2001}, {'runs': 0, 'hits': 0, 'at bats': 0, 'year': 2003}, {'runs': 0, 'hits': 0, 'at bats': 2, 'year': 2004}]",Tarzana,USA,16,5,CA,1978,"[{'assists': 14, 'year': 2001, 'errors': 0, 'putouts': 2}, {'assists': 2, 'year': 2003, 'errors': 0, 'putouts': 1}, {'assists': 4, 'year': 2004, 'errors': 0, 'putouts': 1}]",Nicholas Raymond Bierbrodt,"[{'wins': 5, 'hits': 100, 'losses': 6, 'games': 16, 'year': 2001}, {'wins': 0, 'hits': 64, 'losses': 2, 'games': 18, 'year': 2003}, {'wins': 1, 'hits': 14, 'losses': 1, 'games': 4, 'year': 2004}]","[{'salary': 500000, 'year': 2001}]"
L,70,L,155,"[{'runs': 0, 'hits': 0, 'at bats': 1, 'year': 1912}]",Taylortown,USA,22,1,LA,1892,"[{'assists': 0, 'year': 1912, 'errors': 1, 'putouts': 1}]",John Locke Mercer,[],[]
R,73,R,180,"[{'runs': 0, 'hits': 0, 'at bats': 0, 'year': 1994}, {'runs': 0, 'hits': 0, 'at bats': 0, 'year': 1995}, {'runs': 0, 'hits': 0, 'at bats': 0, 'year': 1996}, {'runs': 0, 'hits': 0, 'at bats': 2, 'year': 1997}, {'runs': 0, 'hits': 1, 'at bats': 11, 'year': 1998}, {'runs': 0, 'hits': 0, 'at bats': 1, 'year': 2000}, {'runs': 0, 'hits': 0, 'at bats': 5, 'year': 2001}, {'runs': 0, 'hits': 0, 'at bats': 0, 'year': 2003}]",El Seibo,D.R.,5,3,El Seibo,1971,"[{'assists': 3, 'year': 1994, 'errors': 1, 'putouts': 1}, {'assists': 0, 'year': 1995, 'errors': 0, 'putouts': 0}, {'assists': 2, 'year': 1996, 'errors': 0, 'putouts': 0}, {'assists': 16, 'year': 1997, 'errors': 3, 'putouts': 6}, {'assists': 3, 'year': 1998, 'errors': 0, 'putouts': 0}, {'assists': 16, 'year': 2000, 'errors': 0, 'putouts': 2}, {'assists': 9, 'year': 2001, 'errors': 0, 'putouts': 15}, {'assists': 1, 'year': 2003, 'errors': 0, 'putouts': 0}]",Jose Miguel Mercedes,"[{'wins': 2, 'hits': 22, 'losses': 0, 'games': 19, 'year': 1994}, {'wins': 0, 'hits': 12, 'losses': 1, 'games': 5, 'year': 1995}, {'wins': 0, 'hits': 20, 'losses': 2, 'games': 11, 'year': 1996}, {'wins': 7, 'hits': 146, 'losses': 10, 'games': 29, 'year': 1997}, {'wins': 2, 'hits': 42, 'losses': 2, 'games': 7, 'year': 1998}, {'wins': 14, 'hits': 150, 'losses': 7, 'games': 36, 'year': 2000}, {'wins': 8, 'hits': 219, 'losses': 17, 'games': 33, 'year': 2001}, {'wins': 0, 'hits': 6, 'losses': 0, 'games': 5, 'year': 2003}]","[{'salary': 4187000, 'year': 1994}]"
R,75,R,205,"[{'runs': 7, 'hits': 13, 'at bats': 62, 'year': 2012}, {'runs': 33, 'hits': 95, 'at bats': 333, 'year': 2013}, {'runs': 56, 'hits': 129, 'at bats': 506, 'year': 2014}]",Seiling,USA,27,8,OK,1986,"[{'assists': 58, 'year': 2012, 'errors': 1, 'putouts': 20}, {'assists': 289, 'year': 2013, 'errors': 15, 'putouts': 121}, {'assists': 439, 'year': 2014, 'errors': 11, 'putouts': 159}]",Jordy Joe Mercer,[],"[{'salary': 515500, 'year': 2014}]"
L,74,L,180,"[{'runs': 0, 'hits': 0, 'at bats': 7, 'year': 2003}]",Baltimore,USA,26,8,MD,1973,"[{'assists': 0, 'year': 2003, 'errors': 0, 'putouts': 3}]",Mark Joseph Budzinski,[],[]
R,71,R,210,"[{'runs': 0, 'hits': 1, 'at bats': 3, 'year': 2014}]",Azua,D.R.,26,8,Azua,1990,"[{'assists': 3, 'year': 2014, 'errors': 0, 'putouts': 4}]",Daniel Corcino,"[{'wins': 0, 'hits': 13, 'losses': 2, 'games': 5, 'year': 2014}]",[]
,0,L,0,"[{'runs': 0, 'hits': 3, 'at bats': 8, 'year': 1884}]",Philadelphia,USA,7,8,PA,1858,"[{'assists': 3, 'year': 1884, 'errors': 2, 'putouts': 2}]",William P. Morton,"[{'wins': 0, 'hits': 16, 'losses': 2, 'games': 2, 'year': 1884}]",[]
R,72,L,190,"[{'runs': 0, 'hits': 2, 'at bats': 4, 'year': 1913}]",Smithland,USA,19,5,IA,1891,"[{'assists': 6, 'year': 1913, 'errors': 1, 'putouts': 0}]",George Myron Clark,"[{'wins': 0, 'hits': 22, 'losses': 1, 'games': 11, 'year': 1913}]",[]
R,72,R,185,"[{'runs': 0, 'hits': 0, 'at bats': 0, 'year': 1993}]",Inglewood,USA,21,12,CA,1966,"[{'assists': 1, 'year': 1993, 'errors': 0, 'putouts': 0}]",Paul Christopher Swingle,"[{'wins': 0, 'hits': 15, 'losses': 1, 'games': 9, 'year': 1993}]",[]
,0,,160,"[{'runs': 2, 'hits': 2, 'at bats': 12, 'year': 1883}]",Bloomington,USA,8,4,IL,1856,"[{'assists': 4, 'year': 1883, 'errors': 0, 'putouts': 2}]",George B. Radbourn,"[{'wins': 1, 'hits': 38, 'losses': 2, 'games': 3, 'year': 1883}]",[]
L,73,L,185,"[{'runs': 0, 'hits': 0, 'at bats': 0, 'year': 1978}]",Pawtucket,USA,25,10,RI,1951,"[{'assists': 1, 'year': 1978, 'errors': 0, 'putouts': 0}]",Henry John LaRose,"[{'wins': 0, 'hits': 3, 'losses': 0, 'games': 1, 'year': 1978}]",[]
L,73,L,170,"[{'runs': 0, 'hits': 0, 'at bats': 0, 'year': 1981}, {'runs': 0, 'hits': 0, 'at bats': 0, 'year': 1982}, {'runs': 0, 'hits': 0, 'at bats': 0, 'year': 1983}, {'runs': 0, 'hits': 0, 'at bats': 0, 'year': 1989}, {'runs': 0, 'hits': 0, 'at bats': 0, 'year': 1990}, {'runs': 0, 'hits': 0, 'at bats': 0, 'year': 1991}]",Chicago,USA,25,2,IL,1956,"[{'assists': 11, 'year': 1981, 'errors': 0, 'putouts': 3}, {'assists': 20, 'year': 1982, 'errors': 1, 'putouts': 5}, {'assists': 3, 'year': 1983, 'errors': 0, 'putouts': 1}, {'assists': 6, 'year': 1989, 'errors': 0, 'putouts': 2}, {'assists': 4, 'year': 1990, 'errors': 0, 'putouts': 1}, {'assists': 1, 'year': 1991, 'errors': 0, 'putouts': 1}]",Kevin John Hickey,"[{'wins': 0, 'hits': 38, 'losses': 2, 'games': 41, 'year': 1981}, {'wins': 4, 'hits': 73, 'losses': 4, 'games': 60, 'year': 1982}, {'wins': 1, 'hits': 23, 'losses': 2, 'games': 23, 'year': 1983}, {'wins': 2, 'hits': 38, 'losses': 3, 'games': 51, 'year': 1989}, {'wins': 1, 'hits': 26, 'losses': 3, 'games': 37, 'year': 1990}, {'wins': 1, 'hits': 15, 'losses': 0, 'games': 19, 'year': 1991}]","[{'salary': 430000, 'year': 1989}]"
L,75,L,220,"[{'runs': 0, 'hits': 0, 'at bats': 0, 'year': 2011}, {'runs': 1, 'hits': 1, 'at bats': 7, 'year': 2012}, {'runs': 0, 'hits': 1, 'at bats': 7, 'year': 2013}]",Guelph,CAN,30,7,ON,1986,"[{'assists': 3, 'year': 2011, 'errors': 0, 'putouts': 1}, {'assists': 21, 'year': 2012, 'errors': 0, 'putouts': 10}, {'assists': 16, 'year': 2013, 'errors': 2, 'putouts': 7}]",Scott Michael Diamond,"[{'wins': 1, 'hits': 51, 'losses': 5, 'games': 7, 'year': 2011}, {'wins': 12, 'hits': 184, 'losses': 9, 'games': 27, 'year': 2012}, {'wins': 6, 'hits': 163, 'losses': 13, 'games': 24, 'year': 2013}]","[{'salary': 530000, 'year': 2013}]"
R,71,R,190,"[{'runs': 2, 'hits': 2, 'at bats': 6, 'year': 1934}]",Fredericksburg,USA,15,10,TX,1908,"[{'assists': 8, 'year': 1934, 'errors': 0, 'putouts': 0}]",Hugo Emil Klaerner,"[{'wins': 0, 'hits': 24, 'losses': 2, 'games': 3, 'year': 1934}]",[]
